bias,dc_dmm,dc_board,dir
-9.0,1.48959179,1.191738,up
-8.88,1.46948256,1.2,up
-8.76,1.46412009,1.2,up
-8.64,1.48691056,1.2,up
-8.52,1.46948256,1.2,up
-8.4,1.46412009,1.2,up
-8.28,1.44669209,1.2,up
-8.16,1.46277948,1.2,up
-8.04,1.42122038,1.2,up
-7.92,1.41585792,1.2,up
-7.8,1.35955206,1.2,up
-7.68,1.36223329,1.2,up
-7.5600000000000005,1.34480528,1.2,up
-7.4399999999999995,1.30190557,1.2,up
-7.32,1.2616871,1.2,up
-7.2,1.21878739,1.2,up
-7.08,1.20135938,1.189183,up
-6.96,1.17186584,1.152409,up
-6.84,1.13969106,1.11229,up
-6.720000000000001,1.06327595,1.070483,up
-6.6,1.01903563,1.02628,up
-6.48,0.977476536,0.981654,up
-6.36,0.937258061,0.934851,up
-6.24,0.88899589,0.887215,up
-6.12,0.844755567,0.839385,up
-6.0,0.799174628,0.790133,up
-5.88,0.752253073,0.741694,up
-5.76,0.6785192,0.691556,up
-5.640000000000001,0.651706883,0.642698,up
-5.52,0.586016706,0.593303,up
-5.4,0.557863773,0.54415,up
-5.28,0.501557907,0.497022,up
-5.16,0.445252041,0.450338,up
-5.04,0.374199401,0.40472,up
-4.92,0.356771395,0.360398,up
-4.8,0.308509224,0.317802,up
-4.68,0.279015675,0.276858,up
-4.5600000000000005,0.242819047,0.238167,up
-4.44,0.203941187,0.201844,up
-4.32,0.147635321,0.168172,up
-4.2,0.123504236,0.136919,up
-4.08,0.102054382,0.108663,up
-3.96,0.0725608332,0.083133,up
-3.84,0.0457485161,0.060996,up
-3.7200000000000006,0.0511109795,0.042054,up
-3.6000000000000005,0.02832051,0.026527,up
-3.4800000000000004,0.0216174307,0.014365,up
-3.3600000000000003,0.0336829734,0.005817,up
-3.24,0.0296611258,0.000921,up
-3.12,-0.00519470944,-0.000319,up
-3.0,0.0256392783,0.00209,up
-2.88,0.0336829734,0.008142,up
-2.76,0.0363642051,0.017814,up
-2.6400000000000006,0.047089132,0.03103,up
-2.5200000000000005,0.0618359064,0.047801,up
-2.4000000000000004,0.0913294552,0.068146,up
-2.2800000000000002,0.112779309,0.091625,up
-2.16,0.143613474,0.118508,up
-2.04,0.182491333,0.148433,up
-1.92,0.211984882,0.181482,up
-1.8000000000000007,0.230753504,0.217298,up
-1.6800000000000006,0.299124913,0.255631,up
-1.5600000000000005,0.312531072,0.296643,up
-1.4400000000000004,0.355430779,0.339734,up
-1.3200000000000003,0.437208346,0.385038,up
-1.2000000000000002,0.454636352,0.432655,up
