role,grid_index,sequence_index,candidate_order_index,bias,pilot_V,t_start_unix,t_end_unix,t_mid_unix,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
conditioning,-1,0,-1,-0.12962869048699482,0.1,1784251606.0565891,1784251609.795382,1784251607.9259856,1.040619,-0.001679,-0.005732,-0.001248,0.003176,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-8388608,8388607,3797,1,3804,1,1
conditioning,-1,1,-1,-0.25925738097398965,0.1,1784251609.797191,1784251612.806305,1784251611.3017478,1.2,-0.14662,-0.248412,-0.004762,0.010336,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4849291,2049861,0,0,0,0,1
conditioning,-1,2,-1,-0.3888860714609845,0.1,1784251612.8067782,1784251615.818562,1784251614.3126702,1.2,-0.106817,-0.181351,-0.004343,0.009254,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3769779,1589500,0,0,0,0,1
conditioning,-1,3,-1,-0.5185147619479793,0.1,1784251615.819165,1784251618.827277,1784251617.323221,1.2,-0.06936,-0.11778,-0.00445,0.009134,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2337714,1081968,0,0,0,0,1
conditioning,-1,4,-1,-0.6481434524349741,0.1,1784251618.827744,1784251621.832576,1784251620.3301601,1.2,-0.032247,-0.054688,-0.004798,0.009411,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1232796,723824,0,0,0,0,1
conditioning,-1,5,-1,-0.777772142921969,0.1,1784251621.833323,1784251624.835637,1784251623.33448,1.2,0.004124,0.006872,-0.00521,0.009615,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-294628,329434,0,0,0,0,1
conditioning,-1,6,-1,-0.9074008334089638,0.1,1784251624.836169,1784251627.840759,1784251626.338464,1.2,0.040147,0.068404,-0.005104,0.009165,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-582989,1119653,0,0,0,0,1
conditioning,-1,7,-1,-1.0370295238959586,0.1,1784251627.841457,1784251630.836726,1784251629.3390913,1.2,0.07535,0.128276,-0.005073,0.00886,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1058340,2303331,0,0,0,0,1
conditioning,-1,8,-1,-1.1666582143829534,0.1,1784251630.83723,1784251633.851867,1784251632.3445485,1.2,0.11002,0.186857,-0.005259,0.008896,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1581793,3377761,0,0,0,0,1
conditioning,-1,9,-1,-1.2962869048699481,0.1,1784251633.852406,1784251636.85902,1784251635.355713,1.2,0.144238,0.24512,-0.006153,0.010038,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1977199,4445078,0,0,0,0,1
conditioning,-1,10,-1,-1.4259155953569431,0.1,1784251636.8595688,1784251639.870652,1784251638.3651104,1.2,0.177029,0.300322,-0.005713,0.008867,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2494724,5496642,0,0,0,0,1
conditioning,-1,11,-1,-1.555544285843938,0.1,1784251639.8711622,1784251642.879356,1784251641.375259,1.2,0.207168,0.351322,-0.00519,0.007472,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2909439,6595208,0,0,0,0,1
conditioning,-1,12,-1,-1.6851729763309327,0.1,1784251642.8798451,1784251645.8853078,1784251644.3825765,1.2,0.237324,0.402374,-0.00438,0.005992,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3273002,7447334,0,0,0,0,1
conditioning,-1,13,-1,-1.8148016668179277,0.1,1784251645.8859,1784251648.890475,1784251647.3881874,1.2,0.265111,0.449057,-0.004048,0.005332,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3655621,8174884,0,0,0,0,1
conditioning,-1,14,-1,-1.9444303573049224,0.1,1784251648.891254,1784251651.900765,1784251650.3960094,1.2,0.290848,0.492408,-0.004855,0.006323,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3910530,8388607,0,50,0,51,1
conditioning,-1,15,-1,-2.074059047791917,0.1,1784251651.901567,1784251654.903818,1784251653.4026923,1.2,0.314782,0.532735,-0.004525,0.005473,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4275025,8388607,0,113,0,115,1
conditioning,-1,16,-1,-2.203687738278912,0.1,1784251654.904295,1784251657.916943,1784251656.410619,1.2,0.334294,0.565573,-0.002834,0.00185,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4601241,8388607,0,197,0,199,1
