role,grid_index,sequence_index,candidate_order_index,bias,pilot_V,bias_prepositioned,bias_settle_s,t_bias_set_unix,t_start_unix,t_end_unix,t_mid_unix,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
conditioning,-1,0,-1,-0.12962869048699482,0.1,True,0.5,1784252769.7376618,1784252770.237675,1784252774.065398,1784252772.1515365,1.2,-0.092942,-0.158439,-0.005105,0.009787,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1397259,1589246,0,0,0,0,1
conditioning,-1,1,-1,-0.25925738097398965,0.1,True,0.5,1784252775.534941,1784252776.034945,1784252779.095357,1784252777.565151,1.2,-0.05016,-0.085511,-0.005134,0.009732,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-763966,956291,0,0,0,0,1
conditioning,-1,2,-1,-0.3888860714609845,0.1,True,0.5,1784252780.550615,1784252781.050617,1784252784.110118,1784252782.5803676,1.2,-0.01101,-0.018806,-0.005052,0.009303,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-337564,364749,0,0,0,0,1
conditioning,-1,3,-1,-0.5185147619479793,0.1,True,0.5,1784252785.552213,1784252786.052224,1784252789.133421,1784252787.5928226,1.2,0.027024,0.04603,-0.005263,0.009593,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-407008,582904,0,0,0,0,1
conditioning,-1,4,-1,-0.6481434524349741,0.1,True,0.5,1784252790.583352,1784252791.083366,1784252794.1340952,1784252792.6087306,1.2,0.063802,0.108768,-0.005495,0.009732,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-997873,1129816,0,0,0,0,1
conditioning,-1,5,-1,-0.777772142921969,0.1,True,0.5,1784252795.593426,1784252796.093428,1784252799.143422,1784252797.618425,1.2,0.099711,0.170023,-0.005194,0.009109,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1429356,1668598,0,0,0,0,1
conditioning,-1,6,-1,-0.9074008334089638,0.1,True,0.5,1784252800.591674,1784252801.091712,1784252804.1434891,1784252802.6176004,1.2,0.133146,0.226524,-0.004879,0.007856,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1802319,4155023,0,0,0,0,1
conditioning,-1,7,-1,-1.0370295238959586,0.1,True,0.5,1784252805.60342,1784252806.103433,1784252809.142102,1784252807.6227674,1.2,0.166575,0.282993,-0.004742,0.00744,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2266407,5157892,0,0,0,0,1
conditioning,-1,8,-1,-1.1666582143829534,0.1,True,0.5,1784252810.6019142,1784252811.101917,1784252814.1507761,1784252812.6263466,1.2,0.198081,0.336455,-0.005257,0.007885,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2741927,6182865,0,0,0,0,1
conditioning,-1,9,-1,-1.2962869048699481,0.1,True,0.5,1784252815.6174788,1784252816.117481,1784252819.1801229,1784252817.6488018,1.2,0.229066,0.388815,-0.006334,0.009527,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3160114,7122558,0,0,0,0,1
