role,grid_index,sequence_index,candidate_order_index,bias,pilot_V,bias_prepositioned,bias_settle_s,startup_discard_required,startup_discard_index,startup_discard_followed_without_reconfigure,t_bias_set_unix,t_start_unix,t_end_unix,t_mid_unix,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
conditioning,-1,0,-1,-0.12962869048699482,0.1,True,0.5,True,0,True,1784255080.1175628,1784255085.171656,1784255086.0495539,1784255085.6106048,1.2,0.141727,0.242352,-0.004675,0.008134,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2023608,2209073,0,0,0,0,1
conditioning,-1,1,-1,-0.25925738097398965,0.1,True,0.5,True,1,True,1784255086.774473,1784255091.065803,1784255091.938486,1784255091.5021446,1.2,0.170935,0.291569,-0.004175,0.007207,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2507851,2646230,0,0,0,0,1
conditioning,-1,2,-1,-0.3888860714609845,0.1,True,0.5,True,2,True,1784255092.673645,1784255096.958776,1784255097.830251,1784255097.3945136,1.2,0.199728,0.340232,-0.004894,0.008209,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2889707,3030373,0,0,0,0,1
conditioning,-1,3,-1,-0.5185147619479793,0.1,True,0.5,True,3,True,1784255098.552448,1784255102.8150778,1784255103.697958,1784255103.256518,1.2,0.228268,0.388293,-0.005493,0.009145,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3196022,3383520,0,0,0,0,1
conditioning,-1,4,-1,-0.6481434524349741,0.1,True,0.5,True,4,True,1784255104.4197838,1784255108.7100108,1784255109.584617,1784255109.1473138,1.2,0.254705,0.432928,-0.005556,0.008851,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3582705,3780704,0,0,0,0,1
conditioning,-1,5,-1,-0.777772142921969,0.1,True,0.5,True,5,True,1784255110.321702,1784255114.593091,1784255115.474327,1784255115.033709,1.2,0.27989,0.475674,-0.004378,0.006666,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3978788,4069573,0,0,0,0,1
conditioning,-1,6,-1,-0.9074008334089638,0.1,True,0.5,True,6,True,1784255116.198115,1784255120.477358,1784255121.353857,1784255120.9156075,1.2,0.302921,0.514397,-0.00297,0.004283,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4300939,4354377,0,0,0,0,1
conditioning,-1,7,-1,-1.0370295238959586,0.1,True,0.5,True,7,True,1784255122.066622,1784255126.342367,1784255127.213577,1784255126.777972,1.2,0.323953,0.550167,-0.002829,0.004193,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4523583,4785183,0,0,0,0,1
conditioning,-1,8,-1,-1.1666582143829534,0.1,True,0.5,True,8,True,1784255127.942152,1784255132.2111611,1784255133.093438,1784255132.6522994,1.2,0.34302,0.582026,-0.003532,0.005208,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4888247,4939229,0,0,0,0,1
conditioning,-1,9,-1,-1.2962869048699481,0.1,True,0.5,True,9,True,1784255133.823694,1784255138.09411,1784255138.977311,1784255138.5357103,1.153234,0.361777,0.61344,-0.005207,0.007846,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5098696,5273321,0,0,0,0,1
conditioning,-1,10,-1,-1.4259155953569431,0.1,True,0.5,True,10,True,1784255139.702282,1784255143.979464,1784255144.862336,1784255144.4208999,1.099156,0.377393,0.640071,-0.00364,0.004945,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5369187,5423303,0,0,0,0,1
conditioning,-1,11,-1,-1.555544285843938,0.1,True,0.5,True,11,True,1784255145.598644,1784255149.894229,1784255150.769643,1784255150.331936,1.043154,0.389533,0.660284,-0.002456,0.002512,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5499013,5512394,0,0,0,0,1
conditioning,-1,12,-1,-1.6851729763309327,0.1,True,0.5,True,12,True,1784255151.4859562,1784255155.772842,1784255156.6539981,1784255156.21342,0.986222,0.401008,0.679712,-0.000889,0.000154,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5629009,5646116,0,0,0,0,1
