startup_discard_index,role,grid_index,source_sequence_index,bias,pilot_V,t_bias_set_unix,t_start_unix,t_end_unix,t_mid_unix,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
0,conditioning,-1,0,-0.12962869048699482,0.1,1784255080.1175628,1784255084.283676,1784255085.17009,1784255084.726883,1.2,0.142063,0.242614,-0.004704,0.008133,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1999895,2192644,0,0,0,0,1
1,conditioning,-1,1,-0.25925738097398965,0.1,1784255086.774473,1784255090.1970298,1784255091.065548,1784255090.631289,1.2,0.170907,0.291277,-0.00419,0.007185,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2450009,2575432,0,0,0,0,1
2,conditioning,-1,2,-0.3888860714609845,0.1,1784255092.673645,1784255096.0838022,1784255096.9585018,1784255096.521152,1.2,0.199567,0.339724,-0.00487,0.008168,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2784102,2933321,0,0,0,0,1
3,conditioning,-1,3,-0.5185147619479793,0.1,1784255098.552448,1784255101.952301,1784255102.8148339,1784255102.3835673,1.2,0.228263,0.388341,-0.005588,0.009234,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3171632,3365312,0,0,0,0,1
4,conditioning,-1,4,-0.6481434524349741,0.1,1784255104.4197838,1784255107.823835,1784255108.7098,1784255108.2668176,1.2,0.254359,0.432522,-0.005504,0.008791,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3612261,3758770,0,0,0,0,1
5,conditioning,-1,5,-0.777772142921969,0.1,1784255110.321702,1784255113.728191,1784255114.592903,1784255114.1605468,1.2,0.279794,0.475653,-0.004361,0.006676,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3919422,4101416,0,0,0,0,1
6,conditioning,-1,6,-0.9074008334089638,0.1,1784255116.198115,1784255119.603775,1784255120.477063,1784255120.040419,1.2,0.302438,0.513621,-0.00287,0.004349,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4304412,4393333,0,0,0,0,1
7,conditioning,-1,7,-1.0370295238959586,0.1,1784255122.066622,1784255125.462875,1784255126.3421462,1784255125.9025106,1.2,0.324071,0.550322,-0.002848,0.004161,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4567027,4649428,0,0,0,0,1
8,conditioning,-1,8,-1.1666582143829534,0.1,1784255127.942152,1784255131.350636,1784255132.210937,1784255131.7807865,1.2,0.34297,0.582141,-0.003538,0.005266,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4847258,4915432,0,0,0,0,1
9,conditioning,-1,9,-1.2962869048699481,0.1,1784255133.823694,1784255137.223645,1784255138.093879,1784255137.658762,1.164701,0.35533,0.60142,-0.002039,0.000262,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4868938,8388607,0,260,0,261,1
10,conditioning,-1,10,-1.4259155953569431,0.1,1784255139.702282,1784255143.0939462,1784255143.97923,1784255143.5365882,1.100297,0.377473,0.640083,-0.003714,0.005091,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5254182,5415427,0,0,0,0,1
11,conditioning,-1,11,-1.555544285843938,0.1,1784255145.598644,1784255149.018014,1784255149.894012,1784255149.456013,1.043168,0.389408,0.659924,-0.002276,0.002426,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5533481,5462428,0,0,0,0,1
12,conditioning,-1,12,-1.6851729763309327,0.1,1784255151.4859562,1784255154.896896,1784255155.772585,1784255155.3347404,0.987094,0.401057,0.679837,-0.000838,0.000273,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5664747,5690407,0,0,0,0,1
13,conditioning,-1,13,-1.8148016668179277,0.1,1784255157.3707972,1784255160.754896,1784255161.6127,1784255161.1837978,0.926688,0.408196,0.691317,-0.000548,-0.000441,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5709547,5736393,0,0,0,0,1
14,conditioning,-1,14,-1.9444303573049224,0.1,1784255163.194186,1784255166.592179,1784255167.461844,1784255167.0270114,0.86512,0.412836,0.699507,-0.002219,0.002158,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5817523,5788983,0,0,0,0,1
15,conditioning,-1,15,-2.074059047791917,0.1,1784255169.063953,1784255172.4438,1784255173.317643,1784255172.8807216,0.805269,0.417888,0.707239,-0.002427,0.002684,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5851991,5933376,0,0,0,0,1
16,conditioning,-1,16,-2.203687738278912,0.1,1784255174.9265,1784255178.340184,1784255179.220922,1784255178.7805529,0.74387,0.417187,0.706246,-0.00182,0.001175,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5827516,5915761,0,0,0,0,1
17,conditioning,-1,17,-2.3333164287659067,0.1,1784255180.832405,1784255184.225784,1784255185.0985012,1784255184.6621428,0.681218,0.415336,0.702652,0.00017,-0.002163,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5893149,5748757,0,0,0,0,1
18,conditioning,-1,18,-2.4629451192529017,0.1,1784255186.6940181,1784255190.1212091,1784255190.9878762,1784255190.5545425,0.621996,0.410516,0.694105,0.001806,-0.005083,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5784072,5711071,0,0,0,0,1
19,conditioning,-1,19,-2.5925738097398963,0.1,1784255192.585286,1784255195.980639,1784255196.860283,1784255196.420461,0.561524,0.402826,0.681461,0.001323,-0.00409,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5639679,5586411,0,0,0,0,1
20,conditioning,-1,20,-2.7222025002268913,0.1,1784255198.451873,1784255201.85588,1784255202.728171,1784255202.2920256,0.502678,0.391579,0.662503,0.000672,-0.00263,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5502909,5428892,0,0,0,0,1
21,conditioning,-1,21,-2.8518311907138862,0.1,1784255204.322927,1784255207.6965098,1784255208.562604,1784255208.129557,0.445801,0.379176,0.641531,-0.000604,-0.001161,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5345052,5316681,0,0,0,0,1
22,conditioning,-1,22,-2.981459881200881,0.1,1784255210.162279,1784255213.587788,1784255214.4540758,1784255214.020932,0.390452,0.364216,0.615961,0.001093,-0.003794,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5115379,5068039,0,0,0,0,1
23,conditioning,-1,23,-3.111088571687876,0.1,1784255216.0600908,1784255219.476693,1784255220.363523,1784255219.9201078,0.337666,0.346031,0.584812,0.002893,-0.006824,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4929829,4794583,0,0,0,0,1
24,conditioning,-1,24,-3.2407172621748708,0.1,1784255221.9634402,1784255225.360359,1784255226.230409,1784255225.795384,0.288379,0.327085,0.553497,0.003791,-0.00802,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4661623,4524684,0,0,0,0,1
25,conditioning,-1,25,-3.3703459526618653,0.1,1784255227.828768,1784255231.220887,1784255232.10156,1784255231.6612234,0.240866,0.303433,0.51336,0.003433,-0.007488,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4297721,4232935,0,0,0,0,1
26,conditioning,-1,26,-3.4999746431488603,0.1,1784255233.706275,1784255237.1210828,1784255237.998739,1784255237.5599108,0.197553,0.279842,0.473477,0.002241,-0.005588,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3966678,3874961,0,0,0,0,1
27,conditioning,-1,27,-3.6296033336358553,0.1,1784255239.5945659,1784255243.010612,1784255243.8933141,1784255243.451963,0.157887,0.254423,0.430628,0.002757,-0.006313,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3636820,3545781,0,0,0,0,1
28,conditioning,-1,28,-3.75923202412285,0.1,1784255245.501887,1784255248.864622,1784255249.725757,1784255249.2951894,0.122149,0.226727,0.383693,0.003363,-0.007431,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3287907,3154017,0,0,0,0,1
29,conditioning,-1,29,-3.888860714609845,0.1,1784255251.3082502,1784255254.6644568,1784255255.532953,1784255255.0987048,0.090535,0.198101,0.335492,0.004542,-0.009242,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2931797,2741165,0,0,0,0,1
30,conditioning,-1,30,-4.018489405096839,0.1,1784255257.117976,1784255260.471663,1784255261.3340092,1784255260.902836,0.063393,0.167352,0.283434,0.00513,-0.010038,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2484138,2308158,0,0,0,0,1
31,conditioning,-1,31,-4.148118095583834,0.1,1784255262.913964,1784255266.2765849,1784255267.14463,1784255266.7106075,0.040584,0.135184,0.229172,0.004586,-0.009039,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2034363,1873711,0,0,0,0,1
32,conditioning,-1,32,-4.277746786070829,0.1,1784255268.7205892,1784255272.082944,1784255272.95347,1784255272.518207,0.022787,0.102886,0.174459,0.004426,-0.008711,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1574256,1431812,0,0,0,0,1
33,conditioning,-1,33,-4.407375476557824,0.1,1784255274.5283132,1784255277.8851929,1784255278.746272,1784255278.3157325,0.009883,0.069877,0.118547,0.004637,-0.008863,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1149040,979665,0,0,0,0,1
