bias,dc_dmm,dc_board,dir
-9.0,1.08874765,1.112262,up
-8.88,1.09008827,1.071866,up
-8.76,1.06461657,1.047513,up
-8.64,1.04048548,1.015733,up
-8.52,0.976135921,0.979965,up
-8.4,0.954686067,0.940654,up
-8.28,0.906423896,0.900957,up
-8.16,0.856821109,0.859027,up
-8.04,0.817943249,0.814753,up
-7.92,0.758956152,0.769839,up
-7.8,0.716056444,0.725569,up
-7.68,0.683881664,0.67959,up
-7.5600000000000005,0.635619493,0.63287,up
-7.4399999999999995,0.571269932,0.587681,up
-7.32,0.549820078,0.542463,up
-7.2,0.498876676,0.497236,up
-7.08,0.443911426,0.453236,up
-6.96,0.423802188,0.40961,up
-6.84,0.36481509,0.367189,up
-6.720000000000001,0.358112011,0.32658,up
-6.6,0.28705937,0.286891,up
-6.48,0.229412888,0.249316,up
-6.36,0.217347346,0.213854,up
-6.24,0.171766407,0.180499,up
-6.12,0.13825101,0.149552,up
-6.0,0.130207315,0.120863,up
-5.88,0.0779232967,0.095114,up
-5.76,0.0725608332,0.072147,up
-5.640000000000001,0.0296611258,0.052066,up
-5.52,0.037704821,0.035132,up
-5.4,0.0336829734,0.021357,up
-5.28,0.00553004041,0.010921,up
-5.16,0.0256392783,0.003817,up
-5.04,-0.0105569902,0.000107,up
-4.92,0.000167756841,-0.000111,up
-4.8,0.0162550558,0.003146,up
-4.68,0.0256392783,0.009879,up
-4.5600000000000005,0.0403860527,0.020067,up
-4.44,0.075242065,0.03367,up
-4.32,0.0618359064,0.050554,up
-4.2,0.0966919187,0.070767,up
-4.08,0.118141772,0.094239,up
-3.96,0.144954089,0.120975,up
-3.84,0.17712887,0.150431,up
-3.7200000000000006,0.195897492,0.182979,up
-3.6000000000000005,0.244159663,0.218151,up
-3.4800000000000004,0.272312596,0.25622,up
-3.3600000000000003,0.312531072,0.296542,up
-3.24,0.359452627,0.338825,up
-3.12,0.406374182,0.383524,up
-3.0,0.457317584,0.42962,up
-2.88,0.520326529,0.477518,up
-2.76,0.573951164,0.52752,up
-2.6400000000000006,0.600763481,0.578076,up
-2.5200000000000005,0.653047499,0.628719,up
-2.4000000000000004,0.706672133,0.680907,up
-2.2800000000000002,0.762977999,0.73384,up
-2.16,0.838052487,0.786018,up
-2.04,0.856821109,0.838355,up
-1.92,0.938598677,0.889457,up
-1.8000000000000007,0.981498384,0.940222,up
-1.6800000000000006,1.01903563,0.990588,up
-1.5600000000000005,1.05389164,1.039469,up
-1.4400000000000004,1.10349443,1.086451,up
-1.3200000000000003,1.16516276,1.130865,up
-1.2000000000000002,1.20806246,1.174927,up
-1.08,1.24157786,1.199506,up
-0.9600000000000009,1.30056496,1.2,up
-0.8399999999999999,1.30458681,1.2,up
-0.7200000000000006,1.32737727,1.2,up
-0.5999999999999996,1.39842992,1.2,up
-0.4800000000000004,1.36759575,1.2,up
-0.35999999999999943,1.42658285,1.2,up
-0.2400000000000002,1.46814194,1.2,up
-0.120000000000001,1.49495426,1.2,up
0.0,1.46412009,1.2,up
0.11999999999999922,1.51640411,1.2,up
0.2400000000000002,1.4989761,1.2,up
0.35999999999999943,1.52176657,1.2,up
0.4800000000000004,1.4989761,1.2,up
0.5999999999999996,1.51238226,1.2,up
0.7199999999999989,1.50299795,1.2,up
