sequence_index,observation_sequence_index,bridge_step_index,from_bias,bias,delta_bias,t_start_unix,t_end_unix,t_mid_unix,dc_dmm,dac_response
0,0,0,0.0,-0.12965511293596924,-0.12965511293596924,1784258104.16894,1784258105.606833,1784258104.8878865,1.42524223,"[dac] CH_A set to -0.130 V (code=32343)
"
1,0,1,-0.12965511293596924,-0.25931022587193847,-0.12965511293596924,1784258105.607029,1784258107.0469959,1784258106.3270125,1.41719854,"[dac] CH_A set to -0.259 V (code=31918)
"
2,0,2,-0.25931022587193847,-0.38896533880790773,-0.12965511293596926,1784258107.047364,1784258108.49205,1784258107.769707,1.37429883,"[dac] CH_A set to -0.389 V (code=31493)
"
3,0,3,-0.38896533880790773,-0.5186204517438769,-0.1296551129359692,1784258108.49226,1784258109.927393,1784258109.2098265,1.31531173,"[dac] CH_A set to -0.519 V (code=31068)
"
4,0,4,-0.5186204517438769,-0.6482755646798462,-0.1296551129359692,1784258109.9276018,1784258111.369631,1784258110.6486163,1.28984003,"[dac] CH_A set to -0.648 V (code=30643)
"
5,0,5,-0.6482755646798462,-0.7779306776158155,-0.12965511293596932,1784258111.369977,1784258112.817933,1784258112.093955,1.22146862,"[dac] CH_A set to -0.778 V (code=30219)
"
6,0,6,-0.7779306776158155,-0.9075857905517847,-0.1296551129359692,1784258112.818132,1784258114.2615318,1784258113.5398319,1.19599692,"[dac] CH_A set to -0.908 V (code=29794)
"
7,0,7,-0.9075857905517847,-1.0372409034877539,-0.1296551129359692,1784258114.2617059,1784258115.6999838,1784258114.980845,1.13164736,"[dac] CH_A set to -1.037 V (code=29369)
"
8,0,8,-1.0372409034877539,-1.1668960164237232,-0.12965511293596932,1784258115.700166,1784258117.146483,1784258116.4233246,1.07534149,"[dac] CH_A set to -1.167 V (code=28944)
"
9,0,9,-1.1668960164237232,-1.2965511293596923,-0.1296551129359691,1784258117.146671,1784258118.5742369,1784258117.860454,1.02976055,"[dac] CH_A set to -1.297 V (code=28519)
"
10,0,10,-1.2965511293596923,-1.4262062422956616,-0.12965511293596932,1784258118.574411,1784258120.022099,1784258119.298255,0.977476536,"[dac] CH_A set to -1.426 V (code=28094)
"
11,0,11,-1.4262062422956616,-1.555861355231631,-0.12965511293596932,1784258120.022298,1784258121.460941,1784258120.7416196,0.876930347,"[dac] CH_A set to -1.556 V (code=27669)
"
12,0,12,-1.555861355231631,-1.6855164681676,-0.1296551129359691,1784258121.4611552,1784258122.8883681,1784258122.1747618,0.828668176,"[dac] CH_A set to -1.686 V (code=27245)
"
13,0,13,-1.6855164681676,-1.8151715811035694,-0.12965511293596932,1784258122.888545,1784258124.310417,1784258123.599481,0.784427853,"[dac] CH_A set to -1.815 V (code=26820)
"
