window_sequence_index,source_sequence_index,window_index,role,direction,grid_index,target_ordinal,pair_position,bias,t_start_unix,t_end_unix,t_mid_unix,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
0,0,0,sentinel,up,0,0,0,-4.407375476557824,1784258159.7761931,1784258160.805502,1784258160.2908475,-0.00033,0.01319,0.022431,0.005063,-0.009357,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-376436,237040,0,0,0,0,1
1,0,1,sentinel,up,0,0,0,-4.407375476557824,1784258160.8057752,1784258161.830206,1784258161.3179905,-0.000401,0.012569,0.021311,0.005062,-0.009352,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-350352,229503,0,0,0,0,1
2,0,2,sentinel,up,0,0,0,-4.407375476557824,1784258161.8304188,1784258162.845951,1784258162.3381848,-0.000411,0.011881,0.020191,0.005062,-0.009378,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-344170,224930,0,0,0,0,1
3,0,3,sentinel,up,0,0,0,-4.407375476557824,1784258162.8464482,1784258163.8910809,1784258163.3687644,-0.000439,0.011273,0.019186,0.005071,-0.009387,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-356958,219510,0,0,0,0,1
4,1,0,sentinel,down,0,0,1,-4.407375476557824,1784258172.9381728,1784258173.9654899,1784258173.4518313,-0.000681,0.006227,0.010555,0.005119,-0.009408,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-305044,192749,0,0,0,0,1
5,1,1,sentinel,down,0,0,1,-4.407375476557824,1784258173.965926,1784258175.0072,1784258174.486563,-0.000645,0.005752,0.009766,0.005139,-0.009395,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-274387,193342,0,0,0,0,1
6,1,2,sentinel,down,0,0,1,-4.407375476557824,1784258175.0074098,1784258176.029736,1784258175.5185728,-0.000677,0.005214,0.008847,0.005138,-0.009408,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-280739,182163,0,0,0,0,1
7,1,3,sentinel,down,0,0,1,-4.407375476557824,1784258176.029966,1784258177.057365,1784258176.5436654,-0.000698,0.004719,0.007993,0.005123,-0.009411,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-250421,182586,0,0,0,0,1
8,2,0,sentinel,down,80,1,0,6.036902619530071,1784258299.686632,1784258300.7054248,1784258300.1960282,0.000507,-0.02655,-0.045062,0.005189,-0.009468,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-563595,401165,0,0,0,0,1
9,2,1,sentinel,down,80,1,0,6.036902619530071,1784258300.705618,1784258301.740893,1784258301.2232554,0.000388,-0.02576,-0.043737,0.005199,-0.009477,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-551824,387953,0,0,0,0,1
10,2,2,sentinel,down,80,1,0,6.036902619530071,1784258301.741359,1784258302.765385,1784258302.253372,0.000328,-0.025012,-0.042399,0.005186,-0.009469,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-530228,376182,0,0,0,0,1
11,2,3,sentinel,down,80,1,0,6.036902619530071,1784258302.76559,1784258303.782567,1784258303.2740784,0.000291,-0.024254,-0.041147,0.00518,-0.009451,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-513968,372964,0,0,0,0,1
12,3,0,sentinel,up,80,1,1,6.036902619530071,1784258312.834764,1784258313.865869,1784258313.3503165,-0.000374,-0.017581,-0.029861,0.00518,-0.009428,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-438427,280316,0,0,0,0,1
13,3,1,sentinel,up,80,1,1,6.036902619530071,1784258313.8661382,1784258314.909141,1784258314.3876395,-0.000405,-0.017023,-0.028934,0.00515,-0.009438,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-422082,278537,0,0,0,0,1
14,3,2,sentinel,up,80,1,1,6.036902619530071,1784258314.9095302,1784258315.951047,1784258315.4302886,-0.000466,-0.01643,-0.027913,0.00515,-0.009418,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-452401,268290,0,0,0,0,1
15,3,3,sentinel,up,80,1,1,6.036902619530071,1784258315.951616,1784258316.982322,1784258316.466969,-0.000513,-0.015855,-0.026962,0.005155,-0.009424,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-409803,269052,0,0,0,0,1
