role,direction,grid_index,target_ordinal,pair_position,sequence_index,bias,approach_bias,bias_settle_s,t_approach_set_unix,t_target_set_unix,transition_discard_index,transition_followed_without_reconfigure,t_discard_start_unix,t_discard_end_unix,t_dmm_pre_start_unix,t_dmm_pre_end_unix,t_dmm_pre_mid_unix,dc_dmm_pre,t_acq_start_unix,t_acq_end_unix,t_acq_mid_unix,t_dmm_post_start_unix,t_dmm_post_end_unix,t_dmm_post_mid_unix,dc_dmm_post,dmm_interpolation_weight,dc_dmm_interp,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
sentinel,up,0,0,0,0,-4.407375476557824,-4.537928952758923,0.5,1784258153.090657,1784258154.529257,0,True,1784258158.688046,1784258159.565802,1784258159.566011,1784258159.7761889,1784258159.6711,0.0108925467,1784258159.7761931,1784258163.8910809,1784258161.828947,1784258163.8912919,1784258164.097638,1784258163.9944649,0.0430672844,0.4991128853343151,0.02695137286832177,-0.00039525,0.01222825,0.02077975,0.0050644999999999996,-0.0093685,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-376436,237040,0,0,0,0,4
sentinel,down,0,0,1,1,-4.407375476557824,-4.276822000356725,0.5,1784258166.26846,1784258167.714184,1,True,1784258171.854081,1784258172.7319539,1784258172.732147,1784258172.9381702,1784258172.8351586,0.00821127212,1784258172.9381728,1784258177.057365,1784258175.0001583,1784258177.05756,1784258177.2677069,1784258177.1626334,0.0149143514,0.5002916960157834,0.011564767021519456,-0.0006752500000000001,0.005478,0.00929025,0.00512975,-0.0094055,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-305044,193342,0,0,0,0,4
sentinel,down,80,1,0,2,6.036902619530071,6.16745609573117,0.5,1784258293.0435462,1784258294.475487,2,True,1784258298.6076102,1784258299.485683,1784258299.485899,1784258299.686629,1784258299.5862641,0.02832051,1784258299.686632,1784258303.782567,1784258301.7366836,1784258303.7829142,1784258303.993068,1784258303.887991,0.0108925038,0.4998968006540023,0.019608305458841884,0.0003785,-0.025394,-0.04308624999999999,0.0051884999999999995,-0.00946625,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-563595,401165,0,0,0,0,4
sentinel,up,80,1,1,3,6.036902619530071,5.906349143328972,0.5,1784258306.1405,1784258307.582709,3,True,1784258311.743766,1784258312.624394,1784258312.6246111,1784258312.834762,1784258312.7296867,0.0296611258,1784258312.834764,1784258316.982322,1784258314.9088035,1784258316.982672,1784258317.19282,1784258317.0877461,0.0242986624,0.5000199682411962,0.026979787021037423,-0.0004395,-0.01672225,-0.028417500000000002,0.00515875,-0.009427,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-452401,280316,0,0,0,0,4
formal,up,18,2,0,4,-2.057412904938048,-2.1879663811391468,0.5,1784258407.1096902,1784258408.537546,4,True,1784258412.673256,1784258413.5464141,1784258413.546613,1784258413.756743,1784258413.651678,0.725440755,1784258413.7567449,1784258417.873108,1784258415.8081927,1784258417.873497,1784258418.0832262,1784258417.9783616,0.709353365,0.49842209027329826,0.7174224444491583,0.69204,0.41535450000000007,0.703219,-0.00157075,0.00092775,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-5931851,5876804,0,0,0,0,4
formal,down,18,2,1,5,-2.057412904938048,-1.926859428736949,0.5,1784258420.25421,1784258421.686072,5,True,1784258425.787411,1784258426.6708941,1784258426.671464,1784258426.878648,1784258426.775056,0.683881664,1784258426.878651,1784258430.996554,1784258428.941902,1784258430.996765,1784258431.206901,1784258431.1018329,0.693265975,0.5007991043330939,0.6885813185435832,0.68042425,0.41458825,0.7024847500000001,-0.0014004999999999998,0.0007725,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-5887729,5825399,0,0,0,0,4
formal,down,62,3,0,6,3.6869400479102943,3.817493524111393,0.5,1784258495.3260002,1784258496.772479,6,True,1784258500.880401,1784258501.754084,1784258501.754316,1784258501.963573,1784258501.8589444,0.675837969,1784258501.963576,1784258506.100158,1784258504.036646,1784258506.100406,1784258506.3105972,1784258506.2055016,0.654388115,0.5010175646881192,0.6650912153860044,0.6692037500000001,-0.41398925,-0.6993655,0.0028752499999999998,-0.0031624999999999995,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-5796605,5889846,0,0,0,0,4
formal,up,62,3,1,7,3.6869400479102943,3.5563865717091954,0.5,1784258508.467357,1784258509.9094841,7,True,1784258514.065027,1784258514.9361799,1784258514.936377,1784258515.146199,1784258515.041288,0.670475505,1784258515.146202,1784258519.256809,1784258517.2000763,1784258519.2570329,1784258519.467228,1784258519.3621304,0.699969054,0.49962210850377536,0.6852111341386394,0.65916025,-0.41306225,-0.69835025,0.00299425,-0.003273,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-5800670,5815321,0,0,0,0,4
formal,up,78,4,0,8,5.775795667127873,5.6452421909267745,0.5,1784258540.319207,1784258541.756362,8,True,1784258545.88557,1784258546.766913,1784258546.767139,1784258546.976146,1784258546.8716426,0.0444079002,1784258546.976167,1784258551.1084428,1784258549.0417333,1784258551.108671,1784258551.3141918,1784258551.2114315,0.0229580465,0.5000452138328617,0.0336820035198999,0.01073925,-0.07162574999999999,-0.12125749999999999,0.005261999999999999,-0.009379,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-1209761,2491930,0,0,0,0,4
formal,down,78,4,1,9,5.775795667127873,5.906349143328972,0.5,1784258553.496821,1784258554.929903,9,True,1784258559.392444,1784258560.2782059,1784258560.27842,1784258560.48351,1784258560.380965,0.0242986624,1784258560.483513,1784258564.580939,1784258562.5306952,1784258564.58115,1784258564.79022,1784258564.6856852,0.0363642051,0.49938907152219253,0.030324062566364367,0.00820075,-0.0644275,-0.10925974999999999,0.005266,-0.00938125,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-1104156,936305,0,0,0,0,4
formal,down,2,5,0,10,-4.1462685241556265,-4.015715047954528,0.5,1784258671.750123,1784258673.168254,10,True,1784258677.258838,1784258678.1278222,1784258678.128022,1784258678.329271,1784258678.2286465,0.0430672844,1784258678.3292742,1784258682.401512,1784258680.3643124,1784258682.401727,1784258682.604945,1784258682.503336,0.0296611258,0.4996072640013047,0.03636947018108644,0.0210865,0.098468,0.16702175000000002,0.0047192499999999995,-0.009124,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-1542075,1412079,0,0,0,0,4
formal,up,2,5,1,11,-4.1462685241556265,-4.276822000356725,0.5,1784258684.737802,1784258686.1680808,11,True,1784258690.240952,1784258691.1048079,1784258691.1050081,1784258691.31015,1784258691.2075791,0.00687065626,1784258691.310153,1784258695.3783512,1784258693.3456852,1784258695.378572,1784258695.579183,1784258695.4788775,0.037704821,0.500575212317816,0.022305474821368014,0.017132,0.0892465,0.15161950000000002,0.00477325,-0.00915825,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-1458065,1264977,0,0,0,0,4
formal,up,37,6,0,12,0.4231031428828276,0.29254966668172866,0.5,1784258743.212757,1784258744.6415339,12,True,1784258748.723545,1784258749.59121,1784258749.591412,1784258749.796586,1784258749.693999,1.51238226,1784258749.7965891,1784258753.8623202,1784258751.8303576,1784258753.862619,1784258754.0677729,1784258753.965196,1.52176657,0.5001779544371889,1.5170760849796046,1.2,0.10846875,0.18505375000000002,-0.0055692499999999995,0.009741,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-1734654,1929689,0,0,0,0,4
formal,down,37,6,1,13,0.4231031428828276,0.5536566190839265,0.5,1784258756.192087,1784258757.615008,13,True,1784258761.698842,1784258762.569201,1784258762.569491,1784258762.77466,1784258762.6720755,1.52042596,1784258762.774663,1784258766.840377,1784258764.8066933,1784258766.840653,1784258767.045857,1784258766.943255,1.5405352,0.4997724484883161,1.5304760041120393,1.2,0.10559325,0.18032975,-0.00558,0.00973825,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-1614059,1705268,0,0,0,0,4
formal,down,43,7,0,14,1.2064240000894193,1.3369774762905182,0.5,1784258776.2938838,1784258777.7208042,14,True,1784258781.796701,1784258782.658782,1784258782.659103,1784258782.863731,1784258782.761417,1.56868813,1784258782.863734,1784258786.9379342,1784258784.9015458,1784258786.9381492,1784258787.143314,1784258787.0407314,1.5405352,0.5001102026849118,1.5546085624715258,1.2,-0.08637249999999999,-0.14726075,-0.004311000000000001,0.0084815,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-1301562,1480507,0,0,0,0,4
