transition_discard_index,role,direction,grid_index,target_ordinal,pair_position,source_sequence_index,bias,approach_bias,t_target_set_unix,t_start_unix,t_end_unix,t_mid_unix,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
0,sentinel,up,0,0,0,0,-4.407375476557824,-4.537928952758923,1784258154.529257,1784258158.688046,1784258159.565802,1784258159.126924,-0.000338,0.014019,0.023754,0.005078,-0.009378,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-363733,237379,0,0,0,0,1
1,sentinel,down,0,0,1,1,-4.407375476557824,-4.276822000356725,1784258167.714184,1784258171.854081,1784258172.7319539,1784258172.2930174,-0.000713,0.006841,0.011663,0.005084,-0.009385,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-276251,184619,0,0,0,0,1
2,sentinel,down,80,1,0,2,6.036902619530071,6.16745609573117,1784258294.475487,1784258298.6076102,1784258299.485683,1784258299.0466466,0.000534,-0.027566,-0.046722,0.005206,-0.009502,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-585614,408533,0,0,0,0,1
3,sentinel,up,80,1,1,3,6.036902619530071,5.906349143328972,1784258307.582709,1784258311.743766,1784258312.624394,1784258312.1840801,-0.000426,-0.018285,-0.031115,0.005196,-0.009417,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-435717,284127,0,0,0,0,1
4,formal,up,18,2,0,4,-2.057412904938048,-2.1879663811391468,1784258408.537546,1784258412.673256,1784258413.5464141,1784258413.1098351,0.694706,0.414965,0.702611,-0.0018,0.000976,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5828024,5890016,0,0,0,0,1
5,formal,down,18,2,1,5,-2.057412904938048,-1.926859428736949,1784258421.686072,1784258425.787411,1784258426.6708941,1784258426.2291527,0.682333,0.414415,0.702241,-0.00163,0.000762,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5872655,5891709,0,0,0,0,1
6,formal,down,62,3,0,6,3.6869400479102943,3.817493524111393,1784258496.772479,1784258500.880401,1784258501.754084,1784258501.3172426,0.672218,-0.414359,-0.700132,0.002959,-0.003213,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5771114,5768235,0,0,0,0,1
7,formal,up,62,3,1,7,3.6869400479102943,3.5563865717091954,1784258509.9094841,1784258514.065027,1784258514.9361799,1784258514.5006034,0.660218,-0.412818,-0.698149,0.00318,-0.003353,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5816253,5801856,0,0,0,0,1
8,formal,up,78,4,0,8,5.775795667127873,5.6452421909267745,1784258541.756362,1784258545.88557,1784258546.766913,1784258546.3262415,0.010868,-0.07336,-0.124104,0.005287,-0.009353,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1184355,1040217,0,0,0,0,1
9,formal,down,78,4,1,9,5.775795667127873,5.906349143328972,1784258554.929903,1784258559.392444,1784258560.2782059,1784258559.8353248,0.008456,-0.065748,-0.111451,0.00531,-0.009382,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1130070,910137,0,0,0,0,1
10,formal,down,2,5,0,10,-4.1462685241556265,-4.015715047954528,1784258673.168254,1784258677.258838,1784258678.1278222,1784258677.69333,0.022121,0.100743,0.17102,0.004674,-0.009099,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1556895,1406744,0,0,0,0,1
11,formal,up,2,5,1,11,-4.1462685241556265,-4.276822000356725,1784258686.1680808,1784258690.240952,1784258691.1048079,1784258690.67288,0.017735,0.090899,0.154456,0.004703,-0.00913,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1438248,1261844,0,0,0,0,1
12,formal,up,37,6,0,12,0.4231031428828276,0.29254966668172866,1784258744.6415339,1784258748.723545,1784258749.59121,1784258749.1573775,1.2,0.109383,0.18669,-0.005581,0.009753,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1618802,1860923,0,0,0,0,1
13,formal,down,37,6,1,13,0.4231031428828276,0.5536566190839265,1784258757.615008,1784258761.698842,1784258762.569201,1784258762.1340215,1.2,0.105902,0.180993,-0.005586,0.009772,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1516584,1624984,0,0,0,0,1
14,formal,down,43,7,0,14,1.2064240000894193,1.3369774762905182,1784258777.7208042,1784258781.796701,1784258782.658782,1784258782.2277415,1.2,-0.085701,-0.145993,-0.004268,0.008482,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1298005,1451290,0,0,0,0,1
15,formal,up,43,7,1,15,1.2064240000894193,1.0758705238883204,1784258790.699223,1784258794.789682,1784258795.649858,1784258795.21977,1.2,-0.087981,-0.150038,-0.004235,0.008431,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1237200,1456710,0,0,0,0,1
16,formal,up,48,8,0,16,1.859191381094913,1.728637904893814,1784258806.522541,1784258810.597614,1784258811.463373,1784258811.0304935,1.2,-0.235159,-0.399326,-0.00277,0.006874,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3325424,3411805,0,0,0,0,1
17,formal,down,48,8,1,17,1.859191381094913,1.989744857296012,1784258819.501345,1784258823.57621,1784258824.444525,1784258824.0103674,1.2,-0.237671,-0.404291,-0.002836,0.006682,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3331013,3502929,0,0,0,0,1
18,formal,down,32,9,0,18,-0.22966423812266612,-0.0991107619215672,1784258851.015264,1784258855.095521,1784258855.9617522,1784258855.5286365,1.2,0.237423,0.40387,-0.004488,0.007522,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3288416,3436788,0,0,0,0,1
19,formal,up,32,9,1,19,-0.22966423812266612,-0.36021771432376504,1784258864.0087821,1784258868.083207,1784258868.947231,1784258868.515219,1.2,0.240044,0.408836,-0.004624,0.007392,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3455419,3507079,0,0,0,0,1
20,formal,up,11,10,0,20,-2.971287238345739,-3.101840714546838,1784258906.838409,1784258910.910922,1784258911.775003,1784258911.3429625,0.282656,0.324162,0.548688,0.002361,-0.006198,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4630628,4504020,0,0,0,0,1
21,formal,down,11,10,1,21,-2.971287238345739,-2.84073376214464,1784258919.814239,1784258923.890906,1784258924.752012,1784258924.321459,0.274311,0.320075,0.542394,0.002606,-0.006304,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4558389,4451598,0,0,0,0,1
22,formal,down,69,11,0,22,4.600814381317985,4.731367857519084,1784259014.3471549,1784259018.48294,1784259019.355693,1784259018.9193165,0.308548,-0.334546,-0.564826,0.003515,-0.004952,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4715146,4667806,0,0,0,0,1
23,formal,up,69,11,1,23,4.600814381317985,4.470260905116886,1784259027.498782,1784259031.622464,1784259032.509224,1784259032.065844,0.298049,-0.330126,-0.558054,0.003691,-0.005086,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4681864,4563725,0,0,0,0,1
24,formal,up,56,12,0,24,2.9036191907037026,2.7730657145026036,1784259057.916258,1784259062.0503628,1784259062.926625,1784259062.488494,1.006173,-0.396057,-0.670106,9e-06,0.001984,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5527214,5563461,0,0,0,0,1
