sequence_index,observation_sequence_index,bridge_step_index,from_bias,bias,delta_bias,t_start_unix,t_end_unix,t_mid_unix,dc_dmm,dac_response
0,0,0,0.0,-0.12965511293596924,-0.12965511293596924,1784276235.511415,1784276236.936855,1784276236.224135,1.10751627,"[dac] CH_A set to -0.130 V (code=32343)
"
1,0,1,-0.12965511293596924,-0.25931022587193847,-0.12965511293596924,1784276236.937768,1784276238.3650749,1784276237.6514215,1.04718856,"[dac] CH_A set to -0.259 V (code=31918)
"
2,0,2,-0.25931022587193847,-0.38896533880790773,-0.12965511293596926,1784276238.36531,1784276239.7857249,1784276239.0755174,1.03110117,"[dac] CH_A set to -0.389 V (code=31493)
"
3,0,3,-0.38896533880790773,-0.5186204517438769,-0.1296551129359692,1784276239.7859242,1784276241.210834,1784276240.4983792,0.946642372,"[dac] CH_A set to -0.519 V (code=31068)
"
4,0,4,-0.5186204517438769,-0.6482755646798462,-0.1296551129359692,1784276241.211217,1784276242.63578,1784276241.9234986,0.902402048,"[dac] CH_A set to -0.648 V (code=30643)
"
5,0,5,-0.6482755646798462,-0.7779306776158155,-0.12965511293596932,1784276242.635998,1784276244.060552,1784276243.348275,0.852799262,"[dac] CH_A set to -0.778 V (code=30219)
"
6,0,6,-0.7779306776158155,-0.9075857905517847,-0.1296551129359692,1784276244.060829,1784276245.4908988,1784276244.775864,0.783087237,"[dac] CH_A set to -0.908 V (code=29794)
"
7,0,7,-0.9075857905517847,-1.0372409034877539,-0.1296551129359692,1784276245.491114,1784276246.9255319,1784276246.208323,0.698628438,"[dac] CH_A set to -1.037 V (code=29369)
"
8,0,8,-1.0372409034877539,-1.1668960164237232,-0.12965511293596932,1784276246.925784,1784276248.3537621,1784276247.6397731,0.708012749,"[dac] CH_A set to -1.167 V (code=28944)
"
9,0,9,-1.1668960164237232,-1.2965511293596923,-0.1296551129359691,1784276248.354021,1784276249.7801,1784276249.0670605,0.626235182,"[dac] CH_A set to -1.297 V (code=28519)
"
10,0,10,-1.2965511293596923,-1.4262062422956616,-0.12965511293596932,1784276249.78032,1784276251.217995,1784276250.4991574,0.567248084,"[dac] CH_A set to -1.426 V (code=28094)
"
11,0,11,-1.4262062422956616,-1.555861355231631,-0.12965511293596932,1784276251.2181911,1784276252.654241,1784276251.936216,0.528370224,"[dac] CH_A set to -1.556 V (code=27669)
"
