window_sequence_index,source_sequence_index,window_index,role,direction,grid_index,target_ordinal,pair_position,bias,t_start_unix,t_end_unix,t_mid_unix,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
0,0,0,sentinel,up,0,0,0,-4.407375476557824,1784276290.979282,1784276292.008418,1784276291.49385,0.069201,-0.169143,-0.286764,0.005458,-0.00921,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2536983,2363543,0,0,0,0,1
1,0,1,sentinel,up,0,0,0,-4.407375476557824,1784276292.008641,1784276293.03927,1784276292.5239553,0.069727,-0.169743,-0.287758,0.005477,-0.009194,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2531055,2374553,0,0,0,0,1
2,0,2,sentinel,up,0,0,0,-4.407375476557824,1784276293.039467,1784276294.073654,1784276293.5565605,0.070247,-0.170248,-0.288806,0.005466,-0.009182,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2551719,2391490,0,0,0,0,1
3,0,3,sentinel,up,0,0,0,-4.407375476557824,1784276294.073907,1784276295.090455,1784276294.582181,0.070743,-0.17081,-0.289742,0.005486,-0.009208,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2551719,2394454,0,0,0,0,1
4,1,0,sentinel,down,0,0,1,-4.407375476557824,1784276304.117568,1784276305.136377,1784276304.6269727,0.074748,-0.175203,-0.297341,0.005422,-0.009175,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2601431,2456276,0,0,0,0,1
5,1,1,sentinel,down,0,0,1,-4.407375476557824,1784276305.1366038,1784276306.1777658,1784276305.6571848,0.075082,-0.175628,-0.297985,0.005408,-0.009148,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2610916,2455853,0,0,0,0,1
6,1,2,sentinel,down,0,0,1,-4.407375476557824,1784276306.1779819,1784276307.208668,1784276306.693325,0.075518,-0.17601,-0.298766,0.005466,-0.009176,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2629801,2463644,0,0,0,0,1
7,1,3,sentinel,down,0,0,1,-4.407375476557824,1784276307.208918,1784276308.238185,1784276307.7235515,0.075899,-0.176338,-0.299364,0.005469,-0.009182,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2625228,2469826,0,0,0,0,1
8,2,0,sentinel,down,80,1,0,6.036902619530071,1784276430.786745,1784276431.8188632,1784276431.302804,0.101344,-0.198667,-0.335506,0.004961,-0.008723,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2805104,6481643,0,0,0,0,1
9,2,1,sentinel,down,80,1,0,6.036902619530071,1784276431.819056,1784276432.860432,1784276432.339744,0.097702,-0.199284,-0.336655,0.005172,-0.008634,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2957372,2882424,0,0,0,0,1
10,2,2,sentinel,down,80,1,0,6.036902619530071,1784276432.86066,1784276433.8972979,1784276433.378979,0.096793,-0.198195,-0.334822,0.005171,-0.008609,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2868704,2760558,0,0,0,0,1
11,2,3,sentinel,down,80,1,0,6.036902619530071,1784276433.897503,1784276434.926628,1784276434.4120655,0.096111,-0.197487,-0.33361,0.005118,-0.008607,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2850327,2763099,0,0,0,0,1
12,3,0,sentinel,up,80,1,1,6.036902619530071,1784276443.930387,1784276444.950351,1784276444.4403691,0.089796,-0.190929,-0.322822,0.005185,-0.008616,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2793925,2668418,0,0,0,0,1
13,3,1,sentinel,up,80,1,1,6.036902619530071,1784276444.950586,1784276445.973511,1784276445.4620485,0.089204,-0.190349,-0.321811,0.005158,-0.008628,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2778258,2658087,0,0,0,0,1
14,3,2,sentinel,up,80,1,1,6.036902619530071,1784276445.973763,1784276447.0000708,1784276446.486917,0.088829,-0.19008,-0.321418,0.005189,-0.008666,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2781984,2652497,0,0,0,0,1
15,3,3,sentinel,up,80,1,1,6.036902619530071,1784276447.000322,1784276448.028697,1784276447.5145097,0.08842,-0.189872,-0.321004,0.005197,-0.008648,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2797143,2649364,0,0,0,0,1
16,4,0,formal,up,18,2,0,-2.057412904938048,1784276544.628489,1784276545.645185,1784276545.136837,0.341449,0.336592,0.56953,0.000803,-0.003315,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4767398,4712013,0,0,0,0,1
17,4,1,formal,up,18,2,0,-2.057412904938048,1784276545.6454542,1784276546.6803682,1784276546.1629112,0.34034,0.336163,0.5688,0.000882,-0.003323,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4766382,4690163,0,0,0,0,1
18,4,2,formal,up,18,2,0,-2.057412904938048,1784276546.680598,1784276547.7032058,1784276547.191902,0.339503,0.335878,0.568593,0.000885,-0.003301,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4772225,4680848,0,0,0,0,1
19,4,3,formal,up,18,2,0,-2.057412904938048,1784276547.703424,1784276548.719858,1784276548.2116408,0.338642,0.335645,0.56804,0.000891,-0.003395,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4760030,4696345,0,0,0,0,1
20,5,0,formal,down,18,2,1,-2.057412904938048,1784276557.71985,1784276558.753516,1784276558.236683,0.331386,0.332918,0.564016,0.001024,-0.003357,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4725139,4645194,0,0,0,0,1
21,5,1,formal,down,18,2,1,-2.057412904938048,1784276558.753759,1784276559.77845,1784276559.2661045,0.330848,0.332817,0.563749,0.001052,-0.003426,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4721328,4668314,0,0,0,0,1
22,5,2,formal,down,18,2,1,-2.057412904938048,1784276559.7786539,1784276560.794486,1784276560.28657,0.330134,0.332521,0.563332,0.000979,-0.00348,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4714977,4619280,0,0,0,0,1
23,5,3,formal,down,18,2,1,-2.057412904938048,1784276560.794691,1784276561.829142,1784276561.3119166,0.329569,0.332318,0.562884,0.001073,-0.003451,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4723784,4637149,0,0,0,0,1
24,6,0,formal,down,62,3,0,3.6869400479102943,1784276632.677254,1784276633.707575,1784276633.1924145,0.968018,-0.374799,-0.634351,0.00041,0.001121,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-5232587,5347084,0,0,0,0,1
25,6,1,formal,down,62,3,0,3.6869400479102943,1784276633.707823,1784276634.7373939,1784276634.2226086,0.966836,-0.3748,-0.634478,0.000457,0.001099,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-5219545,5348693,0,0,0,0,1
26,6,2,formal,down,62,3,0,3.6869400479102943,1784276634.737618,1784276635.7542331,1784276635.2459254,0.965556,-0.37479,-0.634493,0.000484,0.001104,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-5199728,5356993,0,0,0,0,1
27,6,3,formal,down,62,3,0,3.6869400479102943,1784276635.754453,1784276636.7774022,1784276636.2659276,0.965726,-0.375487,-0.635735,0.000466,0.001055,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-5260957,5313124,0,0,0,0,1
28,7,0,formal,up,62,3,1,3.6869400479102943,1784276645.785215,1784276646.816881,1784276646.3010478,0.958181,-0.376518,-0.63785,0.00061,0.000951,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-5288480,5373507,0,0,0,0,1
29,7,1,formal,up,62,3,1,3.6869400479102943,1784276646.81708,1784276647.8492658,1784276647.3331728,0.957897,-0.376706,-0.638264,0.000649,0.000927,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-5226066,5382738,0,0,0,0,1
30,7,2,formal,up,62,3,1,3.6869400479102943,1784276647.849577,1784276648.8651252,1784276648.357351,0.957305,-0.376864,-0.638428,0.000598,0.000885,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-5258755,5376132,0,0,0,0,1
31,7,3,formal,up,62,3,1,3.6869400479102943,1784276648.865355,1784276649.8874571,1784276649.3764062,0.956608,-0.376866,-0.63847,0.000613,0.000945,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-5249524,5351657,0,0,0,0,1
32,8,0,formal,up,78,4,0,5.775795667127873,1784276677.58774,1784276678.629059,1784276678.1083994,0.141447,-0.235637,-0.397207,0.0046,-0.007276,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3349814,3330082,0,0,0,0,1
33,8,1,formal,up,78,4,0,5.775795667127873,1784276678.629287,1784276679.6507862,1784276679.1400366,0.140218,-0.23473,-0.395773,0.00459,-0.007238,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3355319,3310011,0,0,0,0,1
34,8,2,formal,up,78,4,0,5.775795667127873,1784276679.651093,1784276680.682868,1784276680.1669805,0.139259,-0.233876,-0.39456,0.004584,-0.007213,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3380894,3289517,0,0,0,0,1
35,8,3,formal,up,78,4,0,5.775795667127873,1784276680.683118,1784276681.710061,1784276681.1965895,0.138418,-0.233349,-0.393647,0.004568,-0.007266,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3372934,3288416,0,0,0,0,1
36,9,0,formal,down,78,4,1,5.775795667127873,1784276690.7547982,1784276691.7803369,1784276691.2675676,0.132318,-0.228558,-0.386108,0.004578,-0.007328,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3325593,3202712,0,0,0,0,1
37,9,1,formal,down,78,4,1,5.775795667127873,1784276691.780567,1784276692.79308,1784276692.2868235,0.131755,-0.228172,-0.385534,0.004605,-0.007349,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3306623,3202034,0,0,0,0,1
38,9,2,formal,down,78,4,1,5.775795667127873,1784276692.793355,1784276693.8276968,1784276693.310526,0.131141,-0.227651,-0.384743,0.004599,-0.007347,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3284351,3206692,0,0,0,0,1
39,9,3,formal,down,78,4,1,5.775795667127873,1784276693.8279092,1784276694.857279,1784276694.3425941,0.130584,-0.227194,-0.383954,0.004619,-0.007339,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3318903,3196191,0,0,0,0,1
40,10,0,formal,down,2,5,0,-4.1462685241556265,1784276808.830266,1784276809.854548,1784276809.342407,0.016668,-0.086589,-0.146918,0.004811,-0.008504,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1371175,1229408,0,0,0,0,1
41,10,1,formal,down,2,5,0,-4.1462685241556265,1784276809.854795,1784276810.886782,1784276810.3707886,0.017002,-0.087433,-0.148306,0.004789,-0.008502,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1363977,1235252,0,0,0,0,1
42,10,2,formal,down,2,5,0,-4.1462685241556265,1784276810.887003,1784276811.9018009,1784276811.394402,0.017258,-0.088122,-0.149532,0.004827,-0.00852,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1406913,1237623,0,0,0,0,1
43,10,3,formal,down,2,5,0,-4.1462685241556265,1784276811.9020119,1784276812.937006,1784276812.419509,0.01756,-0.088874,-0.150802,0.004798,-0.008531,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1390569,1244144,0,0,0,0,1
44,11,0,formal,up,2,5,1,-4.1462685241556265,1784276821.939827,1784276822.9734452,1784276822.456636,0.02053,-0.095386,-0.162001,0.004811,-0.008465,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1488129,1341704,0,0,0,0,1
45,11,1,formal,up,2,5,1,-4.1462685241556265,1784276822.973691,1784276823.995698,1784276823.4846945,0.02079,-0.095967,-0.163005,0.004785,-0.008453,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1504982,1346531,0,0,0,0,1
46,11,2,formal,up,2,5,1,-4.1462685241556265,1784276823.995938,1784276825.018881,1784276824.5074096,0.021068,-0.096554,-0.163978,0.004794,-0.008459,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1494142,1363299,0,0,0,0,1
47,11,3,formal,up,2,5,1,-4.1462685241556265,1784276825.019114,1784276826.0492501,1784276825.534182,0.021329,-0.0972,-0.165084,0.004802,-0.00845,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1513450,1358896,0,0,0,0,1
48,12,0,formal,up,37,6,0,0.4231031428828276,1784276881.086278,1784276882.120693,1784276881.6034856,1.2,0.262563,0.445884,-0.005257,0.008339,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3708381,3795101,0,0,0,0,1
49,12,1,formal,up,37,6,0,0.4231031428828276,1784276882.120929,1784276883.152318,1784276882.6366234,1.2,0.262162,0.445209,-0.005285,0.008337,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3715749,3881398,0,0,0,0,1
50,12,2,formal,up,37,6,0,0.4231031428828276,1784276883.152631,1784276884.1773162,1784276883.6649737,1.2,0.261692,0.444472,-0.005157,0.008308,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3742933,4101839,0,0,0,0,1
51,12,3,formal,up,37,6,0,0.4231031428828276,1784276884.177602,1784276885.2046762,1784276884.6911392,1.2,0.26135,0.443898,-0.005194,0.008337,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3727944,3814833,0,0,0,0,1
