role,direction,grid_index,target_ordinal,pair_position,sequence_index,bias,approach_bias,bias_settle_s,t_approach_set_unix,t_target_set_unix,transition_discard_index,transition_followed_without_reconfigure,t_discard_start_unix,t_discard_end_unix,t_dmm_pre_start_unix,t_dmm_pre_end_unix,t_dmm_pre_mid_unix,dc_dmm_pre,t_acq_start_unix,t_acq_end_unix,t_acq_mid_unix,t_dmm_post_start_unix,t_dmm_post_end_unix,t_dmm_post_mid_unix,dc_dmm_post,dmm_interpolation_weight,dc_dmm_interp,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
sentinel,up,0,0,0,0,-4.407375476557824,-4.537928952758923,0.5,1784276284.3242712,1784276285.772552,0,True,1784276289.898457,1784276290.76987,1784276290.770135,1784276290.979279,1784276290.874707,0.0819451442,1784276290.979282,1784276295.090455,1784276293.0391366,1784276295.090701,1784276295.296051,1784276295.193376,0.0792639125,0.5011797903820461,0.0806013650586283,0.0699795,-0.169986,-0.2882675,0.00547175,-0.0091985,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-2551719,2394454,0,0,0,0,4
sentinel,down,0,0,1,1,-4.407375476557824,-4.276822000356725,0.5,1784276297.443913,1784276298.879114,1,True,1784276303.0228229,1784276303.9116669,1784276303.91193,1784276304.117565,1784276304.0147476,0.0618359064,1784276304.117568,1784276308.238185,1784276306.1752586,1784276308.2384079,1784276308.4429061,1784276308.340657,0.0765826808,0.49943510808618014,0.06920096326638651,0.07531175,-0.17579475,-0.298364,0.00544125,-0.00917025,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-2629801,2469826,0,0,0,0,4
sentinel,down,80,1,0,2,6.036902619530071,6.16745609573117,0.5,1784276424.145344,1784276425.578754,2,True,1784276429.702742,1784276430.5796301,1784276430.57993,1784276430.786742,1784276430.683336,0.10607623,1784276430.786745,1784276434.926628,1784276432.8583982,1784276434.926852,1784276435.135158,1784276435.031005,0.0953513028,0.5002823895989377,0.10071073779210934,0.0979875,-0.19840825,-0.33514825,0.0051055,-0.008643249999999998,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-2957372,6481643,0,0,0,0,4
sentinel,up,80,1,1,3,6.036902619530071,5.906349143328972,0.5,1784276437.293917,1784276438.717422,3,True,1784276442.839138,1784276443.720051,1784276443.720243,1784276443.930384,1784276443.8253136,0.0618359064,1784276443.930387,1784276448.028697,1784276445.9759612,1784276448.029024,1784276448.236819,1784276448.1329215,0.0819451442,0.4992672721286059,0.07187579070099145,0.08906225,-0.19030750000000002,-0.32176375,0.00518225,-0.008639500000000001,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-2797143,2668418,0,0,0,0,4
formal,up,18,2,0,4,-2.057412904938048,-2.1879663811391468,0.5,1784276537.9853828,1784276539.4187891,4,True,1784276543.537096,1784276544.418108,1784276544.418319,1784276544.628486,1784276544.5234025,0.367496322,1784276544.628489,1784276548.719858,1784276546.6758227,1784276548.720117,1784276548.928971,1784276548.824544,0.352749547,0.5004300095979584,0.36011659324521106,0.3399835,0.3360695,0.5687407499999999,0.0008652499999999999,-0.0033335,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-4772225,4712013,0,0,0,0,4
formal,down,18,2,1,5,-2.057412904938048,-1.926859428736949,0.5,1784276551.060299,1784276552.4951072,5,True,1784276556.640037,1784276557.511334,1784276557.511565,1784276557.719847,1784276557.615706,0.328618462,1784276557.71985,1784276561.829142,1784276559.7753186,1784276561.8293529,1784276562.039507,1784276561.93443,0.343365236,0.5000580488914649,0.3359927050338834,0.33048425,0.3326435,0.56349525,0.001032,-0.0034285,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-4725139,4668314,0,0,0,0,4
formal,down,62,3,0,6,3.6869400479102943,3.817493524111393,0.5,1784276626.031321,1784276627.472268,6,True,1784276631.587518,1784276632.475557,1784276632.475817,1784276632.677252,1784276632.5765345,0.973454689,1784276632.677254,1784276636.7774022,1784276634.7317188,1784276636.777667,1784276636.9789069,1784276636.8782868,0.970773457,0.501001476650843,0.9721113878087565,0.966534,-0.374969,-0.63476425,0.00045425,0.0010947499999999998,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-5260957,5356993,0,0,0,0,4
formal,up,62,3,1,7,3.6869400479102943,3.5563865717091954,0.5,1784276639.133196,1784276640.5739038,7,True,1784276644.702964,1784276645.57478,1784276645.574985,1784276645.7852118,1784276645.6800985,0.974795305,1784276645.785215,1784276649.8874571,1784276647.8419943,1784276649.887669,1784276650.0978408,1784276649.992755,0.973454689,0.5012909794195148,0.9741232662923345,0.95749775,-0.3767385,-0.6382530000000001,0.0006175,0.000927,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-5288480,5382738,0,0,0,0,4
formal,up,78,4,0,8,5.775795667127873,5.6452421909267745,0.5,1784276670.9523442,1784276672.400824,8,True,1784276676.511384,1784276677.377367,1784276677.377585,1784276677.587738,1784276677.4826615,0.144954089,1784276677.58774,1784276681.710061,1784276679.6530015,1784276681.710352,1784276681.917807,1784276681.8140795,0.144954089,0.5010691746768532,0.144954089,0.1398355,-0.234398,-0.39529675000000003,0.0045855,-0.0072482499999999995,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-3380894,3330082,0,0,0,0,4
formal,down,78,4,1,9,5.775795667127873,5.906349143328972,0.5,1784276684.086832,1784276685.52469,9,True,1784276689.6614301,1784276690.5443351,1784276690.5445728,1784276690.754795,1784276690.649684,0.136910394,1784276690.7547982,1784276694.857279,1784276692.8018777,1784276694.8575108,1784276695.067659,1784276694.962585,0.148975937,0.49901302504010864,0.14293125711118151,0.1314495,-0.22789375,-0.38508475,0.00460025,-0.00734075,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-3325593,3206692,0,0,0,0,4
formal,down,2,5,0,10,-4.1462685241556265,-4.015715047954528,0.5,1784276802.1560378,1784276803.578039,10,True,1784276807.736748,1784276808.619832,1784276808.6201239,1784276808.8302631,1784276808.7251935,-0.00921641997,1784276808.830266,1784276812.937006,1784276810.8817766,1784276812.937251,1784276813.143473,1784276813.040362,0.0149143514,0.49976799987270104,0.0028433673729703363,0.017122,-0.08775450000000001,-0.1488895,0.00480625,-0.008514250000000001,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-1406913,1244144,0,0,0,0,4
formal,up,2,5,1,11,-4.1462685241556265,-4.276822000356725,0.5,1784276815.288095,1784276816.721604,11,True,1784276820.856843,1784276821.7330828,1784276821.7333279,1784276821.939824,1784276821.836576,-0.0132381305,1784276821.939827,1784276826.0492501,1784276823.9957304,1784276826.04953,1784276826.2597198,1784276826.154625,0.0310017417,0.5000300918602346,0.00888313686005104,0.02092925,-0.09627675000000001,-0.16351700000000002,0.004798,-0.00845675,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-1513450,1363299,0,0,0,0,4
formal,up,37,6,0,12,0.4231031428828276,0.29254966668172866,0.5,1784276874.4105759,1784276875.8611772,12,True,1784276879.986922,1784276880.875935,1784276880.876134,1784276881.086276,1784276880.981205,1.28179634,1784276881.086278,1784276885.2046762,1784276883.1490555,1784276885.204951,1784276885.413037,1784276885.308994,1.33005851,0.5009140834295254,1.30597154064987,1.2,0.26194175,0.44486574999999995,-0.00522325,0.00833025,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-3742933,4101839,0,0,0,0,4
