transition_discard_index,role,direction,grid_index,target_ordinal,pair_position,source_sequence_index,bias,approach_bias,t_target_set_unix,t_start_unix,t_end_unix,t_mid_unix,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
0,sentinel,up,0,0,0,0,-4.407375476557824,-4.537928952758923,1784276285.772552,1784276289.898457,1784276290.76987,1784276290.3341637,0.068365,-0.168172,-0.285325,0.005495,-0.009229,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2540625,2355244,0,0,0,0,1
1,sentinel,down,0,0,1,1,-4.407375476557824,-4.276822000356725,1784276298.879114,1784276303.0228229,1784276303.9116669,1784276303.4672449,0.074051,-0.174657,-0.296608,0.005515,-0.009169,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2626837,2438238,0,0,0,0,1
2,sentinel,down,80,1,0,2,6.036902619530071,6.16745609573117,1784276425.578754,1784276429.702742,1784276430.5796301,1784276430.1411862,0.098283,-0.199089,-0.336349,0.005132,-0.00861,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2886150,2757933,0,0,0,0,1
3,sentinel,up,80,1,1,3,6.036902619530071,5.906349143328972,1784276438.717422,1784276442.839138,1784276443.720051,1784276443.2795944,0.090208,-0.191503,-0.323763,0.005271,-0.008639,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2817130,2674177,0,0,0,0,1
4,formal,up,18,2,0,4,-2.057412904938048,-2.1879663811391468,1784276539.4187891,1784276543.537096,1784276544.418108,1784276543.977602,0.342747,0.337015,0.570335,0.000693,-0.003312,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4769515,4685675,0,0,0,0,1
5,formal,down,18,2,1,5,-2.057412904938048,-1.926859428736949,1784276552.4951072,1784276556.640037,1784276557.511334,1784276557.0756855,0.33206,0.332886,0.56394,0.000911,-0.003339,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4687199,4661708,0,0,0,0,1
6,formal,down,62,3,0,6,3.6869400479102943,3.817493524111393,1784276627.472268,1784276631.587518,1784276632.475557,1784276632.0315375,0.969193,-0.374467,-0.634002,0.000457,0.000973,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5198457,5280604,0,0,0,0,1
7,formal,up,62,3,1,7,3.6869400479102943,3.5563865717091954,1784276640.5739038,1784276644.702964,1784276645.57478,1784276645.1388721,0.959063,-0.376418,-0.637726,0.000709,0.000831,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5249609,5275438,0,0,0,0,1
8,formal,up,78,4,0,8,5.775795667127873,5.6452421909267745,1784276672.400824,1784276676.511384,1784276677.377367,1784276676.9443755,0.239166,-0.105146,-0.177238,0.009909,-0.019821,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-611952,8388607,0,4394,0,4399,1
9,formal,down,78,4,1,9,5.775795667127873,5.906349143328972,1784276685.52469,1784276689.6614301,1784276690.5443351,1784276690.1028826,0.132859,-0.229064,-0.387123,0.004665,-0.007342,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3325001,3206692,0,0,0,0,1
10,formal,down,2,5,0,10,-4.1462685241556265,-4.015715047954528,1784276803.578039,1784276807.736748,1784276808.619832,1784276808.17829,0.016084,-0.085571,-0.145112,0.004818,-0.008566,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1361352,1190706,0,0,0,0,1
11,formal,up,2,5,1,11,-4.1462685241556265,-4.276822000356725,1784276816.721604,1784276820.856843,1784276821.7330828,1784276821.294963,0.020077,-0.094606,-0.160833,0.004888,-0.008492,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1470768,1317483,0,0,0,0,1
12,formal,up,37,6,0,12,0.4231031428828276,0.29254966668172866,1784276875.8611772,1784276879.986922,1784276880.875935,1784276880.4314284,1.2,0.262938,0.446267,-0.005402,0.008419,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3638006,3812208,0,0,0,0,1
13,formal,down,37,6,1,13,0.4231031428828276,0.5536566190839265,1784276888.990918,1784276893.1199338,1784276893.979455,1784276893.5496945,1.2,0.259138,0.440761,-0.005233,0.008421,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3651132,3825250,0,0,0,0,1
14,formal,down,43,7,0,14,1.2064240000894193,1.3369774762905182,1784276909.284302,1784276913.4263098,1784276914.3123798,1784276913.8693447,1.2,0.096538,0.164485,-0.00538,0.009443,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1382354,1540042,0,0,0,0,1
15,formal,up,43,7,1,15,1.2064240000894193,1.0758705238883204,1784276922.451169,1784276926.6016462,1784276927.4743738,1784276927.0380101,1.2,0.093768,0.160124,-0.005438,0.009387,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1332558,1570106,0,0,0,0,1
16,formal,up,48,8,0,16,1.859191381094913,1.728637904893814,1784276938.457767,1784276942.5863411,1784276943.469333,1784276943.027837,1.2,-0.058274,-0.099191,-0.004465,0.008658,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-911915,984238,0,0,0,0,1
17,formal,down,48,8,1,17,1.859191381094913,1.989744857296012,1784276951.583426,1784276955.708117,1784276956.5763268,1784276956.142222,1.2,-0.061831,-0.105368,-0.00444,0.00866,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-879226,1087133,0,0,0,0,1
18,formal,down,32,9,0,18,-0.22966423812266612,-0.0991107619215672,1784276983.395221,1784276987.53642,1784276988.402737,1784276987.9695785,1.086465,0.345445,0.585887,-0.003057,0.004314,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4877322,4953372,0,0,0,0,1
19,formal,up,32,9,1,19,-0.22966423812266612,-0.36021771432376504,1784276996.5598059,1784277000.6649191,1784277001.53796,1784277001.1014395,1.081934,0.346887,0.589133,-0.003021,0.004131,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4859453,4912298,0,0,0,0,1
20,formal,up,11,10,0,20,-2.971287238345739,-3.101840714546838,1784277039.8182778,1784277043.9374468,1784277044.8099132,1784277044.37368,0.066119,0.166324,0.281898,0.004015,-0.008312,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2447892,2303331,0,0,0,0,1
21,formal,down,11,10,1,21,-2.971287238345739,-2.84073376214464,1784277052.943579,1784277057.0547872,1784277057.9271748,1784277057.490981,0.061624,0.160914,0.272978,0.004089,-0.008382,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2373198,2231685,0,0,0,0,1
22,formal,down,69,11,0,22,4.600814381317985,4.731367857519084,1784277148.0676029,1784277152.182326,1784277153.0519218,1784277152.617124,0.592309,-0.390762,-0.660399,0.001603,-0.000867,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5392561,5482669,0,0,0,0,1
23,formal,up,69,11,1,23,4.600814381317985,4.470260905116886,1784277161.2021592,1784277165.651504,1784277166.5257359,1784277166.08862,0.579411,-0.389456,-0.658781,0.001754,-0.001094,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5407297,5465054,0,0,0,0,1
24,formal,up,56,12,0,24,2.9036191907037026,2.7730657145026036,1784277191.8946528,1784277196.018357,1784277196.890249,1784277196.454303,1.2,-0.288341,-0.489136,-0.002161,0.005376,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4024011,4186442,0,0,0,0,1
25,formal,down,56,12,1,25,2.9036191907037026,3.0341726669048015,1784277205.009017,1784277209.151566,1784277210.0110872,1784277209.5813265,1.2,-0.288905,-0.490613,-0.002165,0.005374,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4029770,4176025,0,0,0,0,1
26,formal,down,24,13,0,26,-1.2740920477314557,-1.1435385715303568,1784277259.875181,1784277263.990916,1784277264.859744,1784277264.4253302,0.673014,0.39771,0.672995,-0.002129,0.001413,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5584717,5615035,0,0,0,0,1
27,formal,up,24,13,1,27,-1.2740920477314557,-1.4046455239325546,1784277273.044428,1784277277.1587572,1784277278.026541,1784277277.592649,0.661059,0.396334,0.671858,-0.002049,0.001331,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5567017,5598606,0,0,0,0,1
28,formal,up,25,14,0,28,-1.1435385715303568,-1.2740920477314557,1784277284.7643368,1784277288.888661,1784277289.7575989,1784277289.32313,0.710888,0.398715,0.675748,-0.002445,0.002059,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5570828,5634259,0,0,0,0,1
29,formal,down,25,14,1,29,-1.1435385715303568,-1.0129850953292578,1784277297.864521,1784277302.012171,1784277302.8843148,1784277302.448243,0.705182,0.398173,0.675807,-0.00234,0.002057,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5651451,5626553,0,0,0,0,1
30,formal,down,55,15,0,30,2.7730657145026036,2.9036191907037026,1784277352.705224,1784277356.83442,1784277357.70221,1784277357.2683148,1.2,-0.255965,-0.434821,-0.001803,0.005181,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3558653,3704401,0,0,0,0,1
31,formal,up,55,15,1,31,2.7730657145026036,2.6425122383015047,1784277365.831222,1784277369.937959,1784277370.817638,1784277370.3777986,1.2,-0.259405,-0.441009,-0.001708,0.005138,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3625048,3733194,0,0,0,0,1
32,formal,up,64,16,0,32,3.948047000312492,3.817493524111393,1784277387.599841,1784277391.720899,1784277392.5996852,1784277392.1602921,0.85084,-0.394593,-0.667782,-0.001083,0.004043,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5469373,5621133,0,0,0,0,1
33,formal,down,64,16,1,33,3.948047000312492,4.078600476513591,1784277400.701329,1784277404.843887,1784277405.7124732,1784277405.2781801,0.841564,-0.395709,-0.670361,-0.001164,0.004019,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5509938,5664323,0,0,0,0,1
34,formal,down,16,17,0,34,-2.3185198573402452,-2.1879663811391463,1784277478.39282,1784277482.540729,1784277483.416245,1784277482.978487,0.259708,0.305405,0.516773,0.003411,-0.007617,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4368859,4221164,0,0,0,0,1
35,formal,up,16,17,1,35,-2.3185198573402452,-2.449073333541344,1784277491.5736141,1784277495.712488,1784277496.594721,1784277496.1536045,0.249114,0.300119,0.508621,0.003459,-0.007623,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4309747,4128008,0,0,0,0,1
36,formal,up,35,18,0,36,0.16199619048062974,0.031442714279530826,1784277527.717185,1784277531.815681,1784277532.6711261,1784277532.2434034,1.2,0.300781,0.510729,-0.003728,0.005043,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4290184,4366742,0,0,0,0,1
37,formal,down,35,18,1,37,0.16199619048062974,0.29254966668172866,1784277540.811265,1784277544.956575,1784277545.8268852,1784277545.39173,1.2,0.299088,0.508555,-0.003651,0.005153,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4281885,4334730,0,0,0,0,1
38,formal,down,45,19,0,38,1.4675309524916171,1.598084428692716,1784277568.360727,1784277572.5038788,1784277573.369526,1784277572.9367023,1.2,0.030956,0.05287,-0.004819,0.008784,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-443000,650908,0,0,0,0,1
39,formal,up,45,19,1,39,1.4675309524916171,1.3369774762905182,1784277581.488526,1784277585.6124449,1784277586.491838,1784277586.0521414,1.2,0.028078,0.048,-0.004853,0.008754,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-494406,661663,0,0,0,0,1
40,formal,up,58,20,0,40,3.1647261431059004,3.0341726669048015,1784277609.017183,1784277613.143768,1784277614.013983,1784277613.5788755,1.170594,-0.320838,-0.543899,-0.003481,0.008076,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4422381,4698378,0,0,0,0,1
41,formal,down,58,20,1,41,3.1647261431059004,3.2952796193069993,1784277622.163968,1784277626.559838,1784277627.433673,1784277626.9967556,1.163755,-0.32436,-0.550494,-0.003546,0.008,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4478783,4653917,0,0,0,0,1
42,formal,down,22,21,0,42,-1.535199000133653,-1.4046455239325542,1784277684.426031,1784277688.5711098,1784277689.4408379,1784277689.0059738,0.557869,0.387239,0.65537,0.001585,-0.004684,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5451758,5417798,0,0,0,0,1
43,formal,up,22,21,1,43,-1.535199000133653,-1.665752476334752,1784277697.613079,1784277701.735112,1784277702.6071339,1784277702.171123,0.547286,0.385766,0.653466,0.001463,-0.004902,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5465223,5344289,0,0,0,0,1
44,formal,up,39,22,0,44,0.6842100952850245,0.5536566190839256,1784277730.8211148,1784277734.980788,1784277735.85073,1784277735.415759,1.2,0.205112,0.34882,-0.003936,0.006267,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2908084,2982948,0,0,0,0,1
45,formal,down,39,22,1,45,0.6842100952850245,0.8147635714861234,1784277743.973582,1784277748.108298,1784277748.975772,1784277748.542035,1.2,0.202786,0.345268,-0.003923,0.006338,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2920364,2895889,0,0,0,0,1
46,formal,down,41,23,0,46,0.9453170476872224,1.0758705238883213,1784277759.98321,1784277764.133493,1784277765.008235,1784277764.570864,1.2,0.14686,0.250502,-0.004784,0.008053,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2092374,2199334,0,0,0,0,1
47,formal,up,41,23,1,47,0.9453170476872224,0.8147635714861234,1784277773.15013,1784277777.270978,1784277778.141925,1784277777.7064514,1.2,0.145881,0.248921,-0.004847,0.008002,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2081026,2220337,0,0,0,0,1
48,formal,up,79,24,0,48,5.906349143328972,5.775795667127873,1784277836.575974,1784277840.70301,1784277841.5709991,1784277841.1370046,0.110463,-0.211448,-0.357148,0.00565,-0.009063,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3110148,2935015,0,0,0,0,1
49,formal,down,79,24,1,49,5.906349143328972,6.036902619530071,1784277849.698731,1784277853.8343549,1784277854.699896,1784277854.2671256,0.102089,-0.203955,-0.344995,0.005507,-0.00917,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2990062,2835676,0,0,0,0,1
50,formal,down,1,25,0,50,-4.276822000356725,-4.1462685241556265,1784277970.699281,1784277974.844165,1784277975.7085388,1784277975.276352,0.029476,-0.113986,-0.193452,0.00521,-0.009083,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1762177,1565110,0,0,0,0,1
51,formal,up,1,25,1,51,-4.276822000356725,-4.407375476557824,1784277983.8078122,1784277987.915319,1784277988.794472,1784277988.3548956,0.034797,-0.123051,-0.209096,0.005244,-0.009039,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1895730,1702981,0,0,0,0,1
52,sentinel,up,20,26,0,52,-1.7963059525358505,-1.9268594287369494,1784278019.899677,1784278024.0365708,1784278024.9208791,1784278024.478725,0.407504,0.357044,0.60412,0.00138,-0.004333,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5017396,4933978,0,0,0,0,1
53,sentinel,down,20,26,1,53,-1.7963059525358505,-1.6657524763347515,1784278033.074819,1784278037.224581,1784278038.1024399,1784278037.6635103,0.408011,0.356779,0.604556,0.001514,-0.004308,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5010112,4955828,0,0,0,0,1
