window_sequence_index,source_sequence_index,window_index,role,direction,grid_index,target_ordinal,pair_position,bias,t_start_unix,t_end_unix,t_mid_unix,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
0,0,0,sentinel,up,0,0,0,-4.407375476557824,1784278287.597002,1784278288.618249,1784278288.1076255,0.075425,-0.141714,-0.240712,0.004093,-0.006659,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2137428,1996847,0,0,0,0,1
1,0,1,sentinel,up,0,0,0,-4.407375476557824,1784278288.618458,1784278289.64918,1784278289.133819,0.075993,-0.142246,-0.24161,0.004083,-0.006678,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2142932,2025894,0,0,0,0,1
2,0,2,sentinel,up,0,0,0,-4.407375476557824,1784278289.64944,1784278290.663873,1784278290.1566565,0.076582,-0.142754,-0.242513,0.004089,-0.006661,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2135480,2029451,0,0,0,0,1
3,0,3,sentinel,up,0,0,0,-4.407375476557824,1784278290.6641002,1784278291.684215,1784278291.1741576,0.077022,-0.143143,-0.243118,0.004088,-0.006684,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2124471,2036057,0,0,0,0,1
4,1,0,sentinel,down,0,0,1,-4.407375476557824,1784278300.664545,1784278301.692317,1784278301.178431,0.081249,-0.146598,-0.249224,0.00407,-0.006678,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2221184,2082042,0,0,0,0,1
5,1,1,sentinel,down,0,0,1,-4.407375476557824,1784278301.692527,1784278302.7304802,1784278302.2115035,0.081582,-0.146934,-0.249747,0.004085,-0.006684,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2203230,2079332,0,0,0,0,1
6,1,2,sentinel,down,0,0,1,-4.407375476557824,1784278302.7306721,1784278303.752874,1784278303.2417731,0.081911,-0.147145,-0.25009,0.004113,-0.006674,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2186038,2078485,0,0,0,0,1
7,1,3,sentinel,down,0,0,1,-4.407375476557824,1784278303.753105,1784278304.784287,1784278304.2686958,0.08244,-0.147582,-0.250872,0.004096,-0.006672,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2206109,2093052,0,0,0,0,1
8,2,0,sentinel,down,80,1,0,6.036902619530071,1784278427.374057,1784278428.396448,1784278427.8852525,0.105237,-0.165901,-0.280708,0.003905,-0.006406,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2448231,2337290,0,0,0,0,1
9,2,1,sentinel,down,80,1,0,6.036902619530071,1784278428.396665,1784278429.421665,1784278428.909165,0.104487,-0.165339,-0.27978,0.003887,-0.006386,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2444335,2347707,0,0,0,0,1
10,2,2,sentinel,down,80,1,0,6.036902619530071,1784278429.4218712,1784278430.445148,1784278429.9335096,0.103674,-0.164694,-0.27886,0.00391,-0.006397,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2402415,2326450,0,0,0,0,1
11,2,3,sentinel,down,80,1,0,6.036902619530071,1784278430.445408,1784278431.4731112,1784278430.9592595,0.103023,-0.164348,-0.278185,0.003905,-0.006412,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2394793,2311207,0,0,0,0,1
12,3,0,sentinel,up,80,1,1,6.036902619530071,1784278440.502406,1784278441.533958,1784278441.0181818,0.096432,-0.159382,-0.269893,0.003891,-0.006415,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2327297,2244981,0,0,0,0,1
13,3,1,sentinel,up,80,1,1,6.036902619530071,1784278441.5342321,1784278442.569626,1784278442.051929,0.095808,-0.158779,-0.268933,0.00394,-0.006426,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2303500,2238799,0,0,0,0,1
14,3,2,sentinel,up,80,1,1,6.036902619530071,1784278442.5698528,1784278443.602324,1784278443.0860884,0.095204,-0.158334,-0.268127,0.003917,-0.006395,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2315695,2231092,0,0,0,0,1
15,3,3,sentinel,up,80,1,1,6.036902619530071,1784278443.602595,1784278444.634808,1784278444.1187015,0.094631,-0.157804,-0.267376,0.003917,-0.006386,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2310021,2225503,0,0,0,0,1
16,4,0,formal,up,18,2,0,-2.057412904938048,1784278541.422261,1784278542.457317,1784278541.939789,0.333188,0.267796,0.453847,-0.000234,-0.001086,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3801114,3773929,0,0,0,0,1
17,4,1,formal,up,18,2,0,-2.057412904938048,1784278542.457552,1784278543.500244,1784278542.978898,0.332399,0.267638,0.453528,-0.000255,-0.001102,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3807804,3768255,0,0,0,0,1
18,4,2,formal,up,18,2,0,-2.057412904938048,1784278543.500448,1784278544.526923,1784278544.0136855,0.331475,0.26723,0.453124,-0.000232,-0.001049,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3806280,3830754,0,0,0,0,1
19,4,3,formal,up,18,2,0,-2.057412904938048,1784278544.527141,1784278545.557424,1784278545.0422826,0.330604,0.267034,0.452794,-0.00022,-0.001119,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3796541,3793831,0,0,0,0,1
20,5,0,formal,down,18,2,1,-2.057412904938048,1784278554.5790179,1784278555.6095731,1784278555.0942955,0.323218,0.264749,0.449214,-0.00013,-0.001146,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3766477,3758008,0,0,0,0,1
21,5,1,formal,down,18,2,1,-2.057412904938048,1784278555.609804,1784278556.638456,1784278556.12413,0.322694,0.26466,0.449032,-0.000112,-0.001153,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3786209,3740732,0,0,0,0,1
22,5,2,formal,down,18,2,1,-2.057412904938048,1784278556.6386728,1784278557.6739829,1784278557.1563277,0.321917,0.264417,0.448677,-0.000182,-0.001155,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3772913,3744458,0,0,0,0,1
23,5,3,formal,down,18,2,1,-2.057412904938048,1784278557.674211,1784278558.7093408,1784278558.1917758,0.32128,0.264217,0.448374,-0.000134,-0.00115,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3758177,3749285,0,0,0,0,1
24,6,0,formal,down,62,3,0,3.6869400479102943,1784278629.610471,1784278630.6353018,1784278630.1228864,1.000151,-0.305515,-0.518277,0.001453,-0.001089,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4305174,4375041,0,0,0,0,1
25,6,1,formal,down,62,3,0,3.6869400479102943,1784278630.635565,1784278631.667706,1784278631.1516356,0.998331,-0.305498,-0.518152,0.001491,-0.00102,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4301956,4369790,0,0,0,0,1
26,6,2,formal,down,62,3,0,3.6869400479102943,1784278631.667918,1784278632.693901,1784278632.1809096,0.997788,-0.30569,-0.518523,0.001479,-0.00104,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4331766,4395112,0,0,0,0,1
27,6,3,formal,down,62,3,0,3.6869400479102943,1784278632.694103,1784278633.7375722,1784278633.2158375,0.99677,-0.305766,-0.518817,0.001501,-0.001038,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4297467,4363693,0,0,0,0,1
28,7,0,formal,up,62,3,1,3.6869400479102943,1784278642.752946,1784278643.770248,1784278643.261597,0.988641,-0.306721,-0.520672,0.001591,-0.001163,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4336423,4352938,0,0,0,0,1
29,7,1,formal,up,62,3,1,3.6869400479102943,1784278643.770495,1784278644.806648,1784278644.2885714,0.988371,-0.307109,-0.521181,0.001593,-0.001137,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4387490,4362507,0,0,0,0,1
30,7,2,formal,up,62,3,1,3.6869400479102943,1784278644.806879,1784278645.841957,1784278645.324418,0.986455,-0.306854,-0.520633,0.001535,-0.001106,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4317453,4399177,0,0,0,0,1
31,7,3,formal,up,62,3,1,3.6869400479102943,1784278645.8421881,1784278646.867172,1784278646.35468,0.986616,-0.307109,-0.521152,0.001542,-0.001179,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4352853,4405359,0,0,0,0,1
32,8,0,formal,up,78,4,0,5.775795667127873,1784278674.5799198,1784278675.613128,1784278675.0965238,0.148981,-0.194722,-0.329112,0.00332,-0.004921,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2792401,2767926,0,0,0,0,1
33,8,1,formal,up,78,4,0,5.775795667127873,1784278675.61334,1784278676.6451159,1784278676.1292279,0.148125,-0.194061,-0.328107,0.003279,-0.004969,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2805189,2757679,0,0,0,0,1
34,8,2,formal,up,78,4,0,5.775795667127873,1784278676.645406,1784278677.665681,1784278677.1555433,0.147212,-0.19357,-0.327335,0.003305,-0.004974,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2776395,2752598,0,0,0,0,1
35,8,3,formal,up,78,4,0,5.775795667127873,1784278677.66592,1784278678.7017941,1784278678.183857,0.14652,-0.19323,-0.326736,0.003289,-0.004935,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2786219,2735152,0,0,0,0,1
36,9,0,formal,down,78,4,1,5.775795667127873,1784278687.671395,1784278688.705452,1784278688.1884236,0.140637,-0.189844,-0.321376,0.003275,-0.00498,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2740826,2683154,0,0,0,0,1
