sequence_index,observation_sequence_index,bridge_step_index,from_bias,bias,delta_bias,t_start_unix,t_end_unix,t_mid_unix,dc_dmm,dac_response
0,54,0,0.0,0.1270138061324713,0.1270138061324713,1784280644.219468,1784280645.639612,1784280644.9295402,1.24962156,"[dac] CH_A set to +0.127 V (code=33184)
"
1,54,1,0.1270138061324713,0.2540276122649426,0.1270138061324713,1784280645.6398468,1784280647.064598,1784280646.3522224,1.25096217,"[dac] CH_A set to +0.254 V (code=33600)
"
2,54,2,0.2540276122649426,0.3810414183974139,0.12701380613247132,1784280647.064825,1784280648.487775,1784280647.7763,1.29118065,"[dac] CH_A set to +0.381 V (code=34016)
"
3,54,3,0.3810414183974139,0.5080552245298852,0.12701380613247126,1784280648.4880462,1784280649.906832,1784280649.1974392,1.33273974,"[dac] CH_A set to +0.508 V (code=34432)
"
4,54,4,0.5080552245298852,0.6350690306623564,0.12701380613247126,1784280649.907027,1784280651.3318772,1784280650.619452,1.36893637,"[dac] CH_A set to +0.635 V (code=34849)
"
5,54,5,0.6350690306623564,0.7620828367948278,0.12701380613247137,1784280651.332107,1784280652.750411,1784280652.041259,1.41317669,"[dac] CH_A set to +0.762 V (code=35265)
"
6,54,6,0.7620828367948278,0.8890966429272991,0.12701380613247126,1784280652.75063,1784280654.165278,1784280653.457954,1.45071393,"[dac] CH_A set to +0.889 V (code=35681)
"
7,54,7,0.8890966429272991,1.0161104490597703,0.12701380613247126,1784280654.165482,1784280655.586112,1784280654.875797,1.46680132,"[dac] CH_A set to +1.016 V (code=36097)
"
8,54,8,1.0161104490597703,1.1431242551922416,0.12701380613247126,1784280655.5863209,1784280657.012793,1784280656.299557,1.43194531,"[dac] CH_A set to +1.143 V (code=36513)
"
9,54,9,1.1431242551922416,1.2701380613247129,0.12701380613247126,1784280657.013014,1784280658.427194,1784280657.7201042,1.53115089,"[dac] CH_A set to +1.270 V (code=36929)
"
10,54,10,1.2701380613247129,1.3971518674571841,0.12701380613247126,1784280658.427393,1784280659.8472152,1784280659.137304,1.46412009,"[dac] CH_A set to +1.397 V (code=37346)
"
11,54,11,1.3971518674571841,1.5241656735896556,0.12701380613247149,1784280659.847457,1784280661.27042,1784280660.5589385,1.48959179,"[dac] CH_A set to +1.524 V (code=37762)
"
12,54,12,1.5241656735896556,1.6511794797221269,0.12701380613247126,1784280661.2706501,1784280662.691773,1784280661.9812117,1.49629487,"[dac] CH_A set to +1.651 V (code=38178)
"
13,54,13,1.6511794797221269,1.7781932858545981,0.12701380613247126,1784280662.691978,1784280664.107403,1784280663.3996906,1.51506349,"[dac] CH_A set to +1.778 V (code=38594)
"
14,54,14,1.7781932858545981,1.9052070919870694,0.12701380613247126,1784280664.10763,1784280665.5381749,1784280664.8229024,1.4989761,"[dac] CH_A set to +1.905 V (code=39010)
"
15,54,15,1.9052070919870694,2.0322208981195407,0.12701380613247126,1784280665.5384278,1784280666.957061,1784280666.2477446,1.47886687,"[dac] CH_A set to +2.032 V (code=39427)
"
16,54,16,2.0322208981195407,2.159234704252012,0.12701380613247126,1784280666.957319,1784280668.383269,1784280667.670294,1.4480327,"[dac] CH_A set to +2.159 V (code=39843)
"
17,54,17,2.159234704252012,2.286248510384483,0.12701380613247126,1784280668.383484,1784280669.804849,1784280669.0941663,1.45741701,"[dac] CH_A set to +2.286 V (code=40259)
"
18,54,18,2.286248510384483,2.4132623165169544,0.12701380613247126,1784280669.805095,1784280671.225216,1784280670.5151553,1.41049546,"[dac] CH_A set to +2.413 V (code=40675)
"
19,54,19,2.4132623165169544,2.5402761226494257,0.12701380613247126,1784280671.2254279,1784280672.6487832,1784280671.9371057,1.42524223,"[dac] CH_A set to +2.540 V (code=41091)
"
20,54,20,2.5402761226494257,2.667289928781897,0.12701380613247126,1784280672.649139,1784280674.0744379,1784280673.3617883,1.37698006,"[dac] CH_A set to +2.667 V (code=41508)
"
21,54,21,2.667289928781897,2.7943037349143682,0.12701380613247126,1784280674.074641,1784280675.499258,1784280674.7869496,1.30994927,"[dac] CH_A set to +2.794 V (code=41924)
"
22,54,22,2.7943037349143682,2.9213175410468395,0.12701380613247126,1784280675.4994712,1784280676.923058,1784280676.2112646,1.33005851,"[dac] CH_A set to +2.921 V (code=42340)
"
23,54,23,2.9213175410468395,3.048331347179311,0.1270138061324717,1784280676.923313,1784280678.3444932,1784280677.633903,1.26034648,"[dac] CH_A set to +3.048 V (code=42756)
"
24,54,24,3.048331347179311,3.1753451533117825,0.12701380613247126,1784280678.344692,1784280679.7666318,1784280679.055662,1.22280924,"[dac] CH_A set to +3.175 V (code=43172)
"
25,54,25,3.1753451533117825,3.3023589594442537,0.12701380613247126,1784280679.766826,1784280681.185921,1784280680.4763734,1.15577845,"[dac] CH_A set to +3.302 V (code=43589)
"
26,54,26,3.3023589594442537,3.429372765576725,0.12701380613247126,1784280681.186116,1784280682.607169,1784280681.8966424,1.13298798,"[dac] CH_A set to +3.429 V (code=44005)
"
27,54,27,3.429372765576725,3.5563865717091963,0.12701380613247126,1784280682.6073651,1784280684.024632,1784280683.3159986,1.10215381,"[dac] CH_A set to +3.556 V (code=44421)
"
28,55,0,3.4258330955080973,3.360556357407548,-0.06527673810054946,1784280694.1427689,1784280695.569029,1784280694.8558989,1.17186584,"[dac] CH_A set to +3.361 V (code=43779)
"
29,55,1,3.360556357407548,3.2952796193069984,-0.06527673810054946,1784280695.5692348,1784280696.9957252,1784280696.28248,1.16516276,"[dac] CH_A set to +3.295 V (code=43565)
"
30,56,0,3.4258330955080973,3.5563865717091963,0.13055347620109892,1784280707.13231,1784280708.5569978,1784280707.8446538,1.02305748,"[dac] CH_A set to +3.556 V (code=44421)
"
31,56,1,3.5563865717091963,3.6869400479102947,0.13055347620109847,1784280708.5572329,1784280709.982303,1784280709.2697678,0.984179616,"[dac] CH_A set to +3.687 V (code=44849)
"
32,56,2,3.6869400479102947,3.817493524111393,0.13055347620109847,1784280709.982563,1784280711.404088,1784280710.6933255,0.961389146,"[dac] CH_A set to +3.818 V (code=45276)
"
33,56,3,3.817493524111393,3.948047000312492,0.13055347620109892,1784280711.404326,1784280712.82338,1784280712.113853,0.884974042,"[dac] CH_A set to +3.948 V (code=45704)
"
34,56,4,3.948047000312492,4.078600476513591,0.13055347620109892,1784280712.823582,1784280714.253729,1784280713.5386555,0.813921402,"[dac] CH_A set to +4.079 V (code=46132)
"
35,56,5,4.078600476513591,4.20915395271469,0.13055347620109892,1784280714.253946,1784280715.673992,1784280714.963969,0.775043542,"[dac] CH_A set to +4.209 V (code=46560)
"
36,56,6,4.20915395271469,4.339707428915788,0.13055347620109803,1784280715.67417,1784280717.09678,1784280716.3854752,0.741528146,"[dac] CH_A set to +4.340 V (code=46988)
"
37,56,7,4.339707428915788,4.470260905116887,0.13055347620109892,1784280717.097038,1784280718.520999,1784280717.8090186,0.650366267,"[dac] CH_A set to +4.470 V (code=47416)
"
38,56,8,4.470260905116887,4.600814381317986,0.13055347620109892,1784280718.5212631,1784280719.93999,1784280719.2306266,0.611488408,"[dac] CH_A set to +4.601 V (code=47843)
"
39,56,9,4.600814381317986,4.731367857519084,0.13055347620109803,1784280719.940192,1784280721.355038,1784280720.647615,0.560545005,"[dac] CH_A set to +4.731 V (code=48271)
"
40,56,10,4.731367857519084,4.861921333720183,0.13055347620109892,1784280721.35527,1784280722.7823622,1784280722.0688162,0.484129901,"[dac] CH_A set to +4.862 V (code=48699)
"
41,56,11,4.861921333720183,4.992474809921282,0.13055347620109892,1784280722.782547,1784280724.1970282,1784280723.4897876,0.430505267,"[dac] CH_A set to +4.992 V (code=49127)
"
42,57,0,5.123028286122381,5.18830502422293,0.06527673810054946,1784280734.338651,1784280735.7574232,1784280735.048037,0.356771395,"[dac] CH_A set to +5.188 V (code=49768)
"
43,57,1,5.18830502422293,5.2535817623234795,0.06527673810054946,1784280735.757613,1784280737.182403,1784280736.470008,0.333980925,"[dac] CH_A set to +5.254 V (code=49982)
"
44,58,0,5.123028286122381,4.992474809921282,-0.13055347620109892,1784280747.3129,1784280748.736502,1784280748.024701,0.398330486,"[dac] CH_A set to +4.992 V (code=49127)
"
45,58,1,4.992474809921282,4.861921333720183,-0.13055347620109892,1784280748.7367501,1784280750.1572921,1784280749.447021,0.453295737,"[dac] CH_A set to +4.862 V (code=48699)
"
46,58,2,4.861921333720183,4.731367857519085,-0.13055347620109803,1784280750.157571,1784280751.5875552,1784280750.8725631,0.49083298,"[dac] CH_A set to +4.731 V (code=48271)
"
47,58,3,4.731367857519085,4.600814381317986,-0.13055347620109892,1784280751.587776,1784280753.014307,1784280752.3010416,0.592719786,"[dac] CH_A set to +4.601 V (code=47843)
"
48,58,4,4.600814381317986,4.470260905116887,-0.13055347620109892,1784280753.014514,1784280754.432523,1784280753.7235184,0.59137917,"[dac] CH_A set to +4.470 V (code=47416)
"
49,58,5,4.470260905116887,4.339707428915789,-0.13055347620109803,1784280754.432744,1784280755.8542569,1784280755.1435003,0.686562896,"[dac] CH_A set to +4.340 V (code=46988)
"
50,58,6,4.339707428915789,4.20915395271469,-0.13055347620109892,1784280755.854481,1784280757.274131,1784280756.564306,0.718737676,"[dac] CH_A set to +4.209 V (code=46560)
"
51,58,7,4.20915395271469,4.078600476513591,-0.13055347620109892,1784280757.274368,1784280758.6989849,1784280757.9866765,0.793812164,"[dac] CH_A set to +4.079 V (code=46132)
"
52,58,8,4.078600476513591,3.948047000312492,-0.13055347620109892,1784280758.6991959,1784280760.1252952,1784280759.4122455,0.864864804,"[dac] CH_A set to +3.948 V (code=45704)
"
53,58,9,3.948047000312492,3.8174935241113936,-0.13055347620109847,1784280760.126507,1784280761.5450702,1784280760.8357887,0.890336506,"[dac] CH_A set to +3.818 V (code=45276)
"
54,58,10,3.8174935241113936,3.686940047910295,-0.13055347620109847,1784280761.545381,1784280762.968128,1784280762.2567544,0.990882695,"[dac] CH_A set to +3.687 V (code=44849)
"
55,58,11,3.686940047910295,3.5563865717091963,-0.13055347620109892,1784280762.968354,1784280764.38878,1784280763.678567,1.02037624,"[dac] CH_A set to +3.556 V (code=44421)
"
56,58,12,3.5563865717091963,3.4258330955080973,-0.13055347620109892,1784280764.389071,1784280765.805402,1784280765.0972366,1.05791349,"[dac] CH_A set to +3.426 V (code=43993)
"
57,58,13,3.4258330955080973,3.295279619306999,-0.13055347620109847,1784280765.80563,1784280767.230294,1784280766.517962,1.11153812,"[dac] CH_A set to +3.295 V (code=43565)
"
58,58,14,3.295279619306999,3.1647261431059004,-0.13055347620109847,1784280767.230577,1784280768.654536,1784280767.9425564,1.17052522,"[dac] CH_A set to +3.165 V (code=43137)
"
59,58,15,3.1647261431059004,3.0341726669048015,-0.13055347620109892,1784280768.654774,1784280770.0695832,1784280769.3621786,1.24157786,"[dac] CH_A set to +3.034 V (code=42710)
"
60,58,16,3.0341726669048015,2.9036191907037026,-0.13055347620109892,1784280770.069807,1784280771.4946299,1784280770.7822185,1.24694032,"[dac] CH_A set to +2.904 V (code=42282)
"
61,58,17,2.9036191907037026,2.773065714502604,-0.13055347620109847,1784280771.4948428,1784280772.9196959,1784280772.2072692,1.31665235,"[dac] CH_A set to +2.773 V (code=41854)
"
62,58,18,2.773065714502604,2.6425122383015056,-0.13055347620109847,1784280772.919916,1784280774.348591,1784280773.6342535,1.34346467,"[dac] CH_A set to +2.642 V (code=41426)
"
63,58,19,2.6425122383015056,2.5119587621004067,-0.13055347620109892,1784280774.348792,1784280775.772305,1784280775.0605485,1.3890456,"[dac] CH_A set to +2.512 V (code=40999)
"
64,58,20,2.5119587621004067,2.3814052858993078,-0.13055347620109892,1784280775.772501,1784280777.193662,1784280776.4830813,1.40513299,"[dac] CH_A set to +2.381 V (code=40571)
"
65,58,21,2.3814052858993078,2.2508518096982093,-0.13055347620109847,1784280777.193901,1784280778.6221309,1784280777.908016,1.43998901,"[dac] CH_A set to +2.251 V (code=40143)
"
66,58,22,2.2508518096982093,2.120298333497111,-0.13055347620109847,1784280778.622326,1784280780.0388281,1784280779.330577,1.46143886,"[dac] CH_A set to +2.120 V (code=39715)
"
67,58,23,2.120298333497111,1.989744857296012,-0.13055347620109892,1784280780.039029,1784280781.4593222,1784280780.7491755,1.47618564,"[dac] CH_A set to +1.990 V (code=39287)
"
68,58,24,1.989744857296012,1.859191381094913,-0.13055347620109892,1784280781.459533,1784280782.881315,1784280782.170424,1.48959179,"[dac] CH_A set to +1.859 V (code=38860)
"
69,58,25,1.859191381094913,1.7286379048938145,-0.13055347620109847,1784280782.881585,1784280784.310478,1784280783.5960314,1.50433857,"[dac] CH_A set to +1.729 V (code=38432)
"
70,58,26,1.7286379048938145,1.598084428692716,-0.13055347620109847,1784280784.310719,1784280785.7328901,1784280785.0218046,1.52444781,"[dac] CH_A set to +1.598 V (code=38004)
"
71,58,27,1.598084428692716,1.4675309524916171,-0.13055347620109892,1784280785.733131,1784280787.155905,1784280786.444518,1.52042596,"[dac] CH_A set to +1.467 V (code=37576)
"
72,58,28,1.4675309524916171,1.3369774762905182,-0.13055347620109892,1784280787.156106,1784280788.582726,1784280787.869416,1.49763549,"[dac] CH_A set to +1.337 V (code=37149)
"
