sequence_index,observation_sequence_index,bridge_step_index,from_bias,bias,delta_bias,t_start_unix,t_end_unix,t_mid_unix,dc_dmm,dac_response
0,108,0,0.0,-0.1294692446742183,-0.1294692446742183,1784282521.194877,1784282522.637297,1784282521.916087,1.32737727,"[dac] CH_A set to -0.130 V (code=32343)
"
1,108,1,-0.1294692446742183,-0.2589384893484366,-0.1294692446742183,1784282522.6375759,1784282524.080022,1784282523.358799,1.25230279,"[dac] CH_A set to -0.259 V (code=31919)
"
2,108,2,-0.2589384893484366,-0.38840773402265494,-0.12946924467421833,1784282524.0802581,1784282525.517025,1784282524.7986417,1.18527199,"[dac] CH_A set to -0.388 V (code=31495)
"
3,108,3,-0.38840773402265494,-0.5178769786968732,-0.12946924467421828,1784282525.5172632,1784282526.95883,1784282526.2380466,1.13298798,"[dac] CH_A set to -0.518 V (code=31070)
"
4,108,4,-0.5178769786968732,-0.6473462233710915,-0.12946924467421828,1784282526.9590778,1784282528.402213,1784282527.6806455,1.08070396,"[dac] CH_A set to -0.647 V (code=30646)
"
5,108,5,-0.6473462233710915,-0.7768154680453099,-0.1294692446742184,1784282528.402433,1784282529.839689,1784282529.1210608,1.00160762,"[dac] CH_A set to -0.777 V (code=30222)
"
6,108,6,-0.7768154680453099,-0.9062847127195282,-0.12946924467421828,1784282529.83992,1784282531.273252,1784282530.556586,0.949323603,"[dac] CH_A set to -0.906 V (code=29798)
"
7,108,7,-0.9062847127195282,-1.0357539573937464,-0.12946924467421828,1784282531.273418,1784282532.71414,1784282531.993779,0.884974042,"[dac] CH_A set to -1.036 V (code=29373)
"
8,108,8,-1.0357539573937464,-1.1652232020679647,-0.12946924467421828,1784282532.7147148,1784282534.15534,1784282533.4350274,0.813921402,"[dac] CH_A set to -1.165 V (code=28949)
"
9,108,9,-1.1652232020679647,-1.294692446742183,-0.12946924467421828,1784282534.1555781,1784282535.594908,1784282534.8752432,0.760296768,"[dac] CH_A set to -1.295 V (code=28525)
"
10,108,10,-1.294692446742183,-1.4241616914164013,-0.12946924467421828,1784282535.595111,1784282537.036603,1784282536.315857,0.649025652,"[dac] CH_A set to -1.424 V (code=28101)
"
