transition_discard_index,role,direction,grid_index,target_ordinal,pair_position,source_sequence_index,bias,approach_bias,t_target_set_unix,t_start_unix,t_end_unix,t_mid_unix,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
0,formal,up,6,54,0,108,-3.624054619351232,-3.754608095552331,1784282562.814673,1784282566.9038742,1784282567.7788212,1784282567.3413477,-0.000482,0.015145,0.025637,0.003403,-0.006464,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-347388,254740,0,0,0,0,1
1,formal,down,6,54,1,109,-3.624054619351232,-3.4935011431501333,1784282575.927412,1784282580.071847,1784282580.946529,1784282580.509188,-0.000981,0.009198,0.015491,0.003493,-0.006506,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-290478,184026,0,0,0,0,1
2,formal,down,74,55,0,110,5.2535817623234795,5.384135238524578,1784282686.832923,1784282690.9621298,1784282691.828116,1784282691.395123,0.376412,-0.305801,-0.515868,0.004929,-0.007167,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4344215,4298145,0,0,0,0,1
3,formal,up,74,55,1,111,5.2535817623234795,5.123028286122381,1784282699.9591382,1784282704.0881321,1784282704.957178,1784282704.522655,0.361807,-0.301051,-0.50882,0.005035,-0.007331,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4253938,4175348,0,0,0,0,1
4,formal,up,44,56,0,112,1.3369774762905182,1.2064240000894193,1784282756.180665,1784282760.3253279,1784282761.193301,1784282760.7593145,1.2,0.036879,0.063035,-0.003702,0.006725,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-617118,731277,0,0,0,0,1
5,formal,down,44,56,1,113,1.3369774762905182,1.4675309524916171,1784282769.3555179,1784282773.469743,1784282774.344466,1784282773.9071045,1.2,0.039207,0.066828,-0.003701,0.006718,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-690288,801567,0,0,0,0,1
6,formal,down,36,57,0,114,0.29254966668172866,0.4231031428828276,1784282789.67397,1784282793.802942,1784282794.6830668,1784282794.2430043,1.2,0.24022,0.40853,-0.004378,0.006686,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3437550,3541885,0,0,0,0,1
7,formal,up,36,57,1,115,0.29254966668172866,0.16199619048062974,1784282802.842989,1784282806.95079,1784282807.826116,1784282807.388453,1.2,0.242634,0.413445,-0.004418,0.00658,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3469308,3524186,0,0,0,0,1
8,formal,up,31,58,0,116,-0.36021771432376504,-0.49077119052486395,1784282823.111049,1784282827.2455502,1784282828.1169221,1784282827.6812363,1.19884,0.32833,0.557991,-0.00487,0.007012,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4635032,4760877,0,0,0,0,1
9,formal,down,31,58,1,117,-0.36021771432376504,-0.22966423812266612,1784282836.252364,1784282840.408427,1784282841.275678,1784282840.8420525,1.194163,0.329746,0.560796,-0.004994,0.006919,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4711250,4761639,0,0,0,0,1
