role,direction,grid_index,target_ordinal,pair_position,sequence_index,bias,approach_bias,bias_settle_s,t_approach_set_unix,t_target_set_unix,transition_discard_index,transition_followed_without_reconfigure,t_discard_start_unix,t_discard_end_unix,t_dmm_pre_start_unix,t_dmm_pre_end_unix,t_dmm_pre_mid_unix,dc_dmm_pre,t_acq_start_unix,t_acq_end_unix,t_acq_mid_unix,t_dmm_post_start_unix,t_dmm_post_end_unix,t_dmm_post_mid_unix,dc_dmm_post,dmm_interpolation_weight,dc_dmm_interp,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows,dmm_pre_read_count,dmm_post_read_count,discard_read_attempt_count,formal_read_retry_count,t_acq_first_attempt_start_unix
sentinel,up,0,0,0,0,-4.407375476557824,-4.537928952758923,0.5,1784361488.642155,1784361490.062221,0,True,1784361494.1279821,1784361495.801543,1784361495.8018591,1784361497.434649,1784361496.6190574,0.259241591,1784361497.4348211,1784361516.0145228,1784361506.7254376,1784361516.0147378,1784361517.643123,1784361516.8299928,0.27113955700000003,0.5000451511568127,0.2651911112069286,0.24987787500000003,-0.2170605,-0.370827625,0.0039016249999999997,-0.005773,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-3220750,3108709,0,0,0,0,8,8,8,1,0,1784361497.4348211
sentinel,down,0,0,1,1,-4.407375476557824,-4.276822000356725,0.5,1784361519.7773728,1784361521.202865,1,True,1784361525.282889,1784361526.950623,1784361526.950905,1784361528.594198,1784361527.7718916,0.28354025362499996,1784361528.594406,1784361547.1769788,1784361537.879453,1784361547.177304,1784361548.813298,1784361547.9950156,0.297784297125,0.49980217380104414,0.2906594575300166,0.2705535,-0.22395325,-0.38296850000000004,0.003897125,-0.0057555,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-3321528,3206692,0,0,0,0,8,8,8,1,0,1784361528.594406
sentinel,down,80,1,0,2,6.036902619530071,6.16745609573117,0.5,1784361663.25761,1784361664.67428,2,True,1784361668.75281,1784361670.4213471,1784361670.4215739,1784361672.0519412,1784361671.2357416,0.282869945625,1784361672.05212,1784361690.635167,1784361681.3438032,1784361690.635426,1784361692.268843,1784361691.4518938,0.25555489774999995,0.4999992805983459,0.2692124413379906,0.25746525,-0.2215805,-0.37678775,0.003489625,-0.0051895,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-3212112,3182387,0,0,0,0,8,8,8,1,0,1784361672.05212
sentinel,up,80,1,1,3,6.036902619530071,5.906349143328972,0.5,1784361694.411048,1784361695.835296,3,True,1784361699.9204638,1784361701.591338,1784361701.591563,1784361703.211004,1784361702.400702,0.24533270162500004,1784361703.211191,1784361721.771594,1784361712.4914956,1784361721.77188,1784361723.409099,1784361722.591086,0.24231631599999998,0.49978215639848034,0.24382516591280812,0.22867875,-0.21107625000000002,-0.359161,0.003530375,-0.005262375,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-3084573,3025884,0,0,0,0,8,8,8,1,0,1784361703.211191
formal,up,18,2,0,4,-2.057412904938048,-2.1879663811391468,0.5,1784361812.309516,1784361813.7356422,4,True,1784361817.8140538,1784361819.480224,1784361819.4804611,1784361821.1101382,1784361820.2974484,0.189864720875,1784361821.110414,1784361839.666629,1784361830.3916717,1784361839.666997,1784361841.29882,1784361840.4815063,0.177966755,0.500108713787787,0.18391444446456276,0.17387125,0.18655725,0.31835187500000006,0.000552375,-0.00198625,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-2746416,2703818,0,0,0,0,8,8,8,1,0,1784361821.110414
formal,down,18,2,1,5,-2.057412904938048,-1.926859428736949,0.5,1784361843.441271,1784361844.868897,5,True,1784361848.949395,1784361850.629004,1784361850.629237,1784361852.285135,1784361851.456211,0.17696129300000002,1784361852.285328,1784361870.997167,1784361861.6308594,1784361870.997451,1784361872.636301,1784361871.8173146,0.168917598,0.4997100607819673,0.1729417776826384,0.158150875,0.17886950000000001,0.3055335,0.00069175,-0.002145875,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-2622857,2597112,0,0,0,0,8,8,8,1,0,1784361852.285328
formal,down,62,3,0,6,3.6869400479102943,3.817493524111393,0.5,1784361936.5287502,1784361937.970537,6,True,1784361942.117953,1784361943.803914,1784361943.804424,1784361945.46277,1784361944.6331928,1.2843099900000001,1784361945.4630542,1784361964.118975,1784361954.785903,1784361964.119228,1784361965.770984,1784361964.9450538,1.26101679125,0.49984145619439463,1.2726670836173746,1.2,-0.241451125,-0.41313500000000003,0.000355375,0.00068725,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-3493275,3562210,0,0,0,0,8,8,8,1,0,1784361945.4630542
formal,up,62,3,1,7,3.6869400479102943,3.5563865717091954,0.5,1784361967.9430048,1784361969.3773818,7,True,1784361973.482668,1784361975.162344,1784361975.1625862,1784361976.79421,1784361975.9766502,1.25565432625,1784361976.794448,1784361995.486423,1784361986.134179,1784361995.4867141,1784361997.144128,1784361996.31357,1.25062701875,0.4994625039027319,1.253143374658161,1.2,-0.246639375,-0.422307125,0.000496,0.00052625,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-3581858,3645119,0,0,0,0,8,8,8,1,0,1784361976.794448
formal,up,78,4,0,8,5.775795667127873,5.6452421909267745,0.5,1784362017.988828,1784362019.427525,8,True,1784362023.565075,1784362025.2328541,1784362025.233085,1784362026.886693,1784362026.06031,0.30867680087500005,1784362026.886879,1784362045.571576,1784362036.2199006,1784362045.571854,1784362047.21446,1784362046.394628,0.290913641,0.4996278036315222,0.2998018323210982,0.287822,-0.22978075,-0.390845125,0.002694,-0.00350075,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-3324916,3334316,0,0,0,0,8,8,8,1,0,1784362026.886879
formal,down,78,4,1,9,5.775795667127873,5.906349143328972,0.5,1784362049.3875232,1784362050.828473,9,True,1784362054.9604301,1784362056.635158,1784362056.6353972,1784362058.3026502,1784362057.4690948,0.27532898137499995,1784362058.302847,1784362077.020406,1784362067.656641,1784362077.0214632,1784362078.6670341,1784362077.846088,0.27097198,0.49995336228225945,0.2731506838881003,0.26614525,-0.222734375,-0.379201125,0.0027421249999999998,-0.0036258749999999998,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-3237095,3206523,0,0,0,0,8,8,8,1,0,1784362058.302847
