window_sequence_index,source_sequence_index,window_index,role,direction,grid_index,target_ordinal,pair_position,bias,t_start_unix,t_end_unix,t_mid_unix,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows,read_attempt_count,t_first_attempt_start_unix
0,54,0,sentinel,down,60,27,0,3.4258330955080973,1784364383.793729,1784364386.121429,1784364384.9575791,1.2,-0.211857,-0.362384,-0.000354,0.002186,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3073902,3161554,0,0,0,0,1,1,1784364383.793729
1,54,1,sentinel,down,60,27,0,3.4258330955080973,1784364386.1224608,1784364388.444206,1784364387.2833333,1.2,-0.212375,-0.363294,-0.000371,0.002169,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3152577,3188993,0,0,0,0,1,1,1784364386.1224608
2,54,2,sentinel,down,60,27,0,3.4258330955080973,1784364388.444493,1784364390.761014,1784364389.6027536,1.2,-0.213109,-0.364647,-0.000348,0.002151,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3106507,3230489,0,0,0,0,1,1,1784364388.444493
3,54,3,sentinel,down,60,27,0,3.4258330955080973,1784364390.761268,1784364393.0858839,1784364391.9235759,1.2,-0.213715,-0.365729,-0.000349,0.002146,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3071023,3186198,0,0,0,0,1,1,1784364390.761268
4,54,4,sentinel,down,60,27,0,3.4258330955080973,1784364393.086101,1784364395.401877,1784364394.243989,1.2,-0.214283,-0.366608,-0.000279,0.002161,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3059759,3230320,0,0,0,0,1,1,1784364393.086101
5,54,5,sentinel,down,60,27,0,3.4258330955080973,1784364395.402122,1784364397.725384,1784364396.5637531,1.2,-0.214676,-0.367474,-0.0003,0.00214,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3118363,3203305,0,0,0,0,1,1,1784364395.402122
6,54,6,sentinel,down,60,27,0,3.4258330955080973,1784364397.7256289,1784364400.048277,1784364398.8869529,1.2,-0.215134,-0.368303,-0.000307,0.002098,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3087791,3218972,0,0,0,0,1,1,1784364397.7256289
7,54,7,sentinel,down,60,27,0,3.4258330955080973,1784364400.04928,1784364402.36866,1784364401.20897,1.2,-0.215682,-0.369071,-0.000308,0.002078,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3123783,3286807,0,0,0,0,1,1,1784364400.04928
8,55,0,sentinel,up,60,27,1,3.4258330955080973,1784364414.9342022,1784364417.26218,1784364416.0981913,1.2,-0.218327,-0.37369,-0.000254,0.002064,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3162655,3281387,0,0,0,0,1,1,1784364414.9342022
9,55,1,sentinel,up,60,27,1,3.4258330955080973,1784364417.263238,1784364419.587513,1784364418.4253755,1.2,-0.218782,-0.374498,-0.000229,0.001996,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3142330,3206015,0,0,0,0,1,1,1784364417.263238
10,55,2,sentinel,up,60,27,1,3.4258330955080973,1784364419.587892,1784364421.910327,1784364420.7491095,1.2,-0.219008,-0.375019,-0.000228,0.001987,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3202204,3258944,0,0,0,0,1,1,1784364419.587892
11,55,3,sentinel,up,60,27,1,3.4258330955080973,1784364421.9105449,1784364424.231989,1784364423.071267,1.2,-0.21943,-0.375701,-0.000265,0.002001,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3170107,3296038,0,0,0,0,1,1,1784364421.9105449
12,55,4,sentinel,up,60,27,1,3.4258330955080973,1784364424.233091,1784364426.546638,1784364425.3898644,1.2,-0.219508,-0.375854,-0.000234,0.002011,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3192973,3260808,0,0,0,0,1,1,1784364424.233091
13,55,5,sentinel,up,60,27,1,3.4258330955080973,1784364426.546936,1784364428.865014,1784364427.705975,1.2,-0.220129,-0.377125,-0.000165,0.001964,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3149274,3266651,0,0,0,0,1,1,1784364426.546936
14,55,6,sentinel,up,60,27,1,3.4258330955080973,1784364428.865571,1784364431.186667,1784364430.026119,1.2,-0.220516,-0.377569,-0.000237,0.001956,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3192803,3279608,0,0,0,0,1,1,1784364428.865571
15,55,7,sentinel,up,60,27,1,3.4258330955080973,1784364431.1871018,1784364433.5155132,1784364432.3513074,1.2,-0.220703,-0.377975,-0.000215,0.001993,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3225747,3301542,0,0,0,0,1,1,1784364431.1871018
16,56,0,formal,up,73,28,0,5.123028286122381,1784364460.287199,1784364462.608882,1784364461.4480405,0.551584,-0.284244,-0.483558,0.003549,-0.004658,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4057209,4050095,0,0,0,0,1,1,1784364460.287199
17,56,1,formal,up,73,28,0,5.123028286122381,1784364462.609588,1784364464.9341938,1784364463.7718909,0.549274,-0.284021,-0.483222,0.003575,-0.004687,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4073723,4063052,0,0,0,0,1,1,1784364462.609588
18,56,2,formal,up,73,28,0,5.123028286122381,1784364464.9344609,1784364467.257004,1784364466.0957325,0.547023,-0.283822,-0.483039,0.003548,-0.004676,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4073977,4048486,0,0,0,0,1,1,1784364464.9344609
19,56,3,formal,up,73,28,0,5.123028286122381,1784364467.257216,1784364469.576115,1784364468.4166656,0.544787,-0.283635,-0.482721,0.00355,-0.004663,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4073977,4041457,0,0,0,0,1,1,1784364467.257216
20,56,4,formal,up,73,28,0,5.123028286122381,1784364469.5775309,1784364471.892742,1784364470.7351365,0.542243,-0.283077,-0.481986,0.003589,-0.004756,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4053737,4040017,0,0,0,0,1,1,1784364469.5775309
21,56,5,formal,up,73,28,0,5.123028286122381,1784364471.892986,1784364474.214551,1784364473.0537686,0.540559,-0.283076,-0.481938,0.003574,-0.004712,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4059411,4040187,0,0,0,0,1,1,1784364471.892986
22,56,6,formal,up,73,28,0,5.123028286122381,1784364474.214869,1784364476.5337338,1784364475.3743014,0.538397,-0.282749,-0.481465,0.003569,-0.004725,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4073553,4023164,0,0,0,0,1,1,1784364474.214869
23,56,7,formal,up,73,28,0,5.123028286122381,1784364476.534847,1784364478.850823,1784364477.6928349,0.536265,-0.282285,-0.480697,0.00361,-0.004785,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4023080,4037223,0,0,0,0,1,1,1784364476.534847
24,57,0,formal,down,73,28,1,5.123028286122381,1784364491.433523,1784364493.760768,1784364492.5971456,0.524896,-0.28081,-0.478289,0.00359,-0.004809,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4008683,4014950,0,0,0,0,1,1,1784364491.433523
25,57,1,formal,down,73,28,1,5.123028286122381,1784364493.761106,1784364496.092858,1784364494.926982,0.523485,-0.280641,-0.478041,0.003575,-0.004788,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4027483,4009022,0,0,0,0,1,1,1784364493.761106
26,57,2,formal,down,73,28,1,5.123028286122381,1784364496.093123,1784364498.413204,1784364497.2531633,0.521872,-0.280335,-0.477657,0.003615,-0.004823,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4052805,3985733,0,0,0,0,1,1,1784364496.093123
27,57,3,formal,down,73,28,1,5.123028286122381,1784364498.413455,1784364500.7504692,1784364499.581962,0.520307,-0.280165,-0.477262,0.003593,-0.004799,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4027822,3974723,0,0,0,0,1,1,1784364498.413455
28,57,4,formal,down,73,28,1,5.123028286122381,1784364500.751497,1784364503.080458,1784364501.9159775,0.519031,-0.280053,-0.477126,0.003624,-0.004846,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4010122,3995387,0,0,0,0,1,1,1784364500.751497
29,57,5,formal,down,73,28,1,5.123028286122381,1784364503.080676,1784364505.4179358,1784364504.249306,0.517534,-0.279796,-0.47669,0.003606,-0.004843,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3999537,3985394,0,0,0,0,1,1,1784364503.080676
30,57,6,formal,down,73,28,1,5.123028286122381,1784364505.4181619,1784364507.745331,1784364506.5817466,0.516383,-0.279777,-0.476703,0.003597,-0.004832,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4028754,3970150,0,0,0,0,1,1,1784364505.4181619
31,57,7,formal,down,73,28,1,5.123028286122381,1784364507.746398,1784364510.0854259,1784364508.915912,0.514749,-0.279413,-0.476097,0.003642,-0.004813,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4029770,4049333,0,0,0,0,1,1,1784364507.746398
32,58,0,formal,down,7,29,0,-3.4935011431501337,1784364613.395333,1784364615.727971,1784364614.5616522,0.002958,-0.030112,-0.051639,0.002886,-0.005095,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-558091,490510,0,0,0,0,1,1,1784364613.395333
33,58,1,formal,down,7,29,0,-3.4935011431501337,1784364615.729135,1784364618.054288,1784364616.8917115,0.003348,-0.031609,-0.054058,0.002898,-0.005103,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-576129,509141,0,0,0,0,1,1,1784364615.729135
34,58,2,formal,down,7,29,0,-3.4935011431501337,1784364618.054587,1784364620.403042,1784364619.2288146,0.003755,-0.032981,-0.056491,0.002912,-0.005114,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-601789,524300,0,0,0,0,1,1,1784364618.054587
35,58,3,formal,down,7,29,0,-3.4935011431501337,1784364620.403269,1784364622.734623,1784364621.568946,0.004124,-0.034211,-0.058576,0.00294,-0.005113,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-615255,547251,0,0,0,0,1,1,1784364620.403269
36,58,4,formal,down,7,29,0,-3.4935011431501337,1784364622.7349381,1784364625.061847,1784364623.8983927,0.004517,-0.035392,-0.060594,0.002927,-0.005129,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-625756,569269,0,0,0,0,1,1,1784364622.7349381
37,58,5,formal,down,7,29,0,-3.4935011431501337,1784364625.0620701,1784364627.401603,1784364626.2318366,0.004846,-0.0366,-0.062643,0.002946,-0.005145,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-671657,584767,0,0,0,0,1,1,1784364625.0620701
38,58,6,formal,down,7,29,0,-3.4935011431501337,1784364627.4018939,1784364629.738139,1784364628.5700164,0.005236,-0.03763,-0.06455,0.002957,-0.005155,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-667337,590780,0,0,0,0,1,1,1784364627.4018939
39,58,7,formal,down,7,29,0,-3.4935011431501337,1784364629.7392378,1784364632.076264,1784364630.9077508,0.005563,-0.03875,-0.066422,0.002977,-0.005178,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-687493,596962,0,0,0,0,1,1,1784364629.7392378
40,59,0,formal,up,7,29,1,-3.4935011431501337,1784364644.772641,1784364647.101377,1784364645.9370089,0.007886,-0.044886,-0.076939,0.003029,-0.005228,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-773112,690881,0,0,0,0,1,1,1784364644.772641
41,59,1,formal,up,7,29,1,-3.4935011431501337,1784364647.102582,1784364649.453503,1784364648.2780423,0.008213,-0.045725,-0.078348,0.003019,-0.005247,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-772773,701890,0,0,0,0,1,1,1784364647.102582
42,59,2,formal,up,7,29,1,-3.4935011431501337,1784364649.45373,1784364651.788355,1784364650.6210427,0.008518,-0.046522,-0.079684,0.003021,-0.005246,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-790981,702059,0,0,0,0,1,1,1784364649.45373
43,59,3,formal,up,7,29,1,-3.4935011431501337,1784364651.788637,1784364654.137774,1784364652.9632053,0.008852,-0.047311,-0.081059,0.003046,-0.005268,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-786408,722554,0,0,0,0,1,1,1784364651.788637
44,59,4,formal,up,7,29,1,-3.4935011431501337,1784364654.1392179,1784364656.4850519,1784364655.3121347,0.009187,-0.048084,-0.082381,0.003049,-0.005271,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-804447,731954,0,0,0,0,1,1,1784364654.1392179
45,59,5,formal,up,7,29,1,-3.4935011431501337,1784364656.4853172,1784364658.818136,1784364657.6517267,0.009531,-0.048848,-0.083683,0.003043,-0.005285,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-811730,743810,0,0,0,0,1,1,1784364656.4853172
46,59,6,formal,up,7,29,1,-3.4935011431501337,1784364658.818536,1784364661.172904,1784364659.99572,0.009872,-0.049634,-0.085007,0.00306,-0.005282,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-817658,750670,0,0,0,0,1,1,1784364658.818536
