sequence_index,observation_sequence_index,bridge_step_index,from_bias,bias,delta_bias,t_start_unix,t_end_unix,t_mid_unix,dc_dmm,dac_response
0,108,0,0.0,-0.1294692446742183,-0.1294692446742183,1784367371.658123,1784367373.091896,1784367372.3750095,0.874249115,"[dac] CH_A set to -0.130 V (code=32343)
"
1,108,1,-0.1294692446742183,-0.2589384893484366,-0.1294692446742183,1784367373.092125,1784367374.5408928,1784367373.8165088,0.82732756,"[dac] CH_A set to -0.259 V (code=31919)
"
2,108,2,-0.2589384893484366,-0.38840773402265494,-0.12946924467421833,1784367374.5410938,1784367375.9880152,1784367375.2645545,0.788449701,"[dac] CH_A set to -0.388 V (code=31495)
"
3,108,3,-0.38840773402265494,-0.5178769786968732,-0.12946924467421828,1784367375.988242,1784367377.424041,1784367376.7061415,0.705331518,"[dac] CH_A set to -0.518 V (code=31070)
"
4,108,4,-0.5178769786968732,-0.6473462233710915,-0.12946924467421828,1784367377.4242291,1784367378.870201,1784367378.1472151,0.675837969,"[dac] CH_A set to -0.647 V (code=30646)
"
5,108,5,-0.6473462233710915,-0.7768154680453099,-0.1294692446742184,1784367378.870404,1784367380.314239,1784367379.5923214,0.59137917,"[dac] CH_A set to -0.777 V (code=30222)
"
6,108,6,-0.7768154680453099,-0.9062847127195282,-0.12946924467421828,1784367380.3144221,1784367381.753451,1784367381.0339365,0.539095151,"[dac] CH_A set to -0.906 V (code=29798)
"
7,108,7,-0.9062847127195282,-1.0357539573937464,-0.12946924467421828,1784367381.753685,1784367383.188543,1784367382.4711142,0.49083298,"[dac] CH_A set to -1.036 V (code=29373)
"
8,108,8,-1.0357539573937464,-1.1652232020679647,-0.12946924467421828,1784367383.188842,1784367384.639091,1784367383.9139667,0.441230194,"[dac] CH_A set to -1.165 V (code=28949)
"
9,108,9,-1.1652232020679647,-1.294692446742183,-0.12946924467421828,1784367384.639325,1784367386.071858,1784367385.3555913,0.372858785,"[dac] CH_A set to -1.295 V (code=28525)
"
10,108,10,-1.294692446742183,-1.4241616914164013,-0.12946924467421828,1784367386.0720499,1784367387.507683,1784367386.7898664,0.340684005,"[dac] CH_A set to -1.424 V (code=28101)
"
11,108,11,-1.4241616914164013,-1.5536309360906198,-0.1294692446742185,1784367387.5081542,1784367388.943928,1784367388.226041,0.280356291,"[dac] CH_A set to -1.554 V (code=27677)
"
12,108,12,-1.5536309360906198,-1.683100180764838,-0.12946924467421828,1784367388.94414,1784367390.383369,1784367389.6637545,0.250862742,"[dac] CH_A set to -1.683 V (code=27252)
"
13,108,13,-1.683100180764838,-1.8125694254390563,-0.12946924467421828,1784367390.383605,1784367391.8245409,1784367391.104073,0.211984882,"[dac] CH_A set to -1.813 V (code=26828)
"
14,108,14,-1.8125694254390563,-1.9420386701132746,-0.12946924467421828,1784367391.8247921,1784367393.266722,1784367392.545757,0.150316553,"[dac] CH_A set to -1.942 V (code=26404)
"
15,108,15,-1.9420386701132746,-2.071507914787493,-0.12946924467421828,1784367393.266933,1784367394.702353,1784367393.984643,0.146294705,"[dac] CH_A set to -2.072 V (code=25980)
"
16,108,16,-2.071507914787493,-2.2009771594617114,-0.1294692446742185,1784367394.702513,1784367396.1299672,1784367395.4162402,0.115460541,"[dac] CH_A set to -2.201 V (code=25555)
"
17,108,17,-2.2009771594617114,-2.3304464041359294,-0.12946924467421805,1784367396.130168,1784367397.575278,1784367396.8527231,0.0980325345,"[dac] CH_A set to -2.330 V (code=25131)
"
18,108,18,-2.3304464041359294,-2.459915648810148,-0.1294692446742185,1784367397.57547,1784367399.006676,1784367398.2910728,0.0350235893,"[dac] CH_A set to -2.460 V (code=24707)
"
19,108,19,-2.459915648810148,-2.589384893484366,-0.12946924467421805,1784367399.006871,1784367400.4408681,1784367399.7238696,0.047089132,"[dac] CH_A set to -2.589 V (code=24283)
"
20,108,20,-2.589384893484366,-2.7188541381585845,-0.1294692446742185,1784367400.441059,1784367401.8829381,1784367401.1619987,0.0444079002,"[dac] CH_A set to -2.719 V (code=23858)
"
21,108,21,-2.7188541381585845,-2.8483233828328025,-0.12946924467421805,1784367401.883163,1784367403.326916,1784367402.6050396,0.0135737355,"[dac] CH_A set to -2.848 V (code=23434)
"
22,108,22,-2.8483233828328025,-2.977792627507021,-0.1294692446742185,1784367403.327232,1784367404.777416,1784367404.0523238,0.00553031162,"[dac] CH_A set to -2.978 V (code=23010)
"
23,108,23,-2.977792627507021,-3.1072618721812395,-0.1294692446742185,1784367404.777598,1784367406.226892,1784367405.502245,0.0256392783,"[dac] CH_A set to -3.107 V (code=22586)
"
24,108,24,-3.1072618721812395,-3.2367311168554576,-0.12946924467421805,1784367406.227112,1784367407.6750169,1784367406.9510646,0.0216174307,"[dac] CH_A set to -3.237 V (code=22162)
"
25,108,25,-3.2367311168554576,-3.366200361529676,-0.1294692446742185,1784367407.675363,1784367409.116935,1784367408.3961492,0.0390454368,"[dac] CH_A set to -3.366 V (code=21737)
"
26,108,26,-3.366200361529676,-3.495669606203894,-0.12946924467421805,1784367409.117141,1784367410.549547,1784367409.833344,0.0323423575,"[dac] CH_A set to -3.496 V (code=21313)
"
27,108,27,-3.495669606203894,-3.6251388508781126,-0.1294692446742185,1784367410.5497448,1784367411.994784,1784367411.2722645,0.0591546747,"[dac] CH_A set to -3.625 V (code=20889)
"
28,108,28,-3.6251388508781126,-3.754608095552331,-0.1294692446742185,1784367411.994984,1784367413.425159,1784367412.7100716,0.0873076077,"[dac] CH_A set to -3.755 V (code=20465)
"
29,109,0,-3.624054619351232,-3.5587778812506827,0.06527673810054946,1784367441.956418,1784367443.3841338,1784367442.670276,0.0444079002,"[dac] CH_A set to -3.559 V (code=21106)
"
30,109,1,-3.5587778812506827,-3.4935011431501333,0.06527673810054946,1784367443.384351,1784367444.808176,1784367444.0962634,0.0645171381,"[dac] CH_A set to -3.493 V (code=21320)
"
31,110,0,-3.624054619351232,-3.4953661928101494,0.1286884265410828,1784367473.332942,1784367474.774549,1784367474.0537455,0.0591546747,"[dac] CH_A set to -3.495 V (code=21314)
"
32,110,1,-3.4953661928101494,-3.366677766269066,0.12868842654108326,1784367474.774763,1784367476.214719,1784367475.494741,0.047089132,"[dac] CH_A set to -3.367 V (code=21736)
"
33,110,2,-3.366677766269066,-3.2379893397279833,0.1286884265410828,1784367476.214912,1784367477.65444,1784367476.934676,0.0175955831,"[dac] CH_A set to -3.238 V (code=22157)
"
34,110,3,-3.2379893397279833,-3.1093009131869,0.12868842654108326,1784367477.654635,1784367479.092957,1784367478.373796,0.0175955831,"[dac] CH_A set to -3.109 V (code=22579)
"
35,110,4,-3.1093009131869,-2.9806124866458172,0.1286884265410828,1784367479.0931551,1784367480.5212622,1784367479.8072085,0.0216174307,"[dac] CH_A set to -2.981 V (code=23001)
"
36,110,5,-2.9806124866458172,-2.851924060104734,0.12868842654108326,1784367480.5214322,1784367481.958035,1784367481.2397337,0.02832051,"[dac] CH_A set to -2.852 V (code=23423)
"
37,110,6,-2.851924060104734,-2.723235633563651,0.1286884265410828,1784367481.9582899,1784367483.384753,1784367482.6715214,0.00284898855,"[dac] CH_A set to -2.723 V (code=23844)
"
38,110,7,-2.723235633563651,-2.5945472070225684,0.1286884265410828,1784367483.38499,1784367484.8181918,1784367484.1015909,0.0497703637,"[dac] CH_A set to -2.595 V (code=24266)
"
39,110,8,-2.5945472070225684,-2.465858780481485,0.12868842654108326,1784367484.818398,1784367486.260417,1784367485.5394075,0.0604952905,"[dac] CH_A set to -2.466 V (code=24687)
"
40,110,9,-2.465858780481485,-2.337170353940402,0.12868842654108326,1784367486.26061,1784367487.69956,1784367486.980085,0.0511109795,"[dac] CH_A set to -2.337 V (code=25109)
"
41,110,10,-2.337170353940402,-2.208481927399319,0.1286884265410828,1784367487.699768,1784367489.1412349,1784367488.4205015,0.0779232967,"[dac] CH_A set to -2.208 V (code=25531)
"
42,110,11,-2.208481927399319,-2.079793500858236,0.1286884265410828,1784367489.1415071,1784367490.5828831,1784367489.862195,0.120823004,"[dac] CH_A set to -2.080 V (code=25953)
"
43,110,12,-2.079793500858236,-1.9511050743171532,0.12868842654108303,1784367490.583074,1784367492.025013,1784367491.3040435,0.167744559,"[dac] CH_A set to -1.951 V (code=26374)
"
44,110,13,-1.9511050743171532,-1.8224166477760702,0.12868842654108303,1784367492.025266,1784367493.4798322,1784367492.7525492,0.183831949,"[dac] CH_A set to -1.822 V (code=26796)
"
45,110,14,-1.8224166477760702,-1.6937282212349871,0.12868842654108303,1784367493.480217,1784367494.923342,1784367494.2017794,0.240137815,"[dac] CH_A set to -1.694 V (code=27218)
"
46,110,15,-1.6937282212349871,-1.565039794693904,0.12868842654108303,1784367494.9235358,1784367496.355563,1784367495.6395493,0.279015675,"[dac] CH_A set to -1.565 V (code=27639)
"
47,110,16,-1.565039794693904,-1.4363513681528213,0.1286884265410828,1784367496.355756,1784367497.786658,1784367497.071207,0.317893535,"[dac] CH_A set to -1.436 V (code=28061)
"
48,110,17,-1.4363513681528213,-1.307662941611738,0.12868842654108326,1784367497.786981,1784367499.2383711,1784367498.5126762,0.354090163,"[dac] CH_A set to -1.308 V (code=28482)
"
49,110,18,-1.307662941611738,-1.1789745150706552,0.1286884265410828,1784367499.238548,1784367500.67662,1784367499.957584,0.441230194,"[dac] CH_A set to -1.179 V (code=28904)
"
50,110,19,-1.1789745150706552,-1.050286088529572,0.12868842654108326,1784367500.676852,1784367502.092036,1784367501.384444,0.477426822,"[dac] CH_A set to -1.050 V (code=29326)
"
51,110,20,-1.050286088529572,-0.9215976619884891,0.1286884265410828,1784367502.092243,1784367503.5296052,1784367502.810924,0.53641392,"[dac] CH_A set to -0.922 V (code=29748)
"
52,110,21,-0.9215976619884891,-0.7929092354474059,0.12868842654108326,1784367503.529797,1784367504.960522,1784367504.2451596,0.58467609,"[dac] CH_A set to -0.793 V (code=30169)
"
53,110,22,-0.7929092354474059,-0.6642208089063231,0.1286884265410828,1784367504.960781,1784367506.407973,1784367505.6843772,0.619532103,"[dac] CH_A set to -0.664 V (code=30591)
"
54,110,23,-0.6642208089063231,-0.5355323823652403,0.1286884265410828,1784367506.408292,1784367507.849613,1784367507.1289525,0.682541048,"[dac] CH_A set to -0.535 V (code=31013)
"
55,110,24,-0.5355323823652403,-0.406843955824157,0.12868842654108326,1784367507.849817,1784367509.282411,1784367508.566114,0.750912457,"[dac] CH_A set to -0.407 V (code=31435)
"
56,110,25,-0.406843955824157,-0.2781555292830742,0.1286884265410828,1784367509.282617,1784367510.730111,1784367510.0063639,0.817943249,"[dac] CH_A set to -0.278 V (code=31856)
"
57,110,26,-0.2781555292830742,-0.14946710274199093,0.12868842654108326,1784367510.730284,1784367512.1759,1784367511.453092,0.88899589,"[dac] CH_A set to -0.149 V (code=32278)
"
58,110,27,-0.14946710274199093,-0.02077867620090812,0.1286884265410828,1784367512.176099,1784367513.606286,1784367512.8911924,0.969432841,"[dac] CH_A set to -0.021 V (code=32699)
"
59,110,28,-0.02077867620090812,0.10790975034017514,0.12868842654108326,1784367513.606528,1784367515.029794,1784367514.318161,1.00428885,"[dac] CH_A set to +0.108 V (code=33121)
"
60,110,29,0.10790975034017514,0.23659817688125795,0.1286884265410828,1784367515.029967,1784367516.469304,1784367515.7496357,1.07131965,"[dac] CH_A set to +0.237 V (code=33543)
"
