dmm_sequence_index,source_sequence_index,side,read_index,t_start_unix,t_end_unix,t_mid_unix,dc_dmm
0,108,pre,0,1784367419.252821,1784367419.458291,1784367419.355556,0.0403860527
1,108,pre,1,1784367419.459372,1784367419.6622772,1784367419.5608246,0.075242065
2,108,pre,2,1784367419.662459,1784367419.87258,1784367419.7675195,0.0604952905
3,108,pre,3,1784367419.872747,1784367420.0806882,1784367419.9767175,0.0444079002
4,108,pre,4,1784367420.0808718,1784367420.282766,1784367420.181819,0.075242065
5,108,pre,5,1784367420.283026,1784367420.483486,1784367420.383256,0.0537922112
6,108,pre,6,1784367420.483681,1784367420.689982,1784367420.5868316,0.0511109795
7,108,pre,7,1784367420.690167,1784367420.891844,1784367420.7910056,0.0712202174
8,108,post,0,1784367439.6022348,1784367439.803871,1784367439.703053,0.0779232967
9,108,post,1,1784367439.804051,1784367440.0048761,1784367439.9044635,0.0645171381
10,108,post,2,1784367440.005101,1784367440.212047,1784367440.108574,0.0578140588
11,108,post,3,1784367440.2122219,1784367440.412659,1784367440.3124404,0.0645171381
12,108,post,4,1784367440.41296,1784367440.614719,1784367440.5138395,0.0859669918
13,108,post,5,1784367440.6148942,1784367440.816884,1784367440.715889,0.0618359064
14,108,post,6,1784367440.817132,1784367441.0272582,1784367440.922195,0.0578140588
15,108,post,7,1784367441.027443,1784367441.233071,1784367441.1302571,0.0712202174
16,109,pre,0,1784367450.618295,1784367450.8249469,1784367450.721621,0.037704821
17,109,pre,1,1784367450.8251772,1784367451.031998,1784367450.9285874,0.0832857601
18,109,pre,2,1784367451.032206,1784367451.233134,1784367451.13267,0.0765826808
19,109,pre,3,1784367451.2333262,1784367451.4434931,1784367451.3384097,0.0819451442
20,109,pre,4,1784367451.4436831,1784367451.645622,1784367451.5446525,0.0578140588
21,109,pre,5,1784367451.645818,1784367451.855967,1784367451.7508926,0.0671983698
22,109,pre,6,1784367451.856229,1784367452.05852,1784367451.9573746,0.0618359064
23,109,pre,7,1784367452.058696,1784367452.268854,1784367452.163775,0.0685389857
24,109,post,0,1784367470.952805,1784367471.158126,1784367471.0554657,0.0806045284
25,109,post,1,1784367471.158308,1784367471.366703,1784367471.2625055,0.0645171381
26,109,post,2,1784367471.3668668,1784367471.574013,1784367471.47044,0.0631765222
27,109,post,3,1784367471.574208,1784367471.78235,1784367471.678279,0.0913294552
28,109,post,4,1784367471.782651,1784367471.9884548,1784367471.885553,0.0698796015
29,109,post,5,1784367471.988619,1784367472.1898408,1784367472.08923,0.0725608332
30,109,post,6,1784367472.19002,1784367472.398748,1784367472.294384,0.065857754
31,109,post,7,1784367472.3989198,1784367472.599136,1784367472.499028,0.0859669918
32,110,pre,0,1784367579.8267672,1784367580.036902,1784367579.9318347,0.602104097
33,110,pre,1,1784367580.037096,1784367580.241535,1784367580.1393156,0.600763481
34,110,pre,2,1784367580.241756,1784367580.450113,1784367580.3459344,0.586016706
35,110,pre,3,1784367580.450301,1784367580.660428,1784367580.5553646,0.604785328
36,110,pre,4,1784367580.6606221,1784367580.869084,1784367580.764853,0.611488408
37,110,pre,5,1784367580.869292,1784367581.079009,1784367580.9741507,0.612829023
38,110,pre,6,1784367581.079179,1784367581.2807748,1784367581.179977,0.588697938
39,110,pre,7,1784367581.2809548,1784367581.487465,1784367581.3842099,0.588697938
40,110,post,0,1784367600.1864588,1784367600.3966022,1784367600.2915306,0.588697938
41,110,post,1,1784367600.396759,1784367600.59945,1784367600.4981046,0.579313627
42,110,post,2,1784367600.5996978,1784367600.8074849,1784367600.7035913,0.572610548
43,110,post,3,1784367600.8076968,1784367601.0109031,1784367600.9092999,0.547138846
44,110,post,4,1784367601.011025,1784367601.212887,1784367601.1119561,0.560545005
45,110,post,5,1784367601.213085,1784367601.415807,1784367601.314446,0.55250131
46,110,post,6,1784367601.416048,1784367601.626173,1784367601.5211105,0.573951164
47,110,post,7,1784367601.626365,1784367601.836513,1784367601.731439,0.575291779
48,111,pre,0,1784367611.222943,1784367611.42374,1784367611.3233414,0.567248084
49,111,pre,1,1784367611.424076,1784367611.634211,1784367611.5291436,0.528370224
50,111,pre,2,1784367611.6344,1784367611.8406348,1784367611.7375174,0.594060401
51,111,pre,3,1784367611.841056,1784367612.0479202,1784367611.944488,0.53641392
52,111,pre,4,1784367612.048239,1784367612.2528949,1784367612.150567,0.572610548
53,111,pre,5,1784367612.253074,1784367612.462772,1784367612.357923,0.560545005
54,111,pre,6,1784367612.462961,1784367612.667901,1784367612.565431,0.58467609
55,111,pre,7,1784367612.6680682,1784367612.8740852,1784367612.7710767,0.551160694
56,111,post,0,1784367631.5738869,1784367631.774443,1784367631.6741648,0.531051456
57,111,post,1,1784367631.774683,1784367631.975401,1784367631.875042,0.572610548
58,111,post,2,1784367631.975661,1784367632.185833,1784367632.0807471,0.543116999
59,111,post,3,1784367632.186017,1784367632.389747,1784367632.2878819,0.576632395
60,111,post,4,1784367632.389941,1784367632.598412,1784367632.4941764,0.549820078
61,111,post,5,1784367632.5986,1784367632.8087418,1784367632.703671,0.549820078
62,111,post,6,1784367632.8089411,1784367633.0109272,1784367632.909934,0.557863773
63,111,post,7,1784367633.011103,1784367633.219746,1784367633.1154246,0.539095151
64,112,pre,0,1784367685.769067,1784367685.974345,1784367685.871706,1.53919458
65,112,pre,1,1784367685.974777,1784367686.18495,1784367686.0798635,1.54723828
66,112,pre,2,1784367686.185159,1784367686.395266,1784367686.2902126,1.52176657
67,112,pre,3,1784367686.395464,1784367686.603434,1784367686.499449,1.54321643
68,112,pre,4,1784367686.603629,1784367686.80769,1784367686.7056594,1.5660069
