window_sequence_index,source_sequence_index,window_index,role,direction,grid_index,target_ordinal,pair_position,bias,t_start_unix,t_end_unix,t_mid_unix,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows,read_attempt_count,t_first_attempt_start_unix
0,108,0,formal,up,6,54,0,-3.624054619351232,1784367420.892111,1784367423.235273,1784367422.063692,0.049077,-0.104349,-0.178631,0.003335,-0.005479,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1595767,1514721,0,0,0,0,1,1,1784367420.892111
1,108,1,formal,up,6,54,0,-3.624054619351232,1784367423.2363331,1784367425.567323,1784367424.401828,0.049666,-0.104969,-0.179706,0.003351,-0.005468,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1605506,1527847,0,0,0,0,1,1,1784367423.2363331
2,108,2,formal,up,6,54,0,-3.624054619351232,1784367425.567606,1784367427.908479,1784367426.7380424,0.050233,-0.105522,-0.180695,0.003351,-0.005471,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1639465,1538518,0,0,0,0,1,1,1784367425.567606
3,108,3,formal,up,6,54,0,-3.624054619351232,1784367427.908749,1784367430.2505422,1784367429.0796456,0.050656,-0.106005,-0.181482,0.003347,-0.005497,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1624476,1537586,0,0,0,0,1,1,1784367427.908749
4,108,4,formal,up,6,54,0,-3.624054619351232,1784367430.250779,1784367432.585852,1784367431.4183154,0.051179,-0.10646,-0.182421,0.00335,-0.005504,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1646410,1550035,0,0,0,0,1,1,1784367430.250779
5,108,5,formal,up,6,54,0,-3.624054619351232,1784367432.5860832,1784367434.922036,1784367433.7540596,0.051591,-0.10683,-0.183014,0.00335,-0.005479,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1659536,1543938,0,0,0,0,1,1,1784367432.5860832
6,108,6,formal,up,6,54,0,-3.624054619351232,1784367434.9222882,1784367437.249623,1784367436.0859556,0.052027,-0.107269,-0.18371,0.003373,-0.005492,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1662331,1557318,0,0,0,0,1,1,1784367434.9222882
7,108,7,formal,up,6,54,0,-3.624054619351232,1784367437.24985,1784367439.602009,1784367438.4259295,0.052457,-0.107719,-0.184448,0.003342,-0.005503,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1651660,1561214,0,0,0,0,1,1,1784367437.24985
8,109,0,formal,down,6,54,1,-3.624054619351232,1784367452.269044,1784367454.618495,1784367453.4437695,0.054843,-0.109945,-0.188401,0.003355,-0.005503,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1668344,1599323,0,0,0,0,1,1,1784367452.269044
9,109,1,formal,down,6,54,1,-3.624054619351232,1784367454.618708,1784367456.959436,1784367455.789072,0.0552,-0.110357,-0.188951,0.003354,-0.005499,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1700017,1609147,0,0,0,0,1,1,1784367454.618708
10,109,2,formal,down,6,54,1,-3.624054619351232,1784367456.9597702,1784367459.302594,1784367458.1311822,0.055581,-0.110675,-0.189622,0.003373,-0.005511,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1675881,1612704,0,0,0,0,1,1,1784367456.9597702
11,109,3,formal,down,6,54,1,-3.624054619351232,1784367459.302987,1784367461.632923,1784367460.467955,0.055956,-0.110999,-0.190168,0.003384,-0.005499,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1682656,1607708,0,0,0,0,1,1,1784367459.302987
12,109,4,formal,down,6,54,1,-3.624054619351232,1784367461.633148,1784367463.964245,1784367462.7986965,0.056204,-0.111176,-0.190557,0.003376,-0.005477,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1700525,1621766,0,0,0,0,1,1,1784367461.633148
13,109,5,formal,down,6,54,1,-3.624054619351232,1784367463.9644852,1784367466.294227,1784367465.129356,0.056601,-0.11164,-0.191261,0.003363,-0.005503,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1700356,1614821,0,0,0,0,1,1,1784367463.9644852
14,109,6,formal,down,6,54,1,-3.624054619351232,1784367466.294485,1784367468.621227,1784367467.4578562,0.056909,-0.111885,-0.191659,0.003368,-0.005515,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1698069,1620495,0,0,0,0,1,1,1784367466.294485
15,109,7,formal,down,6,54,1,-3.624054619351232,1784367468.6215591,1784367470.9525602,1784367469.7870598,0.057231,-0.112222,-0.192296,0.003365,-0.005473,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1727456,1632267,0,0,0,0,1,1,1784367468.6215591
