role,direction,grid_index,target_ordinal,pair_position,sequence_index,bias,approach_bias,bias_settle_s,t_approach_set_unix,t_target_set_unix,transition_discard_index,transition_followed_without_reconfigure,t_discard_start_unix,t_discard_end_unix,t_dmm_pre_start_unix,t_dmm_pre_end_unix,t_dmm_pre_mid_unix,dc_dmm_pre,t_acq_start_unix,t_acq_end_unix,t_acq_mid_unix,t_dmm_post_start_unix,t_dmm_post_end_unix,t_dmm_post_mid_unix,dc_dmm_post,dmm_interpolation_weight,dc_dmm_interp,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows,dmm_pre_read_count,dmm_post_read_count,discard_read_attempt_count,formal_read_retry_count,t_acq_first_attempt_start_unix
formal,up,6,54,0,108,-3.624054619351232,-3.754608095552331,0.5,1784367411.994984,1784367413.4253619,0,True,1784367417.556565,1784367419.251729,1784367419.252821,1784367420.891844,1784367420.0754414,0.058987097687500004,1784367420.892111,1784367439.602009,1784367430.2459335,1784367439.6022348,1784367441.233071,1784367440.4138389,0.0677011007625,0.5000635950197867,0.06334465339219797,0.050860749999999996,-0.10614037500000001,-0.181763375,0.003349875,-0.005486625,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-1662331,1561214,0,0,0,0,8,8,8,1,0,1784367420.892111
formal,down,6,54,1,109,-3.624054619351232,-3.4935011431501333,0.5,1784367443.384351,1784367444.808405,1,True,1784367448.936691,1784367450.618029,1784367450.618295,1784367452.268854,1784367451.4422479,0.06686321585,1784367452.269044,1784367470.9525602,1784367461.6256185,1784367470.952805,1784367472.599136,1784367471.7793608,0.07423660304999999,0.5007284287835102,0.07055528043746845,0.056065624999999994,-0.111112375,-0.190364375,0.0033672499999999996,-0.005497500000000001,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-1727456,1632267,0,0,0,0,8,8,8,1,0,1784367452.269044
formal,down,74,55,0,110,5.2535817623234795,5.384135238524578,0.5,1784367572.5584269,1784367574.008441,2,True,1784367578.140342,1784367579.8265338,1784367579.8267672,1784367581.487465,1784367580.6594548,0.599422864875,1784367581.4876428,1784367600.186229,1784367590.826425,1784367600.1864588,1784367601.836513,1784367601.0101848,0.568756277125,0.4995874979328035,0.5841022210308408,0.5707450000000001,-0.288049625,-0.49045300000000003,0.0033216250000000004,-0.0044115000000000005,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-4119031,4127923,0,0,0,0,8,8,8,1,0,1784367581.4876428
formal,up,74,55,1,111,5.2535817623234795,5.123028286122381,0.5,1784367604.001065,1784367605.44097,3,True,1784367609.543696,1784367611.222723,1784367611.222943,1784367612.8740852,1784367612.047436,0.56188562075,1784367612.8743849,1784367631.5736058,1784367622.2374773,1784367631.5738869,1784367633.219746,1784367632.39263,0.55250130975,0.5008574139367238,0.5571854190109621,0.534727875,-0.283705875,-0.483243125,0.003425,-0.00457775,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-4105481,4057039,0,0,0,0,8,8,8,1,0,1784367612.8743849
formal,up,44,56,0,112,1.3369774762905182,1.2064240000894193,0.5,1784367678.4991722,1784367679.947309,4,True,1784367684.0770712,1784367685.768019,1784367685.769067,1784367687.436139,1784367686.6016312,1.54556250625,1784367687.4363232,1784367706.1293812,1784367696.7945704,1784367706.130708,1784367707.780905,1784367706.9574876,1.53785396375,0.5007374326017101,1.5417025504694488,1.2,0.1147375,0.19721937499999997,-0.002858875,0.004794,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-4733947,1907925,0,0,0,0,8,8,8,1,0,1784367687.4363232
formal,down,44,56,1,113,1.3369774762905182,1.4675309524916171,0.5,1784367709.9281821,1784367711.366348,5,True,1784367715.4767392,1784367717.1600718,1784367717.160535,1784367718.812376,1784367717.9875753,1.53534031,1784367718.812638,1784367737.486675,1784367728.1564965,1784367737.4869041,1784367739.132478,1784367738.3105989,1.54623281375,0.5003645842052491,1.5407905331098228,1.2,0.11664612499999999,0.200839125,-0.0028590000000000004,0.00476575,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-1807231,1884297,0,0,0,0,8,8,8,1,0,1784367718.812638
formal,down,36,57,0,114,0.29254966668172866,0.4231031428828276,0.5,1784367748.484598,1784367749.9101179,6,True,1784367754.047668,1784367755.741188,1784367755.741411,1784367757.3934422,1784367756.565078,1.22046316125,1784367757.393656,1784367776.048343,1784367766.7115602,1784367776.0486379,1784367777.7022169,1784367776.8775609,1.2142628125,0.49951954727651043,1.2173659658494436,1.1941561250000001,0.252639125,0.43276975,-0.0033171249999999998,0.0044925,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-3685685,3771727,0,0,0,0,8,8,8,1,0,1784367757.393656
formal,up,36,57,1,115,0.29254966668172866,0.16199619048062974,0.5,1784367779.849098,1784367781.270077,7,True,1784367785.4149709,1784367787.0945868,1784367787.094812,1784367788.7477188,1784367787.9200273,1.21459796625,1784367788.747893,1784367807.4307709,1784367798.0928197,1784367807.430979,1784367809.091752,1784367808.2609138,1.2161061587500002,0.5001154884891159,1.2153522366788732,1.1870091249999999,0.254069875,0.43578062500000003,-0.003319,0.004479749999999999,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-3728282,3790697,0,0,0,0,8,8,8,1,0,1784367788.747893
formal,up,31,58,0,116,-0.36021771432376504,-0.49077119052486395,0.5,1784367818.440756,1784367819.8786392,8,True,1784367824.0174348,1784367825.690631,1784367825.690885,1784367827.3670819,1784367826.528903,0.915137899,1784367827.3672729,1784367846.075994,1784367836.7184606,1784367846.076235,1784367847.737406,1784367846.9011018,0.91245666725,0.5001697481116847,0.9137968279909734,0.893799,0.295120875,0.5047258750000001,-0.0034325,0.004605499999999999,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-4216506,4315675,0,0,0,0,8,8,8,1,0,1784367827.3672729
formal,down,31,58,1,117,-0.36021771432376504,-0.22966423812266612,0.5,1784367849.902715,1784367851.338698,9,True,1784367855.436887,1784367857.1078012,1784367857.1080241,1784367858.765785,1784367857.9370878,0.9044129721249999,1784367858.766211,1784367877.474952,1784367868.1332972,1784367877.475196,1784367879.12308,1784367878.3019772,0.91044574375,0.5006759054163012,0.9074334355205166,0.8858623750000001,0.295232,0.50550075,-0.003378625,0.004578375,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-4275025,4330919,0,0,0,0,8,8,8,1,0,1784367858.766211
formal,down,49,59,0,118,1.989744857296012,2.120298333497111,0.5,1784367907.1250181,1784367908.54075,10,True,1784367912.660244,1784367914.349477,1784367914.350587,1784367915.997698,1784367915.1738725,1.6104147962500002,1784367915.997876,1784367934.6894689,1784367925.348993,1784367934.689732,1784367936.3563,1784367935.5242887,1.5951652925,0.49999570035237895,1.6027901099424926,1.2,0.012936125,0.022303375,-0.00272975,0.004862,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-443085,571810,0,0,0,0,8,8,8,1,0,1784367915.997876
formal,up,49,59,1,119,1.989744857296012,1.859191381094913,0.5,1784367938.4988558,1784367939.940474,11,True,1784367944.074256,1784367945.7579362,1784367945.758167,1784367947.423327,1784367946.591234,1.6082362962499999,1784367947.423542,1784367965.4971552,1784367956.608849,1784367965.497439,1784367967.1620212,1784367966.3252883,1.605555065,0.5076308656031259,1.6068752205096801,1.2,0.004342749999999999,0.007513875,-0.001344375,0.0024100000000000002,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-289462,417848,0,0,0,0,8,8,8,1,0,1784367947.423542
formal,up,66,60,0,120,4.20915395271469,4.078600476513591,0.5,1784367989.475117,1784367990.9250932,12,True,1784367995.0402,1784367996.708925,1784367996.710058,1784367998.365207,1784367997.5388463,1.0083107005,1784367998.365452,1784368017.0337229,1784368007.7027774,1784368017.033961,1784368018.6803699,1784368017.8571339,0.9885366178749999,0.5002356166007059,0.9984190000853698,0.9832341250000001,-0.28718212499999995,-0.49005050000000006,0.00091475,0.000160125,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-4191015,4188813,0,0,0,0,8,8,8,1,0,1784367998.365452
formal,down,66,60,1,121,4.20915395271469,4.339707428915789,0.5,1784368020.851903,1784368022.3018382,13,True,1784368026.4094348,1784368028.0920792,1784368028.093153,1784368029.7362509,1784368028.913576,0.98786630925,1784368029.736435,1784368048.4307258,1784368039.08596,1784368048.4311512,1784368050.073822,1784368049.2531734,0.974795304625,0.5001271063435309,0.9813291455298958,0.9612992499999999,-0.28907099999999997,-0.493748875,0.001003875,9.375000000000001e-06,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-4174840,4214304,0,0,0,0,8,8,8,1,0,1784368029.736435
formal,down,14,61,0,122,-2.5796268097424426,-2.4490733335413437,0.5,1784368124.223208,1784368125.656569,14,True,1784368129.782198,1784368131.4785962,1784368131.4788349,1784368133.1322932,1784368132.3053818,0.0836209140625,1784368133.132689,1784368151.820817,1784368142.4678786,1784368151.821048,1784368153.472499,1784368152.6452513,0.0735662951125,0.4996343170042206,0.07859728139067905,0.06861487499999999,0.12401075,0.21193425,0.00229125,-0.004505250000000001,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-1883111,1830436,0,0,0,0,8,8,8,1,0,1784368133.132689
formal,up,14,61,1,123,-2.5796268097424426,-2.7101802859435415,0.5,1784368155.632799,1784368157.073505,15,True,1784368161.213259,1784368162.897587,1784368162.89784,1784368164.53959,1784368163.7175999,0.07356629511249999,1784368164.539804,1784368183.230277,1784368173.8839624,1784368183.230738,1784368184.872009,1784368184.0531092,0.0708850634,0.49993154210879004,0.07222586280771888,0.057126125,0.113707375,0.194621125,0.002347,-0.004564624999999999,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-1734400,1670546,0,0,0,0,8,8,8,1,0,1784368164.539804
formal,up,15,62,0,124,-2.449073333541344,-2.579626809742443,0.5,1784368185.5973592,1784368187.0378351,16,True,1784368191.181181,1784368192.866933,1784368192.867999,1784368194.521395,1784368193.697191,0.0854642608875,1784368194.521572,1784368213.1929228,1784368203.8630948,1784368213.1931992,1784368214.8534532,1784368214.0190759,0.0767502577875,0.5002441393332077,0.0811051319065936,0.0740605,0.127231375,0.2177125,0.003102125,-0.005930125,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-1938073,1840768,0,0,0,0,8,8,8,1,0,1784368194.521572
formal,down,15,62,1,125,-2.449073333541344,-2.3185198573402452,0.5,1784368217.026183,1784368218.461731,17,True,1784368222.6135838,1784368224.297271,1784368224.2975519,1784368225.952395,1784368225.1293478,0.0822802981875,1784368225.952588,1784368244.630688,1784368235.278565,1784368244.631904,1784368246.282849,1784368245.4511352,0.07742056575,0.499425417178805,0.0798532242875242,0.06802525000000001,0.12224925,0.2092775,0.003136875,-0.005902124999999999,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-1866428,1761839,0,0,0,0,8,8,8,1,0,1784368225.952588
formal,down,65,63,0,126,4.078600476513591,4.20915395271469,0.5,1784368320.355527,1784368321.799569,18,True,1784368325.931513,1784368327.6237152,1784368327.6248388,1784368329.282295,1784368328.4546108,1.1041647325000001,1784368329.282502,1784368347.9535959,1784368338.6164477,1784368347.953834,1784368349.61652,1784368348.7825089,1.0825473037500002,0.49989609598643153,1.0933582642626103,1.0703875,-0.27580112500000004,-0.470969875,-0.001283625,0.003823,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-3945760,4063052,0,0,0,0,8,8,8,1,0,1784368329.282502
