transition_discard_index,role,direction,grid_index,target_ordinal,pair_position,source_sequence_index,bias,approach_bias,t_target_set_unix,t_start_unix,t_end_unix,t_mid_unix,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows,read_attempt_count,t_first_attempt_start_unix
0,formal,up,6,54,0,108,-3.624054619351232,-3.754608095552331,1784367413.4253619,1784367417.556565,1784367419.251729,1784367418.4041471,0.048097,-0.103488,-0.17708,0.003389,-0.005486,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1614737,1485758,0,0,0,0,1,1,1784367417.556565
1,formal,down,6,54,1,109,-3.624054619351232,-3.4935011431501333,1784367444.808405,1784367448.936691,1784367450.618029,1784367449.77736,0.054146,-0.109338,-0.187419,0.003367,-0.005505,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1701033,1568667,0,0,0,0,1,1,1784367448.936691
2,formal,down,74,55,0,110,5.2535817623234795,5.384135238524578,1784367574.008441,1784367578.140342,1784367579.8265338,1784367578.983438,0.588509,-0.289662,-0.493226,0.003276,-0.004329,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4119031,4116151,0,0,0,0,1,1,1784367578.140342
3,formal,up,74,55,1,111,5.2535817623234795,5.123028286122381,1784367605.44097,1784367609.543696,1784367611.222723,1784367610.3832095,0.546046,-0.284836,-0.485448,0.003574,-0.004528,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4089644,3995472,0,0,0,0,1,1,1784367609.543696
4,formal,up,44,56,0,112,1.3369774762905182,1.2064240000894193,1784367679.947309,1784367684.0770712,1784367685.768019,1784367684.922545,1.2,0.112686,0.193642,-0.002878,0.004846,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1639550,1738719,0,0,0,0,1,1,1784367684.0770712
5,formal,down,44,56,1,113,1.3369774762905182,1.4675309524916171,1784367711.366348,1784367715.4767392,1784367717.1600718,1784367716.3184056,1.2,0.116074,0.199838,-0.002902,0.004741,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1699593,1839751,0,0,0,0,1,1,1784367715.4767392
6,formal,down,36,57,0,114,0.29254966668172866,0.4231031428828276,1784367749.9101179,1784367754.047668,1784367755.741188,1784367754.894428,1.199026,0.251507,0.430622,-0.00338,0.004581,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3687378,3742849,0,0,0,0,1,1,1784367754.047668
7,formal,up,36,57,1,115,0.29254966668172866,0.16199619048062974,1784367781.270077,1784367785.4149709,1784367787.0945868,1784367786.2547789,1.188614,0.253715,0.434924,-0.003392,0.00449,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3709143,3722100,0,0,0,0,1,1,1784367785.4149709
8,formal,up,31,58,0,116,-0.36021771432376504,-0.49077119052486395,1784367819.8786392,1784367824.0174348,1784367825.690631,1784367824.854033,0.898207,0.294914,0.504215,-0.003513,0.004604,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4222349,4247332,0,0,0,0,1,1,1784367824.0174348
9,formal,down,31,58,1,117,-0.36021771432376504,-0.22966423812266612,1784367851.338698,1784367855.436887,1784367857.1078012,1784367856.272344,0.886833,0.294299,0.503925,-0.003453,0.004642,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4177888,4285950,0,0,0,0,1,1,1784367855.436887
