transition_discard_index,role,direction,grid_index,target_ordinal,pair_position,source_sequence_index,bias,approach_bias,t_target_set_unix,t_start_unix,t_end_unix,t_mid_unix,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows,read_attempt_count,t_first_attempt_start_unix
0,sentinel,down,60,27,0,54,3.4258330955080973,3.5563865717091963,1784375508.610873,1784375512.6832929,1784375514.3495018,1784375513.5163975,1.2,-0.121279,-0.207708,0.000527,2.5e-05,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1845849,1871340,0,0,0,0,1,1,1784375512.6832929
1,sentinel,up,60,27,1,55,3.4258330955080973,3.2952796193069984,1784375558.3026161,1784375562.3827388,1784375564.051279,1784375563.217009,1.2,-0.126564,-0.217302,0.000579,-0.000121,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1933670,1934178,0,0,0,0,1,1,1784375562.3827388
2,formal,up,73,28,0,56,5.123028286122381,4.992474809921282,1784375622.187235,1784375626.266366,1784375627.9370828,1784375627.1017244,0.528101,-0.160911,-0.274062,0.002025,-0.002575,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2382344,2346352,0,0,0,0,1,1,1784375626.266366
3,formal,down,73,28,1,57,5.123028286122381,5.2535817623234795,1784375671.8571892,1784375675.965481,1784375677.65528,1784375676.8103805,0.490375,-0.157617,-0.26931,0.002006,-0.002702,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2277755,2259039,0,0,0,0,1,1,1784375675.965481
4,formal,down,7,29,0,58,-3.4935011431501337,-3.362947666949035,1784375812.303613,1784375816.420748,1784375818.093154,1784375817.2569509,-0.000487,-0.007628,-0.013023,0.000901,-0.001591,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-214429,203589,0,0,0,0,1,1,1784375816.420748
5,formal,up,7,29,1,59,-3.4935011431501337,-3.6240546193512326,1784375860.511313,1784375864.666124,1784375866.3535502,1784375865.5098372,0.004417,-0.020665,-0.035518,0.000982,-0.00165,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-383380,392611,0,0,0,0,1,1,1784375864.666124
6,formal,up,34,30,0,60,0.031442714279531714,-0.0991107619215672,1784375946.592664,1784375950.726254,1784375952.4074829,1784375951.5668683,1.05297,0.158842,0.271685,0.000932,-0.002176,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2355244,2395725,0,0,0,0,1,1,1784375950.726254
7,formal,down,34,30,1,61,0.031442714279531714,0.16199619048063063,1784375996.660477,1784376000.777434,1784376002.453174,1784376001.615304,1.070893,0.157377,0.269792,0.000905,-0.001982,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2378110,2360495,0,0,0,0,1,1,1784376000.777434
8,formal,down,46,31,0,62,1.5980844286927152,1.728637904893814,1784376062.481052,1784376066.607625,1784376068.300477,1784376067.454051,1.2,0.044236,0.076051,-0.000505,0.000769,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-756005,815202,0,0,0,0,1,1,1784376066.607625
9,formal,up,46,31,1,63,1.5980844286927152,1.4675309524916162,1784376112.569729,1784376116.670572,1784376118.349074,1784376117.5098228,1.2,0.039858,0.068513,-0.000541,0.000884,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-616610,722469,0,0,0,0,1,1,1784376116.670572
10,formal,up,77,32,0,64,5.6452421909267745,5.514688714725676,1784376200.896645,1784376205.032289,1784376206.697786,1784376205.8650374,0.320169,-0.135448,-0.230463,-0.000359,0.001366,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1931637,2017934,0,0,0,0,1,1,1784376205.032289
