window_sequence_index,source_sequence_index,window_index,role,direction,grid_index,target_ordinal,pair_position,bias,t_start_unix,t_end_unix,t_mid_unix,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows,read_attempt_count,t_first_attempt_start_unix
0,0,0,sentinel,up,0,0,0,-4.407375476557824,1784345427.991115,1784345430.3321521,1784345429.1616335,0.271543,-0.30164,-0.514862,0.005457,-0.008262,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4376396,4240727,0,0,0,0,1,1,1784345427.991115
1,0,1,sentinel,up,0,0,0,-4.407375476557824,1784345430.332407,1784345432.667606,1784345431.5000067,0.274248,-0.302999,-0.517409,0.005507,-0.008314,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4406629,4254700,0,0,0,0,1,1,1784345430.332407
2,0,2,sentinel,up,0,0,0,-4.407375476557824,1784345432.668087,1784345435.002063,1784345433.835075,0.276307,-0.30382,-0.518782,0.005484,-0.008319,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4398415,4287728,0,0,0,0,1,1,1784345432.668087
3,0,3,sentinel,up,0,0,0,-4.407375476557824,1784345435.002555,1784345437.3464909,1784345436.1745229,0.278307,-0.304625,-0.520351,0.005525,-0.008268,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4443892,4291793,0,0,0,0,1,1,1784345435.002555
4,0,4,sentinel,up,0,0,0,-4.407375476557824,1784345437.346719,1784345439.6647968,1784345438.5057578,0.28048,-0.305624,-0.521918,0.005435,-0.008217,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4464132,4310594,0,0,0,0,1,1,1784345437.346719
5,0,5,sentinel,up,0,0,0,-4.407375476557824,1784345439.665062,1784345442.0161128,1784345440.8405874,0.28257,-0.306644,-0.523747,0.005454,-0.008257,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4467520,4306529,0,0,0,0,1,1,1784345439.665062
6,0,6,sentinel,up,0,0,0,-4.407375476557824,1784345442.016365,1784345444.347878,1784345443.1821215,0.284317,-0.307255,-0.52479,0.005475,-0.008205,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4464810,4319909,0,0,0,0,1,1,1784345442.016365
7,0,7,sentinel,up,0,0,0,-4.407375476557824,1784345444.348116,1784345446.684244,1784345445.51618,0.28604,-0.307969,-0.526085,0.005437,-0.008249,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4450243,4336000,0,0,0,0,1,1,1784345444.348116
8,1,0,sentinel,down,0,0,1,-4.407375476557824,1784345459.3915992,1784345461.7261288,1784345460.558864,0.296376,-0.312263,-0.533612,0.005407,-0.008125,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4551784,4387321,0,0,0,0,1,1,1784345459.3915992
9,1,1,sentinel,down,0,0,1,-4.407375476557824,1784345461.726353,1784345464.064995,1784345462.895674,0.297978,-0.312987,-0.534843,0.005415,-0.00812,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4530866,4399092,0,0,0,0,1,1,1784345461.726353
