transition_discard_index,role,direction,grid_index,target_ordinal,pair_position,source_sequence_index,bias,approach_bias,t_target_set_unix,t_start_unix,t_end_unix,t_mid_unix,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows,read_attempt_count,t_first_attempt_start_unix
0,sentinel,up,0,0,0,0,-4.407375476557824,-4.537928952758923,1784345420.5399969,1784345424.6628401,1784345426.3425229,1784345425.5026815,0.268254,-0.300679,-0.513126,0.005635,-0.008433,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4355393,4194233,0,0,0,0,1,1,1784345424.6628401
1,sentinel,down,0,0,1,1,-4.407375476557824,-4.276822000356725,1784345451.9468632,1784345456.053347,1784345457.725424,1784345456.8893857,0.293527,-0.310972,-0.531295,0.005448,-0.008101,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4549582,4347602,0,0,0,0,1,1,1784345456.053347
2,sentinel,down,80,1,0,2,6.036902619530071,6.16745609573117,1784345596.802424,1784345600.936312,1784345602.63065,1784345601.7834811,0.304626,-0.316628,-0.538,0.00516,-0.007894,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4519264,4438811,0,0,0,0,1,1,1784345600.936312
3,sentinel,up,80,1,1,3,6.036902619530071,5.906349143328972,1784345628.179392,1784345632.3176398,1784345634.014603,1784345633.1661215,0.267663,-0.300692,-0.51156,0.005396,-0.008183,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4385712,4216337,0,0,0,0,1,1,1784345632.3176398
4,formal,up,18,2,0,4,-2.057412904938048,-2.1879663811391468,1784345747.079026,1784345751.1682088,1784345752.8408582,1784345752.0045335,0.186408,0.25812,0.439786,0.001921,-0.00486,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3715241,3624286,0,0,0,0,1,1,1784345751.1682088
5,formal,down,18,2,1,5,-2.057412904938048,-1.926859428736949,1784345778.437867,1784345782.5742788,1784345784.26163,1784345783.4179544,0.165996,0.245114,0.418335,0.002174,-0.005131,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3537482,3444156,0,0,0,0,1,1,1784345782.5742788
6,formal,down,62,3,0,6,3.6869400479102943,3.817493524111393,1784345871.603295,1784345875.737414,1784345877.4121878,1784345876.574801,1.2,-0.322272,-0.551036,-0.000373,0.002534,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4487506,4692619,0,0,0,0,1,1,1784345875.737414
7,formal,up,62,3,1,7,3.6869400479102943,3.5563865717091954,1784345902.9691,1784345907.112281,1784345908.781538,1784345907.9469094,1.2,-0.33122,-0.566815,7.1e-05,0.002296,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4665942,4727849,0,0,0,0,1,1,1784345907.112281
8,formal,up,78,4,0,8,5.775795667127873,5.6452421909267745,1784345953.0212789,1784345957.141027,1784345958.811132,1784345957.9760795,0.334683,-0.327623,-0.556368,0.003917,-0.005231,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4649259,4626224,0,0,0,0,1,1,1784345957.141027
9,formal,down,78,4,1,9,5.775795667127873,5.906349143328972,1784345984.3533912,1784345988.474112,1784345990.1566699,1784345989.315391,0.30609,-0.3165,-0.538058,0.00398,-0.005455,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4520026,4476073,0,0,0,0,1,1,1784345988.474112
10,formal,down,2,5,0,10,-4.1462685241556265,-4.015715047954528,1784346120.53165,1784346124.6630678,1784346126.33604,1784346125.499554,0.11474,-0.207451,-0.354053,0.004036,-0.006665,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3026562,2904443,0,0,0,0,1,1,1784346124.6630678
11,formal,up,2,5,1,11,-4.1462685241556265,-4.276822000356725,1784346151.860208,1784346155.9795651,1784346157.664002,1784346156.8217835,0.140724,-0.227319,-0.388548,0.003929,-0.006269,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3296292,3172902,0,0,0,0,1,1,1784346155.9795651
12,formal,up,37,6,0,12,0.4231031428828276,0.29254966668172866,1784346229.200177,1784346233.329001,1784346235.0076642,1784346234.1683326,1.2,0.358191,0.612426,-0.005096,0.006975,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5060586,5192275,0,0,0,0,1,1,1784346233.329001
13,formal,down,37,6,1,13,0.4231031428828276,0.5536566190839265,1784346260.578845,1784346264.698547,1784346266.3819158,1784346265.5402312,1.2,0.353505,0.605839,-0.005027,0.007148,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5029760,5127998,0,0,0,0,1,1,1784346264.698547
14,formal,down,43,7,0,14,1.2064240000894193,1.3369774762905182,1784346299.1111329,1784346303.255719,1784346304.941153,1784346304.0984359,1.2,0.220702,0.378462,-0.005895,0.009303,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3123021,3315346,0,0,0,0,1,1,1784346303.255719
15,formal,up,43,7,1,15,1.2064240000894193,1.0758705238883204,1784346330.4880362,1784346334.6316721,1784346336.3046122,1784346335.468142,1.2,0.215146,0.369885,-0.005929,0.009334,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3045024,3284605,0,0,0,0,1,1,1784346334.6316721
16,formal,up,48,8,0,16,1.859191381094913,1.728637904893814,1784346364.7545118,1784346368.8789618,1784346370.571253,1784346369.7251074,1.2,0.065767,0.11325,-0.004899,0.008524,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-945790,1397513,0,0,0,0,1,1,1784346368.8789618
17,formal,down,48,8,1,17,1.859191381094913,1.989744857296012,1784346396.146087,1784346400.23345,1784346401.919383,1784346401.0764165,1.2,0.05885,0.101564,-0.004926,0.00857,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-907681,997788,0,0,0,0,1,1,1784346400.23345
18,formal,down,32,9,0,18,-0.22966423812266612,-0.0991107619215672,1784346446.129368,1784346450.254518,1784346451.943004,1784346451.098761,1.008669,0.400808,0.68498,-0.002104,0.002172,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5634513,5661021,0,0,0,0,1,1,1784346450.254518
19,formal,up,32,9,1,19,-0.22966423812266612,-0.36021771432376504,1784346477.51714,1784346481.6712902,1784346483.3534799,1784346482.512385,0.994117,0.402377,0.688764,-0.002003,0.002065,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5651282,5653992,0,0,0,0,1,1,1784346481.6712902
20,formal,up,11,10,0,20,-2.971287238345739,-3.101840714546838,1784346539.080402,1784346543.183286,1784346544.862654,1784346544.02297,0.003167,0.040335,0.068912,0.004528,-0.008395,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-746690,592897,0,0,0,0,1,1,1784346543.183286
21,formal,down,11,10,1,21,-2.971287238345739,-2.84073376214464,1784346570.387827,1784346574.515649,1784346576.195869,1784346575.3557591,0.000843,0.026637,0.04567,0.004593,-0.008424,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-544032,398539,0,0,0,0,1,1,1784346574.515649
22,formal,down,69,11,0,22,4.600814381317985,4.731367857519084,1784346683.5209322,1784346687.6571362,1784346689.343028,1784346688.500082,0.945522,-0.406249,-0.69223,-0.00051,0.002601,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5684310,5797791,0,0,0,0,1,1,1784346687.6571362
23,formal,up,69,11,1,23,4.600814381317985,4.470260905116886,1784346714.948403,1784346719.084841,1784346720.749181,1784346719.917011,0.907079,-0.408484,-0.69657,-2e-05,0.002195,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5677027,5805582,0,0,0,0,1,1,1784346719.084841
24,formal,up,56,12,0,24,2.9036191907037026,2.7730657145026036,1784346763.534603,1784346767.647423,1784346769.328483,1784346768.4879532,1.2,-0.206719,-0.353996,-0.00276,0.006092,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2961522,3083218,0,0,0,0,1,1,1784346767.647423
25,formal,down,56,12,1,25,2.9036191907037026,3.0341726669048015,1784346794.888563,1784346799.025398,1784346800.712047,1784346799.8687224,1.2,-0.207409,-0.356099,-0.0027,0.006122,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2903934,3080677,0,0,0,0,1,1,1784346799.025398
26,formal,down,24,13,0,26,-1.2740920477314557,-1.1435385715303568,1784346867.890802,1784346872.0131211,1784346873.690753,1784346872.851937,0.529543,0.380545,0.648047,-0.000899,-0.000329,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5391799,5378334,0,0,0,0,1,1,1784346872.0131211
27,formal,up,24,13,1,27,-1.2740920477314557,-1.4046455239325546,1784346899.296572,1784346903.439604,1784346905.122707,1784346904.2811556,0.501416,0.374218,0.638644,-0.000879,-0.000626,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5294154,5279249,0,0,0,0,1,1,1784346903.439604
28,formal,up,25,14,0,28,-1.1435385715303568,-1.2740920477314557,1784346929.292864,1784346933.434519,1784346935.113775,1784346934.274147,0.545428,0.383463,0.654908,-0.001533,0.000277,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5408482,5419746,0,0,0,0,1,1,1784346933.434519
29,formal,down,25,14,1,29,-1.1435385715303568,-1.0129850953292578,1784346960.663017,1784346964.7814112,1784346966.460276,1784346965.6208434,0.536034,0.381839,0.652771,-0.001279,0.00019,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5388327,5369780,0,0,0,0,1,1,1784346964.7814112
30,formal,down,55,15,0,30,2.7730657145026036,2.9036191907037026,1784347033.681859,1784347037.830234,1784347039.50275,1784347038.666492,1.2,-0.152026,-0.260976,-0.002838,0.00623,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2235157,2366592,0,0,0,0,1,1,1784347037.830234
31,formal,up,55,15,1,31,2.7730657145026036,2.6425122383015047,1784347065.0482829,1784347069.199144,1784347070.878287,1784347070.0387154,1.2,-0.163319,-0.280713,-0.002573,0.00599,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2360325,2470504,0,0,0,0,1,1,1784347069.199144
32,formal,up,64,16,0,32,3.948047000312492,3.817493524111393,1784347105.05758,1784347109.1814132,1784347110.8544729,1784347110.017943,1.19898,-0.369817,-0.630896,-0.002713,0.006823,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5178979,5317698,0,0,0,0,1,1,1784347109.1814132
33,formal,down,64,16,1,33,3.948047000312492,4.078600476513591,1784347136.367649,1784347140.495765,1784347142.170079,1784347141.332922,1.176987,-0.374783,-0.640428,-0.002776,0.006754,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5244104,5383669,0,0,0,0,1,1,1784347140.495765
34,formal,down,16,17,0,34,-2.3185198573402452,-2.1879663811391463,1784347232.311916,1784347236.430353,1784347238.111229,1784347237.270791,0.135552,0.224037,0.381667,0.004303,-0.008683,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3259707,3135978,0,0,0,0,1,1,1784347236.430353
35,formal,up,16,17,1,35,-2.3185198573402452,-2.449073333541344,1784347263.68323,1784347267.794335,1784347269.4817011,1784347268.6380181,0.115652,0.208049,0.355236,0.004324,-0.008718,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3070684,2894195,0,0,0,0,1,1,1784347267.794335
36,formal,up,35,18,0,36,0.16199619048062974,0.031442714279530826,1784347317.974432,1784347322.1048791,1784347323.7869408,1784347322.94591,1.166532,0.377303,0.644637,-0.002264,0.002089,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5411362,5387141,0,0,0,0,1,1,1784347322.1048791
37,formal,down,35,18,1,37,0.16199619048062974,0.29254966668172866,1784347349.346932,1784347353.466754,1784347355.1533382,1784347354.3100462,1.175233,0.374304,0.640988,-0.002165,0.002113,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5304571,5328029,0,0,0,0,1,1,1784347353.466754
38,formal,down,45,19,0,38,1.4675309524916171,1.598084428692716,1784347395.0045571,1784347399.1244211,1784347400.7939079,1784347399.9591646,1.2,0.15225,0.261547,-0.003922,0.006503,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2246082,2292914,0,0,0,0,1,1,1784347399.1244211
39,formal,up,45,19,1,39,1.4675309524916171,1.3369774762905182,1784347426.3718631,1784347430.504298,1784347432.177334,1784347431.340816,1.2,0.146056,0.25148,-0.003886,0.006705,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2114054,2241509,0,0,0,0,1,1,1784347430.504298
40,formal,up,58,20,0,40,3.1647261431059004,3.0341726669048015,1784347472.015244,1784347476.132329,1784347477.8197162,1784347476.9760227,1.2,-0.246663,-0.422071,-0.00427,0.009189,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3436365,3725403,0,0,0,0,1,1,1784347476.132329
41,formal,down,58,20,1,41,3.1647261431059004,3.2952796193069993,1784347503.41364,1784347507.523934,1784347509.203938,1784347508.363936,1.2,-0.255625,-0.43818,-0.004299,0.009216,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3532654,3813902,0,0,0,0,1,1,1784347507.523934
42,formal,down,22,21,0,42,-1.535199000133653,-1.4046455239325542,1784347583.571501,1784347587.694241,1784347589.3722858,1784347588.5332634,0.412997,0.35205,0.599146,0.003155,-0.007055,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5031369,4902051,0,0,0,0,1,1,1784347587.694241
43,formal,up,22,21,1,43,-1.535199000133653,-1.665752476334752,1784347614.9185228,1784347619.059854,1784347620.729692,1784347619.894773,0.387646,0.344459,0.587312,0.003265,-0.007248,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4955743,4785098,0,0,0,0,1,1,1784347619.059854
44,formal,up,39,22,0,44,0.6842100952850245,0.5536566190839256,1784347666.3399198,1784347670.471165,1784347672.144066,1784347671.3076155,1.2,0.307005,0.525336,-0.001848,0.002527,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4369367,4397398,0,0,0,0,1,1,1784347670.471165
45,formal,down,39,22,1,45,0.6842100952850245,0.8147635714861234,1784347697.708094,1784347701.852445,1784347703.5198689,1784347702.6861567,1.2,0.302441,0.518701,-0.001951,0.002438,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4302040,4401209,0,0,0,0,1,1,1784347701.852445
46,formal,down,41,23,0,46,0.9453170476872224,1.0758705238883213,1784347731.964255,1784347736.082987,1784347737.738914,1784347736.9109507,1.2,0.254474,0.436378,-0.003922,0.005689,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3680095,3659770,0,0,0,0,1,1,1784347736.082987
47,formal,up,41,23,1,47,0.9453170476872224,0.8147635714861234,1784347763.277962,1784347767.3851562,1784347769.0690281,1784347768.2270923,1.2,0.252345,0.43337,-0.00405,0.005681,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3626742,3678148,0,0,0,0,1,1,1784347767.3851562
48,formal,up,79,24,0,48,5.906349143328972,5.775795667127873,1784347844.816363,1784347848.937015,1784347850.6135738,1784347849.7752943,0.271172,-0.301454,-0.511861,0.005717,-0.008145,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4327616,4239710,0,0,0,0,1,1,1784347848.937015
49,formal,down,79,24,1,49,5.906349143328972,6.036902619530071,1784347876.196259,1784347880.286597,1784347881.968533,1784347881.127565,0.240428,-0.286725,-0.487497,0.005719,-0.008439,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4166964,4007836,0,0,0,0,1,1,1784347880.286597
50,formal,down,1,25,0,50,-4.276822000356725,-4.1462685241556265,1784348015.268667,1784348019.385865,1784348021.067329,1784348020.2265968,0.134913,-0.223697,-0.381517,0.005381,-0.008708,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3256150,3109810,0,0,0,0,1,1,1784348019.385865
51,formal,up,1,25,1,51,-4.276822000356725,-4.407375476557824,1784348046.6689842,1784348050.7896261,1784348052.472735,1784348051.6311805,0.163535,-0.243774,-0.416255,0.005368,-0.008497,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3534263,3432130,0,0,0,0,1,1,1784348050.7896261
52,sentinel,up,20,26,0,52,-1.7963059525358505,-1.9268594287369494,1784348101.00896,1784348105.096307,1784348106.7759109,1784348105.936109,0.242441,0.288363,0.490866,0.002701,-0.006169,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4129786,3953721,0,0,0,0,1,1,1784348105.096307
53,sentinel,down,20,26,1,53,-1.7963059525358505,-1.6657524763347515,1784348132.326283,1784348136.45224,1784348138.1245172,1784348137.2883787,0.244856,0.289531,0.493868,0.00285,-0.006163,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4155531,3974215,0,0,0,0,1,1,1784348136.45224
54,sentinel,down,60,27,0,54,3.4258330955080973,3.5563865717091963,1784348311.525224,1784348315.627635,1784348317.303842,1784348316.4657385,1.2,-0.2865,-0.490065,-0.001673,0.004952,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4102517,4225737,0,0,0,0,1,1,1784348315.627635
55,sentinel,up,60,27,1,55,3.4258330955080973,3.2952796193069984,1784348342.716692,1784348346.7842681,1784348348.45054,1784348347.617404,1.2,-0.296267,-0.50745,-0.001476,0.004646,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4205751,4345316,0,0,0,0,1,1,1784348346.7842681
56,formal,up,73,28,0,56,5.123028286122381,4.992474809921282,1784348388.0688262,1784348392.1391208,1784348393.807295,1784348392.973208,0.605819,-0.393906,-0.669151,0.004162,-0.004983,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5562952,5566171,0,0,0,0,1,1,1784348392.1391208
57,formal,down,73,28,1,57,5.123028286122381,5.2535817623234795,1784348419.19821,1784348423.2837481,1784348424.951232,1784348424.11749,0.575106,-0.389389,-0.662488,0.004276,-0.005204,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5569219,5446761,0,0,0,0,1,1,1784348423.2837481
58,formal,down,7,29,0,58,-3.4935011431501337,-3.362947666949035,1784348539.9061089,1784348543.981687,1784348545.6507149,1784348544.816201,0.003991,-0.043918,-0.075045,0.004891,-0.00871,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-799535,641762,0,0,0,0,1,1,1784348543.981687
59,formal,up,7,29,1,59,-3.4935011431501337,-3.6240546193512326,1784348571.033351,1784348575.107105,1784348576.7689931,1784348575.938049,0.010004,-0.065654,-0.112349,0.005072,-0.008854,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1109406,930462,0,0,0,0,1,1,1784348575.107105
60,formal,up,34,30,0,60,0.031442714279531714,-0.0991107619215672,1784348637.931125,1784348642.067231,1784348643.752637,1784348642.909934,1.09954,0.388205,0.663083,-0.000511,-0.000887,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5584717,5549657,0,0,0,0,1,1,1784348642.067231
61,formal,down,34,30,1,61,0.031442714279531714,0.16199619048063063,1784348669.3295228,1784348673.448318,1784348675.11308,1784348674.280699,1.113505,0.385685,0.660308,-0.000593,-0.000731,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5519423,5435328,0,0,0,0,1,1,1784348673.448318
62,formal,down,46,31,0,62,1.5980844286927152,1.728637904893814,1784348716.532875,1784348720.652722,1784348722.3398972,1784348721.4963095,1.2,0.121009,0.207875,-0.003953,0.006704,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1795544,1921559,0,0,0,0,1,1,1784348720.652722
63,formal,up,46,31,1,63,1.5980844286927152,1.4675309524916162,1784348747.956141,1784348752.090358,1784348753.757013,1784348752.9236856,1.2,0.113056,0.194802,-0.004084,0.00688,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-1655725,1837295,0,0,0,0,1,1,1784348752.090358
