sequence_index,observation_sequence_index,bridge_step_index,from_bias,bias,delta_bias,t_start_unix,t_end_unix,t_mid_unix,dc_dmm,dac_response
0,54,0,0.0,0.1270138061324713,0.1270138061324713,1784348271.297293,1784348272.7298949,1784348272.013594,1.16784399,"[dac] CH_A set to +0.127 V (code=33184)
"
1,54,1,0.1270138061324713,0.2540276122649426,0.1270138061324713,1784348272.730127,1784348274.1523561,1784348273.4412417,1.22683109,"[dac] CH_A set to +0.254 V (code=33600)
"
2,54,2,0.2540276122649426,0.3810414183974139,0.12701380613247132,1784348274.152576,1784348275.5820448,1784348274.8673105,1.29386188,"[dac] CH_A set to +0.381 V (code=34016)
"
3,54,3,0.3810414183974139,0.5080552245298852,0.12701380613247126,1784348275.582258,1784348277.029126,1784348276.305692,1.32737727,"[dac] CH_A set to +0.508 V (code=34432)
"
4,54,4,0.5080552245298852,0.6350690306623564,0.12701380613247126,1784348277.02936,1784348278.463427,1784348277.7463937,1.37832068,"[dac] CH_A set to +0.635 V (code=34849)
"
5,54,5,0.6350690306623564,0.7620828367948278,0.12701380613247137,1784348278.46366,1784348279.896518,1784348279.180089,1.44132962,"[dac] CH_A set to +0.762 V (code=35265)
"
6,54,6,0.7620828367948278,0.8890966429272991,0.12701380613247126,1784348279.896757,1784348281.338642,1784348280.6176994,1.49629487,"[dac] CH_A set to +0.889 V (code=35681)
"
7,54,7,0.8890966429272991,1.0161104490597703,0.12701380613247126,1784348281.338895,1784348282.780083,1784348282.059489,1.52310719,"[dac] CH_A set to +1.016 V (code=36097)
"
8,54,8,1.0161104490597703,1.1431242551922416,0.12701380613247126,1784348282.78042,1784348284.221598,1784348283.501009,1.54589766,"[dac] CH_A set to +1.143 V (code=36513)
"
9,54,9,1.1431242551922416,1.2701380613247129,0.12701380613247126,1784348284.2218812,1784348285.653431,1784348284.937656,1.60086291,"[dac] CH_A set to +1.270 V (code=36929)
"
10,54,10,1.2701380613247129,1.3971518674571841,0.12701380613247126,1784348285.6536572,1784348287.106913,1784348286.3802853,1.6169503,"[dac] CH_A set to +1.397 V (code=37346)
"
11,54,11,1.3971518674571841,1.5241656735896556,0.12701380613247149,1784348287.1071308,1784348288.538301,1784348287.8227158,1.66655309,"[dac] CH_A set to +1.524 V (code=37762)
"
12,54,12,1.5241656735896556,1.6511794797221269,0.12701380613247126,1784348288.538523,1784348289.973448,1784348289.2559855,1.68934356,"[dac] CH_A set to +1.651 V (code=38178)
"
13,54,13,1.6511794797221269,1.7781932858545981,0.12701380613247126,1784348289.973695,1784348291.411993,1784348290.692844,1.68398109,"[dac] CH_A set to +1.778 V (code=38594)
"
14,54,14,1.7781932858545981,1.9052070919870694,0.12701380613247126,1784348291.4121869,1784348292.8531032,1784348292.1326451,1.71347464,"[dac] CH_A set to +1.905 V (code=39010)
"
15,54,15,1.9052070919870694,2.0322208981195407,0.12701380613247126,1784348292.85332,1784348294.295601,1784348293.5744605,1.71749649,"[dac] CH_A set to +2.032 V (code=39427)
"
