repeat_sequence_index,point_ordinal,grid_index,block_index,condition,condition_ordinal,repeat_index,bias,approach_bias,restart_gen,restart_acq,t_restart_start_unix,t_restart_end_unix,t_discard_start_unix,t_discard_end_unix,t_dmm_pre1_start_unix,t_dmm_pre1_end_unix,dc_dmm_pre1,t_dmm_pre2_start_unix,t_dmm_pre2_end_unix,dc_dmm_pre2,t_acq_start_unix,t_acq_end_unix,t_acq_mid_unix,t_dmm_post1_start_unix,t_dmm_post1_end_unix,dc_dmm_post1,t_dmm_post2_start_unix,t_dmm_post2_end_unix,dc_dmm_post2,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
0,0,40,0,none,0,0,0.8147635714861234,0.6842100952850247,0,0,1784286914.972053,1784286914.972053,1784286915.71155,1784286916.60012,1784286916.600323,1784286916.811487,1.5914786,1784286916.811491,1784286917.0187619,1.58745675,1784286917.0187678,1784286919.095648,1784286918.0570085,1784286919.0958579,1784286919.304214,1.57270998,1784286919.304217,1784286919.518879,1.56198505,1.2,0.194816,0.3335445,-0.0023309999999999997,0.0034644999999999997,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2885134,2980577,0,0,0,0,2
1,0,40,0,none,0,1,0.8147635714861234,0.6842100952850247,0,0,1784286919.5196009,1784286919.5196009,1784286920.2527502,1784286921.133184,1784286921.133813,1784286921.339529,1.58611614,1784286921.339531,1784286921.5456672,1.61426907,1784286921.545677,1784286923.6255748,1784286922.5858357,1784286923.625837,1784286923.835834,1.58611614,1784286923.835837,1784286924.0463722,1.54455704,1.2,0.19412849999999998,0.33245199999999997,-0.0023629999999999996,0.003486,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2901732,2964063,0,0,0,0,2
2,0,40,0,none,0,2,0.8147635714861234,0.6842100952850247,0,0,1784286924.0530381,1784286924.0530381,1784286924.786839,1784286925.661381,1784286925.6617851,1784286925.8700202,1.57539121,1784286925.870025,1784286926.080629,1.57673182,1784286926.0806358,1784286928.143465,1784286927.1172314,1784286928.1439612,1784286928.345449,1.59415983,1784286928.345453,1784286928.552344,1.56332567,1.2,0.1934445,0.33144,-0.0023705,0.0034985,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2876665,2960252,0,0,0,0,2
3,0,40,0,none,0,3,0.8147635714861234,0.6842100952850247,0,0,1784286928.553043,1784286928.553043,1784286929.2829068,1784286930.169695,1784286930.169894,1784286930.380033,1.57673182,1784286930.3800352,1784286930.58221,1.5660069,1784286930.5822139,1784286932.648625,1784286931.6126375,1784286932.649088,1784286932.862006,1.56734751,1784286932.86201,1784286933.0682318,1.59281921,1.2,0.19322450000000002,0.331045,-0.002401,0.0034795,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2877681,2990316,0,0,0,0,2
4,0,40,0,none,0,4,0.8147635714861234,0.6842100952850247,0,0,1784286933.0689049,1784286933.0689049,1784286933.796122,1784286934.662853,1784286934.6634722,1784286934.870311,1.59818168,1784286934.870313,1784286935.074365,1.56868813,1784286935.074368,1784286937.127216,1784286936.101326,1784286937.1274571,1784286937.337595,1.58075367,1784286937.337596,1784286937.548088,1.58879737,1.2,0.19268849999999998,0.33024549999999997,-0.00237,0.0035205,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2854731,2986166,0,0,0,0,2
5,0,40,0,none,0,5,0.8147635714861234,0.6842100952850247,0,0,1784286937.552095,1784286937.552095,1784286938.294642,1784286939.176987,1784286939.1772091,1784286939.387361,1.57136936,1784286939.387363,1784286939.5974889,1.57673182,1784286939.597492,1784286941.671965,1784286940.6372833,1784286941.672631,1784286941.877434,1.60220353,1784286941.877438,1784286942.083568,1.56466628,1.2,0.1922875,0.32969550000000003,-0.0024010000000000004,0.0035175,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2834067,2936031,0,0,0,0,2
6,0,40,0,none,0,6,0.8147635714861234,0.6842100952850247,0,0,1784286942.0841951,1784286942.0841951,1784286942.811944,1784286943.690033,1784286943.6902668,1784286943.9043782,1.59415983,1784286943.904382,1784286944.11469,1.5834349,1784286944.114696,1784286946.193907,1784286945.1530871,1784286946.1941178,1784286946.402727,1.57270998,1784286946.4027278,1784286946.604083,1.57941306,1.2,0.1919365,0.3291055,-0.002371,0.003532,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2854477,2898006,0,0,0,0,2
7,0,40,0,none,0,7,0.8147635714861234,0.6842100952850247,0,0,1784286946.606466,1784286946.606466,1784286947.346953,1784286948.220139,1784286948.220643,1784286948.430785,1.57673182,1784286948.430787,1784286948.6398652,1.57539121,1784286948.639871,1784286950.703955,1784286949.6682796,1784286950.704154,1784286950.9129028,1.57539121,1784286950.912906,1784286951.11885,1.58611614,1.2,0.1916935,0.328773,-0.002378,0.0035525,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2852360,2875818,0,0,0,0,2
8,0,40,0,none,0,8,0.8147635714861234,0.6842100952850247,0,0,1784286951.12353,1784286951.12353,1784286951.856663,1784286952.7325299,1784286952.732764,1784286952.944003,1.56332567,1784286952.944007,1784286953.151986,1.58611614,1784286953.151993,1784286955.2300138,1784286954.1945477,1784286955.231432,1784286955.4400299,1.5660069,1784286955.440032,1784286955.652674,1.57673182,1.2,0.191379,0.328282,-0.002388,0.003555,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2875564,3002172,0,0,0,0,2
9,0,40,0,none,0,9,0.8147635714861234,0.6842100952850247,0,0,1784286955.6533709,1784286955.6533709,1784286956.379422,1784286957.2544918,1784286957.2549708,1784286957.463468,1.59281921,1784286957.4634721,1784286957.667166,1.5914786,1784286957.667168,1784286959.7484741,1784286958.7053528,1784286959.748925,1784286959.9563599,1.57673182,1784286959.956365,1784286960.1662579,1.6089066,1.2,0.190979,0.32767,-0.002381,0.0035445,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2849988,2883355,0,0,0,0,2
