transition_discard_index,source_repeat_index,point_ordinal,grid_index,block_index,condition,bias,t_start_unix,t_end_unix,t_mid_unix,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
0,0,0,40,0,none,0.8147635714861234,1784287385.549567,1784287386.4321668,1784287385.990867,1.2,0.191177,0.327912,-0.002405,0.003587,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2764031,2859897,0,0,0,0,1
1,1,0,40,0,none,0.8147635714861234,1784287390.088553,1784287390.969312,1784287390.5289326,1.2,0.190625,0.327065,-0.00246,0.003618,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2792147,2845415,0,0,0,0,1
2,2,0,40,0,none,0.8147635714861234,1784287394.625946,1784287395.506201,1784287395.0660734,1.2,0.189916,0.326056,-0.002477,0.003679,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2801462,2805528,0,0,0,0,1
3,3,0,40,0,none,0.8147635714861234,1784287399.138571,1784287400.022795,1784287399.580683,1.2,0.189595,0.325329,-0.00243,0.003619,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2773007,2849565,0,0,0,0,1
4,4,0,40,0,none,0.8147635714861234,1784287403.695911,1784287404.568952,1784287404.1324315,1.2,0.189092,0.324675,-0.002419,0.003523,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2792655,2811371,0,0,0,0,1
5,5,0,40,0,none,0.8147635714861234,1784287408.2209249,1784287409.1030211,1784287408.661973,1.2,0.188873,0.324307,-0.002408,0.003732,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2776564,2765724,0,0,0,0,1
6,6,0,40,0,none,0.8147635714861234,1784287412.766356,1784287413.6442041,1784287413.20528,1.2,0.188416,0.32352,-0.002436,0.003616,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2745653,2865063,0,0,0,0,1
7,7,0,40,0,none,0.8147635714861234,1784287417.295722,1784287418.169905,1784287417.7328134,1.2,0.188243,0.323412,-0.002482,0.003656,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2757848,2842959,0,0,0,0,1
8,8,0,40,0,none,0.8147635714861234,1784287421.8379898,1784287422.718124,1784287422.2780569,1.2,0.188124,0.323064,-0.002533,0.00367,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2848210,2794264,0,0,0,0,1
9,9,0,40,0,none,0.8147635714861234,1784287426.369229,1784287427.244114,1784287426.8066716,1.2,0.187845,0.322787,-0.002456,0.003731,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2726345,2740996,0,0,0,0,1
10,10,0,40,0,none,0.8147635714861234,1784287430.9108028,1784287431.794353,1784287431.352578,1.2,0.187612,0.322207,-0.002485,0.003635,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2705173,2856001,0,0,0,0,1
11,11,0,40,0,none,0.8147635714861234,1784287435.4552162,1784287436.3368099,1784287435.896013,1.2,0.187395,0.322043,-0.00243,0.003796,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2726345,2856763,0,0,0,0,1
12,12,0,40,1,gen,0.8147635714861234,1784287447.7474618,1784287448.628505,1784287448.1879835,1.2,0.186705,0.320833,-0.002486,0.003625,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2785626,2813827,0,0,0,0,1
13,13,0,40,1,gen,0.8147635714861234,1784287454.487683,1784287455.371176,1784287454.9294295,1.2,0.18647,0.320616,-0.002536,0.003703,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2719570,2771737,0,0,0,0,1
