sequence_index,point_ordinal,bridge_step_index,is_target,from_bias,bias,delta_bias,t_start_unix,t_end_unix,t_mid_unix,dc_dmm,dac_response
0,0,0,0,0.0,0.11403501588083746,0.11403501588083746,1784288176.2718441,1784288177.718582,1784288176.995213,1.3206742,"[dac] CH_A set to +0.114 V (code=33141)
"
1,0,1,0,0.11403501588083746,0.22807003176167492,0.11403501588083746,1784288177.7194629,1784288179.1712341,1784288178.4453485,1.36893637,"[dac] CH_A set to +0.228 V (code=33515)
"
2,0,2,0,0.22807003176167492,0.34210504764251237,0.11403501588083745,1784288179.173033,1784288180.616129,1784288179.8945808,1.42390162,"[dac] CH_A set to +0.342 V (code=33888)
"
3,0,3,0,0.34210504764251237,0.45614006352334985,0.11403501588083748,1784288180.616666,1784288182.055798,1784288181.3362322,1.46277948,"[dac] CH_A set to +0.456 V (code=34262)
"
4,0,4,0,0.45614006352334985,0.5701750794041873,0.11403501588083748,1784288182.056553,1784288183.498603,1784288182.7775779,1.49093241,"[dac] CH_A set to +0.570 V (code=34636)
"
5,0,5,0,0.5701750794041873,0.6842100952850247,0.11403501588083742,1784288183.501249,1784288184.945646,1784288184.2234476,1.53115089,"[dac] CH_A set to +0.684 V (code=35009)
"
6,0,6,1,0.6842100952850247,0.8147635714861234,0.1305534762010987,1784288184.948433,1784288186.3947961,1784288185.6716146,1.58745675,"[dac] CH_A set to +0.815 V (code=35437)
"
7,1,0,0,0.8147635714861234,0.6842100952850247,-0.1305534762010987,1784288559.910625,1784288561.324754,1784288560.6176896,1.5579632,"[dac] CH_A set to +0.684 V (code=35009)
"
8,1,1,0,0.6842100952850247,0.553656619083926,-0.1305534762010987,1784288561.327081,1784288562.741486,1784288562.0342836,1.51372288,"[dac] CH_A set to +0.554 V (code=34582)
"
9,1,2,0,0.553656619083926,0.42310314288282735,-0.1305534762010987,1784288562.741764,1784288564.160379,1784288563.4510715,1.47484502,"[dac] CH_A set to +0.423 V (code=34154)
"
10,1,3,0,0.42310314288282735,0.29254966668172866,-0.1305534762010987,1784288564.1605601,1784288565.578323,1784288564.8694415,1.42390162,"[dac] CH_A set to +0.292 V (code=33726)
"
11,1,4,0,0.29254966668172866,0.16199619048062996,-0.1305534762010987,1784288565.578519,1784288567.0162392,1784288566.297379,1.38502376,"[dac] CH_A set to +0.162 V (code=33298)
"
12,1,5,0,0.16199619048062996,0.03144271427953127,-0.1305534762010987,1784288567.016567,1784288568.445379,1784288567.730973,1.3381022,"[dac] CH_A set to +0.031 V (code=32870)
"
13,1,6,0,0.03144271427953127,-0.09911076192156743,-0.1305534762010987,1784288568.445937,1784288569.8716412,1784288569.1587892,1.28581818,"[dac] CH_A set to -0.099 V (code=32443)
"
14,1,7,0,-0.09911076192156743,-0.22966423812266612,-0.1305534762010987,1784288569.871828,1784288571.29677,1784288570.584299,1.23755601,"[dac] CH_A set to -0.230 V (code=32015)
"
15,1,8,0,-0.22966423812266612,-0.3602177143237648,-0.1305534762010987,1784288571.296967,1784288572.7124622,1784288572.0047145,1.11555997,"[dac] CH_A set to -0.360 V (code=31587)
"
16,1,9,0,-0.3602177143237648,-0.4907711905248635,-0.1305534762010987,1784288572.712658,1784288574.139492,1784288573.426075,1.08874765,"[dac] CH_A set to -0.491 V (code=31159)
"
17,1,10,0,-0.4907711905248635,-0.6213246667259622,-0.1305534762010987,1784288574.139967,1784288575.5692868,1784288574.854627,1.02439809,"[dac] CH_A set to -0.621 V (code=30732)
"
18,1,11,0,-0.6213246667259622,-0.7518781429270609,-0.1305534762010987,1784288575.569807,1784288576.998351,1784288576.284079,0.957367299,"[dac] CH_A set to -0.752 V (code=30304)
"
19,1,12,0,-0.7518781429270609,-0.8824316191281596,-0.1305534762010987,1784288576.998843,1784288578.423651,1784288577.711247,0.870227268,"[dac] CH_A set to -0.882 V (code=29876)
"
20,1,13,0,-0.8824316191281596,-1.0129850953292583,-0.1305534762010987,1784288578.42415,1784288579.8554208,1784288579.1397853,0.844755567,"[dac] CH_A set to -1.013 V (code=29448)
"
21,1,14,0,-1.0129850953292583,-1.143538571530357,-0.1305534762010987,1784288579.855606,1784288581.284863,1784288580.5702345,0.785768469,"[dac] CH_A set to -1.143 V (code=29021)
"
22,1,15,0,-1.143538571530357,-1.2740920477314557,-0.1305534762010987,1784288581.286199,1784288582.712735,1784288581.999467,0.68522228,"[dac] CH_A set to -1.274 V (code=28593)
"
23,1,16,0,-1.2740920477314557,-1.4046455239325546,-0.13055347620109892,1784288582.712965,1784288584.137281,1784288583.425123,0.635619493,"[dac] CH_A set to -1.405 V (code=28165)
"
24,1,17,0,-1.4046455239325546,-1.535199000133653,-0.13055347620109847,1784288584.137812,1784288585.579444,1784288584.8586278,0.557863773,"[dac] CH_A set to -1.535 V (code=27737)
"
25,1,18,0,-1.535199000133653,-1.6657524763347515,-0.13055347620109847,1784288585.579651,1784288587.015521,1784288586.297586,0.482789285,"[dac] CH_A set to -1.666 V (code=27309)
"
26,1,19,0,-1.6657524763347515,-1.7963059525358505,-0.13055347620109892,1784288587.016018,1784288588.448662,1784288587.7323399,0.443911426,"[dac] CH_A set to -1.796 V (code=26881)
"
27,1,20,0,-1.7963059525358505,-1.9268594287369494,-0.13055347620109892,1784288588.4488618,1784288589.8818,1784288589.165331,0.390286791,"[dac] CH_A set to -1.927 V (code=26454)
"
28,1,21,0,-1.9268594287369494,-2.057412904938048,-0.13055347620109847,1784288589.882207,1784288591.313699,1784288590.5979528,0.336662157,"[dac] CH_A set to -2.057 V (code=26026)
"
29,1,22,0,-2.057412904938048,-2.1879663811391463,-0.13055347620109847,1784288591.314525,1784288592.745961,1784288592.030243,0.291081218,"[dac] CH_A set to -2.188 V (code=25598)
"
