window_sequence_index,source_repeat_index,window_index,point_ordinal,grid_index,block_index,condition,bias,t_start_unix,t_end_unix,t_mid_unix,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
0,0,0,0,40,0,none,0.8147635714861234,1784288193.9682271,1784288195.012102,1784288194.4901645,1.2,0.197946,0.338909,-0.00234,0.003387,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2924767,2971854,0,0,0,0,1
1,0,1,0,40,0,none,0.8147635714861234,1784288195.0134091,1784288196.0463302,1784288195.5298696,1.2,0.19802,0.339063,-0.002265,0.003404,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2906814,2954747,0,0,0,0,1
2,1,0,0,40,0,none,0.8147635714861234,1784288198.49952,1784288199.541711,1784288199.0206156,1.2,0.197694,0.338596,-0.002335,0.003402,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2886743,2940096,0,0,0,0,1
3,1,1,0,40,0,none,0.8147635714861234,1784288199.543125,1784288200.5865521,1784288200.0648384,1.2,0.197274,0.337896,-0.002331,0.003451,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2873701,2913081,0,0,0,0,1
4,2,0,0,40,0,none,0.8147635714861234,1784288203.0246542,1784288204.065834,1784288203.5452442,1.2,0.196799,0.337199,-0.002304,0.003402,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2865740,3002003,0,0,0,0,1
5,2,1,0,40,0,none,0.8147635714861234,1784288204.0670311,1784288205.10896,1784288204.5879955,1.2,0.196691,0.337073,-0.002299,0.003433,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2915621,2908846,0,0,0,0,1
6,3,0,0,40,0,none,0.8147635714861234,1784288207.558474,1784288208.598254,1784288208.078364,1.2,0.196326,0.336486,-0.002305,0.003435,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2890554,2988707,0,0,0,0,1
7,3,1,0,40,0,none,0.8147635714861234,1784288208.598733,1784288209.6409652,1784288209.1198492,1.2,0.196146,0.336136,-0.002312,0.003408,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2947379,2995820,0,0,0,0,1
8,4,0,0,40,0,none,0.8147635714861234,1784288212.1212108,1784288213.167118,1784288212.6441646,1.2,0.196042,0.336204,-0.002353,0.003455,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2960760,2907999,0,0,0,0,1
9,4,1,0,40,0,none,0.8147635714861234,1784288213.1676512,1784288214.189328,1784288213.6784897,1.2,0.195927,0.335912,-0.002329,0.003415,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2858711,2950597,0,0,0,0,1
10,5,0,0,40,0,none,0.8147635714861234,1784288216.632252,1784288217.674751,1784288217.1535015,1.2,0.195531,0.335342,-0.002337,0.003473,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2862268,2934930,0,0,0,0,1
11,5,1,0,40,0,none,0.8147635714861234,1784288217.675563,1784288218.7165718,1784288218.1960673,1.2,0.195457,0.335148,-0.002341,0.003447,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2921803,2932474,0,0,0,0,1
12,6,0,0,40,0,none,0.8147635714861234,1784288221.167626,1784288222.2031639,1784288221.6853948,1.2,0.19528,0.334869,-0.00233,0.0035,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2809847,2897583,0,0,0,0,1
13,6,1,0,40,0,none,0.8147635714861234,1784288222.203887,1784288223.245698,1784288222.7247925,1.2,0.195139,0.334671,-0.002312,0.003427,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2830934,2900632,0,0,0,0,1
14,7,0,0,40,0,none,0.8147635714861234,1784288225.713241,1784288226.7625432,1784288226.2378922,1.2,0.194853,0.334208,-0.002365,0.003476,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2863454,2942128,0,0,0,0,1
15,7,1,0,40,0,none,0.8147635714861234,1784288226.763075,1784288227.7954948,1784288227.279285,1.2,0.194718,0.333986,-0.002326,0.003439,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2855408,2927986,0,0,0,0,1
16,8,0,0,40,0,none,0.8147635714861234,1784288230.254776,1784288231.296892,1784288230.775834,1.2,0.194369,0.333456,-0.002316,0.003502,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2931881,2953815,0,0,0,0,1
17,8,1,0,40,0,none,0.8147635714861234,1784288231.297488,1784288232.3349571,1784288231.8162227,1.2,0.194456,0.333689,-0.002343,0.00346,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2933236,2960844,0,0,0,0,1
18,9,0,0,40,0,none,0.8147635714861234,1784288234.776835,1784288235.8168588,1784288235.2968469,1.2,0.194388,0.333469,-0.002347,0.003482,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2863877,2894534,0,0,0,0,1
19,9,1,0,40,0,none,0.8147635714861234,1784288235.817083,1784288236.856843,1784288236.336963,1.2,0.194113,0.333108,-0.002356,0.003477,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2839657,2956102,0,0,0,0,1
20,10,0,0,40,0,none,0.8147635714861234,1784288239.302866,1784288240.347237,1784288239.8250515,1.2,0.194062,0.332904,-0.002327,0.003497,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2791893,2850920,0,0,0,0,1
21,10,1,0,40,0,none,0.8147635714861234,1784288240.3477461,1784288241.3929868,1784288240.8703666,1.2,0.194009,0.332735,-0.002342,0.003468,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2821872,2906898,0,0,0,0,1
22,11,0,0,40,0,none,0.8147635714861234,1784288243.845271,1784288244.88164,1784288244.3634555,1.2,0.193682,0.332465,-0.002377,0.003483,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2836438,2867011,0,0,0,0,1
23,11,1,0,40,0,none,0.8147635714861234,1784288244.881962,1784288245.920407,1784288245.4011846,1.2,0.19351,0.332083,-0.002378,0.003484,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2860236,2890130,0,0,0,0,1
