repeat_sequence_index,point_ordinal,grid_index,block_index,condition,condition_ordinal,repeat_index,bias,approach_bias,restart_gen,restart_acq,t_restart_start_unix,t_restart_end_unix,t_discard_start_unix,t_discard_end_unix,t_acq_first_attempt_start_unix,discard_read_retries,formal_read_retries,t_dmm_pre1_start_unix,t_dmm_pre1_end_unix,dc_dmm_pre1,t_dmm_pre2_start_unix,t_dmm_pre2_end_unix,dc_dmm_pre2,t_acq_start_unix,t_acq_end_unix,t_acq_mid_unix,t_dmm_post1_start_unix,t_dmm_post1_end_unix,dc_dmm_post1,t_dmm_post2_start_unix,t_dmm_post2_end_unix,dc_dmm_post2,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
0,0,40,0,none,0,0,0.8147635714861234,0.6842100952850247,0,0,1784288191.931627,1784288191.931627,1784288192.6647968,1784288193.550077,1784288193.9682271,0,0,1784288193.551732,1784288193.7573829,1.55260074,1784288193.757392,1784288193.967293,1.57002875,1784288193.9682271,1784288196.0463302,1784288195.010017,1784288196.046852,1784288196.254869,1.58477552,1784288196.2548711,1784288196.462517,1.57136936,1.2,0.19798300000000002,0.338986,-0.0023025,0.0033955,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2924767,2971854,0,0,0,0,2
1,0,40,0,none,0,1,0.8147635714861234,0.6842100952850247,0,0,1784288196.4684749,1784288196.4684749,1784288197.199403,1784288198.078971,1784288198.49952,0,0,1784288198.079448,1784288198.289301,1.5579632,1784288198.289304,1784288198.4995048,1.57807244,1784288198.49952,1784288200.5865521,1784288199.542727,1784288200.588195,1784288200.7956412,1.57002875,1784288200.7956429,1784288200.996381,1.55394135,1.2,0.197484,0.338246,-0.002333,0.0034265,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2886743,2940096,0,0,0,0,2
2,0,40,0,none,0,2,0.8147635714861234,0.6842100952850247,0,0,1784288201.000971,1784288201.000971,1784288201.7320561,1784288202.6168902,1784288203.0246542,0,0,1784288202.617471,1784288202.821621,1.58209429,1784288202.821623,1784288203.024642,1.56466628,1784288203.0246542,1784288205.10896,1784288204.0666199,1784288205.1097002,1784288205.3161888,1.55126012,1784288205.316193,1784288205.527027,1.58075367,1.2,0.196745,0.337136,-0.0023014999999999997,0.0034175,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2915621,3002003,0,0,0,0,2
3,0,40,0,none,0,3,0.8147635714861234,0.6842100952850247,0,0,1784288205.5293179,1784288205.5293179,1784288206.255971,1784288207.140295,1784288207.558474,0,0,1784288207.141195,1784288207.348256,1.57136936,1784288207.348261,1784288207.558464,1.59684106,1784288207.558474,1784288209.6409652,1784288208.5991066,1784288209.641737,1784288209.85485,1.59952229,1784288209.8548522,1784288210.065414,1.57807244,1.2,0.196236,0.336311,-0.0023085,0.0034215,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2947379,2995820,0,0,0,0,2
4,0,40,0,none,0,4,0.8147635714861234,0.6842100952850247,0,0,1784288210.067255,1784288210.067255,1784288210.812323,1784288211.702268,1784288212.1212108,0,0,1784288211.703465,1784288211.911159,1.57136936,1784288211.9111629,1784288212.121196,1.5660069,1784288212.1212108,1784288214.189328,1784288213.1613271,1784288214.1895401,1784288214.394749,1.58209429,1784288214.394763,1784288214.604497,1.56466628,1.2,0.1959845,0.33605799999999997,-0.002341,0.003435,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2960760,2950597,0,0,0,0,2
5,0,40,0,none,0,5,0.8147635714861234,0.6842100952850247,0,0,1784288214.605435,1784288214.605435,1784288215.3374279,1784288216.213856,1784288216.632252,0,0,1784288216.216696,1784288216.425876,1.56734751,1784288216.425879,1784288216.632241,1.56064443,1784288216.632252,1784288218.7165718,1784288217.6747844,1784288218.7170408,1784288218.9263601,1.55260074,1784288218.926364,1784288219.134361,1.56868813,1.2,0.195494,0.335245,-0.002339,0.00346,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2921803,2934930,0,0,0,0,2
6,0,40,0,none,0,6,0.8147635714861234,0.6842100952850247,0,0,1784288219.136797,1784288219.136797,1784288219.868704,1784288220.7509918,1784288221.167626,0,0,1784288220.75146,1784288220.9596329,1.57807244,1784288220.959636,1784288221.167615,1.58477552,1784288221.167626,1784288223.245698,1784288222.2050936,1784288223.246201,1784288223.4583051,1.57807244,1784288223.4583092,1784288223.6676621,1.57941306,1.2,0.1952095,0.33477,-0.002321,0.0034635,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2830934,2900632,0,0,0,0,2
7,0,40,0,none,0,7,0.8147635714861234,0.6842100952850247,0,0,1784288223.6696792,1784288223.6696792,1784288224.404167,1784288225.293303,1784288225.713241,0,0,1784288225.293857,1784288225.5037599,1.59550045,1784288225.503764,1784288225.713229,1.59818168,1784288225.713241,1784288227.7954948,1784288226.7585886,1784288227.795715,1784288228.0058932,1.56734751,1784288228.005898,1784288228.217521,1.56064443,1.2,0.1947855,0.334097,-0.0023455,0.0034575,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2863454,2942128,0,0,0,0,2
8,0,40,0,none,0,8,0.8147635714861234,0.6842100952850247,0,0,1784288228.219172,1784288228.219172,1784288228.949676,1784288229.835758,1784288230.254776,0,0,1784288229.836372,1784288230.045113,1.58745675,1784288230.045117,1784288230.254764,1.56868813,1784288230.254776,1784288232.3349571,1784288231.2960284,1784288232.335588,1784288232.54052,1.5834349,1784288232.540524,1784288232.751143,1.6169503,1.2,0.1944125,0.3335725,-0.0023295,0.0034809999999999997,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2933236,2960844,0,0,0,0,2
9,0,40,0,none,0,9,0.8147635714861234,0.6842100952850247,0,0,1784288232.7531211,1784288232.7531211,1784288233.484471,1784288234.361641,1784288234.776835,0,0,1784288234.362273,1784288234.5660238,1.61560968,1784288234.566029,1784288234.7768252,1.59550045,1784288234.776835,1784288236.856843,1784288235.816905,1784288236.857162,1784288237.0673459,1.60086291,1784288237.067351,1784288237.2745159,1.57807244,1.2,0.1942505,0.3332885,-0.0023515000000000003,0.0034795,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2863877,2956102,0,0,0,0,2
