role,leg,direction,grid_index,sequence_index,schedule_sequence_index,bias,t_start_unix,t_end_unix,t_mid_unix,dc_dmm,dc_board,I1,Q1,I2,Q2
conditioning,-1,conditioning,-1,0,-1,-0.12962869048699482,1784212068.19762,1784212069.983756,1784212069.090688,1.04986979,1.028439,0.557047,0.950325,0.022799,-0.04121
conditioning,-1,conditioning,-1,1,-1,-0.25925738097398965,1784212069.985339,1784212071.774775,1784212070.8800569,0.985520232,0.973443,0.563059,0.956682,0.02818,-0.051769
conditioning,-1,conditioning,-1,2,-1,-0.3888860714609845,1784212071.777877,1784212073.566677,1784212072.672277,0.926533134,0.915881,0.569257,0.964921,0.031766,-0.059015
conditioning,-1,conditioning,-1,3,-1,-0.5185147619479793,1784212073.568303,1784212075.349281,1784212074.4587922,0.871567884,0.857621,0.568884,0.963269,0.037297,-0.068998
conditioning,-1,conditioning,-1,4,-1,-0.6481434524349741,1784212075.3510048,1784212077.1408079,1784212076.2459064,0.796493396,0.7999,0.569033,0.962348,0.039896,-0.074636
conditioning,-1,conditioning,-1,5,-1,-0.777772142921969,1784212077.141922,1784212078.9262998,1784212078.034111,0.762977999,0.741361,0.567581,0.959875,0.041438,-0.076954
conditioning,-1,conditioning,-1,6,-1,-0.9074008334089638,1784212078.9281971,1784212080.707607,1784212079.817902,0.691925359,0.682198,0.561668,0.948688,0.04098,-0.076608
conditioning,-1,conditioning,-1,7,-1,-1.0370295238959586,1784212080.708842,1784212082.492492,1784212081.600667,0.608807176,0.623927,0.556532,0.939484,0.039284,-0.074258
conditioning,-1,conditioning,-1,8,-1,-1.1666582143829534,1784212082.4939818,1784212084.281698,1784212083.3878398,0.545798231,0.566348,0.548056,0.925057,0.038904,-0.072853
conditioning,-1,conditioning,-1,9,-1,-1.2962869048699481,1784212084.2844448,1784212086.065409,1784212085.1749268,0.489492365,0.509739,0.538855,0.909185,0.035677,-0.066997
conditioning,-1,conditioning,-1,10,-1,-1.4259155953569431,1784212086.066478,1784212087.855813,1784212086.9611454,0.451955121,0.455121,0.527008,0.889148,0.033743,-0.063108
conditioning,-1,conditioning,-1,11,-1,-1.555544285843938,1784212087.8586009,1784212089.646656,1784212088.7526283,0.410396029,0.40196,0.510934,0.862665,0.028823,-0.054354
conditioning,-1,conditioning,-1,12,-1,-1.6851729763309327,1784212089.64864,1784212091.4320168,1784212090.5403285,0.3487277,0.350833,0.493033,0.831849,0.023431,-0.044551
conditioning,-1,conditioning,-1,13,-1,-1.8148016668179277,1784212091.4339461,1784212093.216976,1784212092.325461,0.279015675,0.30221,0.470552,0.79457,0.019733,-0.037441
conditioning,-1,conditioning,-1,14,-1,-1.9444303573049224,1784212093.218695,1784212095.00854,1784212094.1136174,0.289740602,0.256096,0.445811,0.752361,0.016066,-0.030981
conditioning,-1,conditioning,-1,15,-1,-2.074059047791917,1784212095.0104692,1784212096.789836,1784212095.9001527,0.211984882,0.213284,0.417466,0.704494,0.014263,-0.026737
conditioning,-1,conditioning,-1,16,-1,-2.203687738278912,1784212096.791441,1784212098.583421,1784212097.6874309,0.175788254,0.173603,0.384,0.64907,0.011069,-0.021358
conditioning,-1,conditioning,-1,17,-1,-2.3333164287659067,1784212098.585251,1784212100.367433,1784212099.4763422,0.128866699,0.137431,0.346491,0.585558,0.009191,-0.017968
conditioning,-1,conditioning,-1,18,-1,-2.4629451192529017,1784212100.368876,1784212102.150261,1784212101.2595685,0.0993731504,0.105067,0.3038,0.513676,0.009082,-0.017721
conditioning,-1,conditioning,-1,19,-1,-2.5925738097398963,1784212102.152683,1784212103.947753,1784212103.050218,0.0725608332,0.076688,0.25953,0.438714,0.009861,-0.019015
conditioning,-1,conditioning,-1,20,-1,-2.7222025002268913,1784212103.949384,1784212105.742715,1784212104.8460493,0.0631765222,0.052621,0.213777,0.361763,0.010917,-0.020635
conditioning,-1,conditioning,-1,21,-1,-2.8518311907138862,1784212105.743562,1784212107.524961,1784212106.6342616,0.047089132,0.032909,0.166845,0.282476,0.011098,-0.021003
conditioning,-1,conditioning,-1,22,-1,-2.981459881200881,1784212107.5259619,1784212109.313364,1784212108.419663,0.0162550558,0.017687,0.11909,0.201859,0.011431,-0.021413
conditioning,-1,conditioning,-1,23,-1,-3.111088571687876,1784212109.314764,1784212111.104702,1784212110.209733,0.0149145313,0.007064,0.070021,0.118846,0.011359,-0.021395
conditioning,-1,conditioning,-1,24,-1,-3.2407172621748708,1784212111.106352,1784212112.8874528,1784212111.9969025,0.018936199,0.001165,0.020611,0.035028,0.011642,-0.021358
conditioning,-1,conditioning,-1,25,-1,-3.3703459526618653,1784212112.8890848,1784212114.6761868,1784212113.7826357,-0.00117299605,4e-05,-0.028715,-0.048671,0.011701,-0.021369
conditioning,-1,conditioning,-1,26,-1,-3.4999746431488603,1784212114.681082,1784212116.468083,1784212115.5745826,0.0028493083,0.003803,-0.077894,-0.132063,0.011601,-0.021194
conditioning,-1,conditioning,-1,27,-1,-3.6296033336358553,1784212116.473065,1784212118.266869,1784212117.369967,0.0216174307,0.012223,-0.126886,-0.215011,0.011213,-0.020553
conditioning,-1,conditioning,-1,28,-1,-3.75923202412285,1784212118.268836,1784212120.051027,1784212119.1599317,0.047089132,0.025326,-0.175439,-0.297047,0.011495,-0.020663
conditioning,-1,conditioning,-1,29,-1,-3.888860714609845,1784212120.055124,1784212121.8329,1784212120.9440122,0.0551328271,0.043041,-0.222879,-0.377232,0.011578,-0.020778
conditioning,-1,conditioning,-1,30,-1,-4.018489405096839,1784212121.8352141,1784212123.6116538,1784212122.723434,0.0832857601,0.065249,-0.267566,-0.45267,0.011303,-0.019997
conditioning,-1,conditioning,-1,31,-1,-4.148118095583834,1784212123.613962,1784212125.406137,1784212124.5100493,0.065857754,0.091946,-0.311475,-0.52695,0.010831,-0.019065
conditioning,-1,conditioning,-1,32,-1,-4.277746786070829,1784212125.408,1784212127.204012,1784212126.306006,0.167744559,0.122901,-0.353582,-0.598006,0.008934,-0.01576
conditioning,-1,conditioning,-1,33,-1,-4.407375476557824,1784212127.206434,1784212128.997227,1784212128.1018305,0.205281803,0.157775,-0.391325,-0.661466,0.006534,-0.010761
sentinel,0,up,0,34,0,-4.407375476557824,1784212128.998218,1784212136.148051,1784212132.5731344,0.174447638,0.17406575000000002,-0.399939,-0.6775340000000001,0.00872325,-0.01602775
formal,0,up,1,35,1,-4.276822000356725,1784212136.1508858,1784212143.312656,1784212139.731771,0.147635321,0.14469625,-0.36648850000000005,-0.621544,0.009311749999999999,-0.016945250000000002
formal,0,up,2,36,2,-4.1462685241556265,1784212143.314529,1784212150.49088,1784212146.9027045,0.0980325345,0.11550374999999999,-0.33053725,-0.5607795,0.010652249999999999,-0.019054250000000002
formal,0,up,3,37,3,-4.0157150479545285,1784212150.496187,1784212157.671386,1784212154.0837865,0.0886482235,0.08869700000000001,-0.2923015,-0.495904,0.010973749999999999,-0.019849500000000003
formal,0,up,4,38,4,-3.8851615717534296,1784212157.673268,1784212164.823644,1784212161.248456,0.0524515954,0.06491575,-0.25279450000000003,-0.42895625000000004,0.01146875,-0.020715749999999998
formal,0,up,5,39,5,-3.7546080955523307,1784212164.828243,1784212171.996403,1784212168.412323,0.0537922112,0.0443995,-0.2106825,-0.35751375,0.011324250000000001,-0.020587249999999998
formal,0,up,6,40,6,-3.624054619351232,1784212171.997358,1784212179.135818,1784212175.566588,0.0390454368,0.027460000000000002,-0.166273,-0.28227650000000004,0.011050250000000001,-0.02024375
formal,0,up,7,41,7,-3.4935011431501337,1784212179.1372411,1784212186.309319,1784212182.72328,0.0216174307,0.014416749999999999,-0.12106924999999999,-0.2055805,0.01148425,-0.02096975
formal,0,up,8,42,8,-3.362947666949035,1784212186.311441,1784212193.469692,1784212189.8905663,-0.0078758498,0.005362499999999999,-0.07496549999999999,-0.12741,0.011646,-0.02124225
formal,0,up,9,43,9,-3.232394190747936,1784212193.4711838,1784212200.6269708,1784212197.0490773,0.0256392783,0.0004927499999999999,-0.028437999999999998,-0.0483595,0.01179525,-0.02152525
sentinel,0,up,10,44,10,-3.1018407145468374,1784212200.62756,1784212207.789479,1784212204.2085195,0.00418955873,-0.00011174999999999999,0.0187245,0.0318605,0.011731250000000002,-0.02141775
formal,0,up,11,45,11,-2.971287238345739,1784212207.7939122,1784212214.955283,1784212211.3745975,0.037704821,0.00363575,0.06630475,0.11272875,0.01174175,-0.0214935
formal,0,up,12,46,12,-2.84073376214464,1784212214.959392,1784212222.123023,1784212218.5412076,-0.0078758498,0.0118045,0.1134135,0.1926235,0.011588500000000002,-0.02131075
formal,0,up,13,47,13,-2.710180285943541,1784212222.12735,1784212229.289474,1784212225.7084122,0.0256392783,0.024355,0.16025,0.271912,0.0114635,-0.021124
formal,0,up,14,48,14,-2.5796268097424426,1784212229.290368,1784212236.46332,1784212232.876844,0.0108925038,0.04133325,0.20638025,0.35004275,0.010592,-0.01979325
formal,0,up,15,49,15,-2.449073333541344,1784212236.467249,1784212243.646351,1784212240.0568,0.0685389857,0.0625625,0.25133975,0.42588225,0.00998575,-0.018795
formal,0,up,16,50,16,-2.3185198573402452,1784212243.6518762,1784212250.819524,1784212247.2357001,0.075242065,0.08814825,0.295595,0.50080525,0.00941225,-0.0177395
formal,0,up,17,51,17,-2.1879663811391463,1784212250.8210618,1784212257.965842,1784212254.393452,0.10607623,0.11781699999999999,0.338362,0.5729777500000001,0.009555749999999998,-0.017909249999999998
formal,0,up,18,52,18,-2.057412904938048,1784212257.9677,1784212265.120675,1784212261.5441875,0.165063327,0.15160375,0.37835949999999996,0.6404175000000001,0.009578999999999999,-0.017821749999999997
formal,0,up,19,53,19,-1.9268594287369494,1784212265.124876,1784212272.2741928,1784212268.6995344,0.187853797,0.18897,0.41496275,0.7021875,0.0081885,-0.01552925
sentinel,0,up,20,54,20,-1.7963059525358505,1784212272.275626,1784212279.4430878,1784212275.8593569,0.273653212,0.23015025000000003,0.45004125,0.7613935000000001,0.0070275,-0.01343225
formal,0,up,21,55,21,-1.6657524763347515,1784212279.444715,1784212286.5938969,1784212283.019306,0.279015675,0.27451875000000003,0.482393,0.81595675,0.004670499999999999,-0.009357500000000001
