role,leg,direction,grid_index,sequence_index,schedule_sequence_index,bias,t_start_unix,t_end_unix,t_mid_unix,dc_dmm,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
conditioning,-1,conditioning,-1,0,-1,-0.12962869048699482,1784223659.060124,1784223660.846282,1784223659.953203,1.3890456,1.2,0.409576,0.699271,-0.008195,0.012612,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-5646962,8388607,0,195,0,196,1
conditioning,-1,conditioning,-1,1,-1,-0.25925738097398965,1784223660.8471591,1784223662.637152,1784223661.7421556,1.35150836,1.2,0.44145,0.751776,-0.004982,0.006674,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-6121043,8388607,0,303,0,305,1
conditioning,-1,conditioning,-1,2,-1,-0.3888860714609845,1784223662.638262,1784223664.4320798,1784223663.535171,1.29520249,1.2,0.470051,0.798701,-0.000678,-0.001549,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-6496802,8388607,0,446,0,449,1
conditioning,-1,conditioning,-1,3,-1,-0.5185147619479793,1784223664.4363,1784223666.221898,1784223665.3290992,1.25096217,1.2,0.496003,0.841774,0.004179,-0.010572,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-7022796,8388607,0,570,0,575,1
conditioning,-1,conditioning,-1,4,-1,-0.6481434524349741,1784223666.224144,1784223668.014718,1784223667.119431,1.22549047,1.2,0.517251,0.877631,0.008193,-0.018469,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-7305144,8388607,0,741,0,747,1
conditioning,-1,conditioning,-1,5,-1,-0.777772142921969,1784223668.016594,1784223669.8021572,1784223668.9093757,1.16114091,1.159835,0.536027,0.909308,0.012672,-0.026232,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-7684967,8388607,0,930,0,933,1
conditioning,-1,conditioning,-1,6,-1,-0.9074008334089638,1784223669.803933,1784223671.5887911,1784223670.696362,1.1008132,1.107787,0.549902,0.931461,0.017139,-0.034854,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-7880511,8388607,0,1175,0,1178,1
conditioning,-1,conditioning,-1,7,-1,-1.0370295238959586,1784223671.5903392,1784223673.3815029,1784223672.485921,1.06327595,1.052743,0.559467,0.948253,0.022601,-0.045002,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-8139654,8388607,0,1417,0,1424,1
conditioning,-1,conditioning,-1,8,-1,-1.1666582143829534,1784223673.3834848,1784223675.1600928,1784223674.2717888,1.01233255,0.994922,0.565077,0.957117,0.029861,-0.058216,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-8386264,8388607,0,1562,1,1565,1
conditioning,-1,conditioning,-1,9,-1,-1.2962869048699481,1784223675.161543,1784223676.949843,1784223676.055693,0.957367299,0.936031,0.571915,0.967912,0.033264,-0.06528,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-8388608,8388607,13,1659,14,1662,1
