role,leg,direction,grid_index,sequence_index,schedule_sequence_index,bias,t_start_unix,t_end_unix,t_mid_unix,dc_dmm,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
conditioning,-1,conditioning,-1,0,-1,-0.12962869048699482,1784223849.1040158,1784223850.8910809,1784223849.9975483,1.36893637,1.2,0.438302,0.747655,-0.006067,0.00849,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-6023060,8388607,0,276,0,278,1
conditioning,-1,conditioning,-1,1,-1,-0.25925738097398965,1784223850.891752,1784223852.671159,1784223851.7814555,1.34346467,1.2,0.466385,0.793819,-0.001962,0.001134,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-6451324,8388607,0,413,0,414,1
conditioning,-1,conditioning,-1,2,-1,-0.3888860714609845,1784223852.6731908,1784223854.461819,1784223853.567505,1.25900587,1.2,0.490654,0.833846,0.002413,-0.007604,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-6936499,8388607,0,544,0,547,1
conditioning,-1,conditioning,-1,3,-1,-0.5185147619479793,1784223854.46301,1784223856.2550359,1784223855.359023,1.22280924,1.2,0.513597,0.871762,0.007985,-0.017334,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-7247980,8388607,0,704,0,705,1
conditioning,-1,conditioning,-1,4,-1,-0.6481434524349741,1784223856.2596521,1784223858.039785,1784223857.1497185,1.18125015,1.171886,0.532308,0.903203,0.012513,-0.0262,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-7601804,8388607,0,904,0,907,1
conditioning,-1,conditioning,-1,5,-1,-0.777772142921969,1784223858.042457,1784223859.82295,1784223858.9327035,1.15041598,1.119177,0.548767,0.930381,0.017183,-0.034895,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-7944450,8388607,0,1149,0,1153,1
conditioning,-1,conditioning,-1,6,-1,-0.9074008334089638,1784223859.824644,1784223861.615306,1784223860.719975,1.07266026,1.064471,0.557803,0.944903,0.022529,-0.044592,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-8095109,8388607,0,1383,0,1388,1
conditioning,-1,conditioning,-1,7,-1,-1.0370295238959586,1784223861.6167638,1784223863.4023948,1784223862.5095792,1.02171686,1.008855,0.565175,0.956971,0.027831,-0.054852,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-8287095,8388607,0,1554,0,1558,1
conditioning,-1,conditioning,-1,8,-1,-1.1666582143829534,1784223863.4064362,1784223865.190167,1784223864.2983017,0.956026683,0.950347,0.569725,0.965117,0.033614,-0.065281,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-8388608,8388607,5,1665,6,1667,1
conditioning,-1,conditioning,-1,9,-1,-1.2962869048699481,1784223865.19204,1784223866.9819179,1784223866.086979,0.86620542,0.890002,0.573619,0.970463,0.036407,-0.070698,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-8388608,8388607,71,1719,75,1721,1
conditioning,-1,conditioning,-1,10,-1,-1.4259155953569431,1784223866.983834,1784223868.763938,1784223867.873886,0.838052487,0.83049,0.573073,0.968793,0.041885,-0.080505,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-8388608,8388607,81,1818,86,1819,1
conditioning,-1,conditioning,-1,11,-1,-1.555544285843938,1784223868.7657979,1784223870.551153,1784223869.6584754,0.801855859,0.770635,0.57223,0.967279,0.042561,-0.082313,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-8388608,8388607,28,1837,31,1840,1
conditioning,-1,conditioning,-1,12,-1,-1.6851729763309327,1784223870.553161,1784223872.337879,1784223871.44552,0.72410014,0.710144,0.56757,0.96001,0.04209,-0.081085,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-8388608,8388607,8,1823,8,1828,1
conditioning,-1,conditioning,-1,13,-1,-1.8148016668179277,1784223872.342008,1784223874.158153,1784223873.2500806,0.682541048,0.649976,0.561191,0.948479,0.041966,-0.081017,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-8355015,8388607,0,1807,0,1812,1
