kind,epoch,direction,index,bias,timestamp_unix,dc_dmm,dc_board,I1,Q1,I2,Q2
conditioning,-1,conditioning,0,-0.12962869048699482,1784191275.440566,1.21878739,1.17388,0.46817,0.796606,0.000322,-0.000793
conditioning,-1,conditioning,1,-0.25925738097398965,1784191277.233307,1.11555997,1.129243,0.488181,0.827664,0.00436,-0.008795
conditioning,-1,conditioning,2,-0.3888860714609845,1784191279.018813,1.0927695,1.080878,0.504534,0.853774,0.009162,-0.017604
conditioning,-1,conditioning,3,-0.5185147619479793,1784191280.807082,1.00965132,1.032088,0.520648,0.879966,0.013768,-0.025934
conditioning,-1,conditioning,4,-0.6481434524349741,1784191282.6021109,0.957367299,0.981062,0.531949,0.898417,0.017436,-0.033415
conditioning,-1,conditioning,5,-0.777772142921969,1784191284.391695,0.933236213,0.927956,0.539863,0.911968,0.021673,-0.040905
conditioning,-1,conditioning,6,-0.9074008334089638,1784191286.180244,0.871567884,0.873796,0.544679,0.918109,0.024565,-0.046362
conditioning,-1,conditioning,7,-1.0370295238959586,1784191287.974275,0.830008792,0.818771,0.547132,0.922333,0.027202,-0.051407
conditioning,-1,conditioning,8,-1.1666582143829534,1784191289.766666,0.784427853,0.763173,0.546856,0.921939,0.030862,-0.058089
conditioning,-1,conditioning,9,-1.2962869048699481,1784191291.559001,0.677178585,0.707233,0.546365,0.921295,0.03159,-0.059933
conditioning,-1,conditioning,10,-1.4259155953569431,1784191293.3502321,0.645003804,0.651071,0.54254,0.913762,0.034113,-0.063493
conditioning,-1,conditioning,11,-1.555544285843938,1784191295.135565,0.561885621,0.596304,0.5364,0.903757,0.032682,-0.061678
conditioning,-1,conditioning,12,-1.6851729763309327,1784191296.924115,0.501557907,0.541692,0.528153,0.890263,0.030014,-0.057236
conditioning,-1,conditioning,13,-1.8148016668179277,1784191298.7106402,0.477426822,0.487418,0.51793,0.87246,0.028077,-0.053337
conditioning,-1,conditioning,14,-1.9444303573049224,1784191300.492532,0.427824035,0.435007,0.506224,0.852084,0.025435,-0.048886
conditioning,-1,conditioning,15,-2.074059047791917,1784191302.2838888,0.382243096,0.384067,0.491023,0.826794,0.02407,-0.045371
conditioning,-1,conditioning,16,-2.203687738278912,1784191304.073987,0.323255998,0.335147,0.473236,0.797076,0.020393,-0.0388
conditioning,-1,conditioning,17,-2.3333164287659067,1784191305.862217,0.30984984,0.288252,0.451282,0.760493,0.016399,-0.031094
conditioning,-1,conditioning,18,-2.4629451192529017,1784191307.658313,0.238797199,0.244453,0.426931,0.719405,0.012305,-0.024087
conditioning,-1,conditioning,19,-2.5925738097398963,1784191309.4406688,0.171766407,0.20334,0.397597,0.670651,0.010057,-0.019507
conditioning,-1,conditioning,20,-2.7222025002268913,1784191311.232835,0.158360248,0.165527,0.364907,0.61553,0.00936,-0.018356
conditioning,-1,conditioning,21,-2.8518311907138862,1784191313.025305,0.0966919187,0.131239,0.328463,0.554267,0.009163,-0.017644
conditioning,-1,conditioning,22,-2.981459881200881,1784191314.808653,0.0591546747,0.10042,0.28907,0.488329,0.009428,-0.018279
conditioning,-1,conditioning,23,-3.111088571687876,1784191316.596979,0.0698796015,0.073332,0.247217,0.417274,0.009382,-0.018173
conditioning,-1,conditioning,24,-3.2407172621748708,1784191318.3852742,0.0604952905,0.050235,0.203682,0.343885,0.009513,-0.018254
conditioning,-1,conditioning,25,-3.3703459526618653,1784191320.169111,0.037704821,0.031434,0.158609,0.268048,0.010088,-0.019285
conditioning,-1,conditioning,26,-3.4999746431488603,1784191321.960751,0.0323423575,0.01686,0.113048,0.191232,0.010545,-0.01987
conditioning,-1,conditioning,27,-3.6296033336358553,1784191323.744067,0.0015083727,0.006707,0.067068,0.113562,0.01097,-0.020409
conditioning,-1,conditioning,28,-3.75923202412285,1784191325.530391,-0.00385377098,0.001029,0.02028,0.034434,0.011026,-0.020436
conditioning,-1,conditioning,29,-3.888860714609845,1784191327.323092,-0.013238082,-8.2e-05,-0.026934,-0.045489,0.011109,-0.020431
conditioning,-1,conditioning,30,-4.018489405096839,1784191329.108438,-0.00117290469,0.003376,-0.073616,-0.124503,0.011098,-0.020256
conditioning,-1,conditioning,31,-4.148118095583834,1784191330.904551,0.00418996984,0.011389,-0.119775,-0.202449,0.010942,-0.01994
conditioning,-1,conditioning,32,-4.277746786070829,1784191332.686142,0.0484297478,0.023755,-0.165135,-0.279068,0.010381,-0.018937
conditioning,-1,conditioning,33,-4.407375476557824,1784191334.460611,0.0403860527,0.04043,-0.209832,-0.354418,0.010335,-0.018423
formal,0,up,0,-4.407375476557824,1784191336.239935,0.0765826808,0.047231,-0.212758,-0.360055,0.010027,-0.018659
formal,0,up,1,-4.276822000356725,1784191338.027415,0.0350235893,0.036203,-0.173077,-0.292821,0.010206,-0.019154
formal,0,up,2,-4.1462685241556265,1784191339.815285,0.0551328271,0.021544,-0.130946,-0.221764,0.010785,-0.020128
formal,0,up,3,-4.0157150479545285,1784191341.611837,0.0135737355,0.010479,-0.088038,-0.149026,0.010872,-0.020281
formal,0,up,4,-3.8851615717534296,1784191343.4041421,-0.0078758498,0.003229,-0.044464,-0.075341,0.011053,-0.020482
formal,0,up,5,-3.7546080955523307,1784191345.19577,0.0310017417,-8.4e-05,-4.3e-05,-4.5e-05,0.01106,-0.020407
formal,0,up,6,-3.624054619351232,1784191346.9878762,0.00687065626,0.000636,0.044571,0.075464,0.011044,-0.020266
formal,0,up,7,-3.4935011431501337,1784191348.779084,0.0149143514,0.005459,0.08903,0.150738,0.010817,-0.01989
formal,0,up,8,-3.362947666949035,1784191350.573515,0.0242986624,0.014342,0.133107,0.224978,0.010565,-0.019441
formal,0,up,9,-3.232394190747936,1784191352.3592582,0.0497703637,0.027277,0.176574,0.298438,0.009952,-0.018254
formal,0,up,10,-3.1018407145468374,1784191354.159675,0.0591546747,0.044139,0.219273,0.370478,0.00976,-0.017746
formal,0,up,11,-2.971287238345739,1784191355.952252,0.0859669918,0.065039,0.261705,0.441814,0.009983,-0.017897
formal,0,up,12,-2.84073376214464,1784191357.740404,0.112779309,0.089616,0.300743,0.507282,0.009649,-0.017756
formal,0,up,13,-2.710180285943541,1784191359.513928,0.136910394,0.118201,0.339307,0.572228,0.009358,-0.016975
formal,0,up,14,-2.5796268097424426,1784191361.312584,0.178469486,0.150382,0.374198,0.631166,0.006296,-0.011729
formal,0,up,15,-2.449073333541344,1784191363.097831,0.185172565,0.185903,0.405498,0.683025,0.003027,-0.005719
formal,0,up,16,-2.3185198573402452,1784191364.887487,0.226731657,0.224873,0.433007,0.730007,-0.001527,0.002904
formal,0,up,17,-2.1879663811391463,1784191366.703663,0.281696907,0.266599,0.456967,0.769831,-0.005622,0.010626
formal,0,up,18,-2.057412904938048,1784191368.514527,0.336662157,0.3117,0.476565,0.802961,-0.009805,0.018476
formal,0,up,19,-1.9268594287369494,1784191370.329277,0.413077261,0.359249,0.492995,0.830155,-0.015697,0.028789
formal,0,up,20,-1.7963059525358505,1784191372.1607392,0.459998816,0.408536,0.506159,0.85172,-0.020823,0.038512
formal,0,up,21,-1.6657524763347515,1784191373.993349,0.472064358,0.460033,0.517149,0.871149,-0.02671,0.049189
formal,0,up,22,-1.535199000133653,1784191375.812767,0.500217291,0.512966,0.526569,0.887255,-0.030216,0.055944
formal,0,up,23,-1.4046455239325546,1784191377.631781,0.603444712,0.567916,0.534288,0.900365,-0.033682,0.062978
formal,0,up,24,-1.2740920477314557,1784191379.4598432,0.627575798,0.623697,0.53869,0.907205,-0.03517,0.065118
formal,0,up,25,-1.1435385715303568,1784191381.274902,0.709353365,0.680035,0.541993,0.913013,-0.035068,0.065211
formal,0,up,26,-1.0129850953292583,1784191383.089329,0.783087237,0.737135,0.543356,0.915937,-0.035989,0.066442
formal,0,up,27,-0.8824316191281598,1784191384.906395,0.816602634,0.7929,0.543356,0.915787,-0.034431,0.063636
formal,0,up,28,-0.7518781429270609,1784191386.7146099,0.880952195,0.850762,0.541235,0.912693,-0.034595,0.063697
formal,0,up,29,-0.621324666725962,1784191388.526931,0.954686067,0.906235,0.536537,0.905138,-0.031168,0.057471
formal,0,up,30,-0.4907711905248635,1784191390.3479831,0.989542079,0.961562,0.528108,0.891645,-0.026517,0.049716
formal,0,up,31,-0.36021771432376504,1784191392.170007,1.05523226,1.014796,0.516216,0.87179,-0.023706,0.043967
formal,0,up,32,-0.22966423812266612,1784191393.999906,1.07400088,1.066703,0.502152,0.847505,-0.020653,0.038379
formal,0,up,33,-0.0991107619215672,1784191395.821246,1.17990953,1.116252,0.485145,0.82041,-0.018004,0.033807
formal,0,up,34,0.031442714279531714,1784191397.6433852,1.20538123,1.163746,0.463803,0.784742,-0.015637,0.029076
formal,0,up,35,0.16199619048062974,1784191399.466493,1.23085293,1.198352,0.438909,0.743666,-0.013052,0.024995
formal,0,up,36,0.29254966668172866,1784191401.274841,1.29922434,1.2,0.409194,0.692736,-0.010515,0.019791
formal,0,up,37,0.4231031428828276,1784191403.099158,1.33139912,1.2,0.375806,0.636822,-0.008885,0.017087
formal,0,up,38,0.5536566190839256,1784191404.923192,1.37832068,1.2,0.339002,0.574386,-0.009378,0.017566
formal,0,up,39,0.6842100952850245,1784191406.741426,1.37698006,1.2,0.300411,0.508909,-0.009539,0.018456
formal,0,up,40,0.8147635714861234,1784191408.558573,1.41317669,1.2,0.259809,0.440261,-0.010363,0.019819
formal,0,up,41,0.9453170476872224,1784191410.351798,1.42658285,1.2,0.217181,0.368206,-0.010388,0.019664
formal,0,up,42,1.0758705238883213,1784191412.168931,1.46814194,1.2,0.172861,0.293258,-0.01013,0.019378
formal,0,up,43,1.2064240000894193,1784191413.992258,1.47484502,1.2,0.127096,0.215868,-0.010518,0.019775
formal,0,up,44,1.3369774762905182,1784191415.825509,1.50567918,1.2,0.080799,0.137409,-0.010668,0.01996
formal,0,up,45,1.4675309524916171,1784191417.634897,1.46814194,1.2,0.03458,0.058823,-0.010824,0.020226
formal,0,up,46,1.5980844286927152,1784191419.466042,1.47216379,1.2,-0.012164,-0.020801,-0.010871,0.020076
formal,0,up,47,1.728637904893814,1784191421.3032541,1.48422933,1.2,-0.059161,-0.100426,-0.010874,0.019941
formal,0,up,48,1.859191381094913,1784191423.120762,1.47886687,1.2,-0.105665,-0.179178,-0.010847,0.01994
formal,0,up,49,1.989744857296012,1784191424.9375958,1.48556995,1.2,-0.151619,-0.256971,-0.010853,0.019759
formal,0,up,50,2.120298333497111,1784191426.761655,1.3890456,1.2,-0.196109,-0.332034,-0.010126,0.018593
formal,0,up,51,2.250851809698209,1784191428.5995252,1.44132962,1.2,-0.239913,-0.406085,-0.009637,0.017829
formal,0,up,52,2.3814052858993078,1784191430.431515,1.39306745,1.2,-0.283092,-0.478907,-0.008749,0.016183
formal,0,up,53,2.5119587621004067,1784191432.257687,1.37295821,1.2,-0.324579,-0.548856,-0.008761,0.015653
formal,0,up,54,2.6425122383015047,1784191434.070824,1.30994927,1.2,-0.363257,-0.613882,-0.008336,0.015015
formal,0,up,55,2.7730657145026036,1784191435.892277,1.30056496,1.2,-0.396542,-0.669917,-0.006325,0.011298
formal,0,up,56,2.9036191907037026,1784191437.725193,1.2791151,1.2,-0.427074,-0.720605,-0.003492,0.006177
formal,0,up,57,3.0341726669048015,1784191439.562861,1.18795323,1.196382,-0.454294,-0.766762,0.001504,-0.002076
formal,0,up,58,3.1647261431059004,1784191441.379454,1.14773475,1.155527,-0.478711,-0.807316,0.004855,-0.009117
formal,0,up,59,3.2952796193069984,1784191443.199088,1.07668211,1.107533,-0.500165,-0.842542,0.008879,-0.016591
formal,0,up,60,3.4258330955080973,1784191445.02871,1.0592541,1.057595,-0.516918,-0.870753,0.012261,-0.023078
formal,0,up,61,3.5563865717091963,1784191446.84958,1.02171686,1.004051,-0.527845,-0.888977,0.016464,-0.030332
formal,0,up,62,3.6869400479102943,1784191448.6660311,0.986860847,0.950124,-0.537446,-0.904889,0.021498,-0.040307
formal,0,up,63,3.817493524111393,1784191450.480198,0.882292811,0.895342,-0.544238,-0.915927,0.026208,-0.048196
formal,0,up,64,3.948047000312492,1784191452.297426,0.848777414,0.837559,-0.546589,-0.919401,0.030984,-0.057118
formal,0,up,65,4.078600476513591,1784191454.112397,0.81124017,0.780854,-0.549049,-0.923193,0.033636,-0.06256
formal,0,up,66,4.20915395271469,1784191455.932267,0.732143835,0.721891,-0.546781,-0.919328,0.034948,-0.064933
formal,0,up,67,4.339707428915789,1784191457.7559612,0.686562896,0.664484,-0.542938,-0.913202,0.035091,-0.06497
formal,0,up,68,4.470260905116888,1784191459.579475,0.611488408,0.607326,-0.539052,-0.905742,0.033849,-0.062909
formal,0,up,69,4.600814381317985,1784191461.406389,0.557863773,0.550782,-0.530934,-0.891314,0.033868,-0.063009
formal,0,up,70,4.731367857519084,1784191463.230282,0.434527115,0.495048,-0.52157,-0.875932,0.031654,-0.058526
formal,0,up,71,4.861921333720183,1784191465.057813,0.472064358,0.440767,-0.509496,-0.855288,0.029384,-0.054887
formal,0,up,72,4.992474809921282,1784191466.89588,0.38090248,0.388042,-0.494328,-0.829571,0.02533,-0.047321
formal,0,up,73,5.123028286122381,1784191468.7125719,0.315212303,0.337707,-0.476502,-0.799687,0.020141,-0.037894
formal,0,up,74,5.2535817623234795,1784191470.532747,0.27097198,0.289849,-0.453838,-0.761372,0.017446,-0.032464
