epoch,order,direction,bias,timestamp_unix,dc_priming,dc_confirm_1,dc_confirm_2,dc_scored,confirm_delta
0,0,forward,-3.101840714546838,1784190140.6231859,1.26302771,1.2616871,1.27777449,1.269730795,0.016087390000000035
0,1,forward,-0.49077119052486373,1784190142.706038,1.11153812,1.12092243,1.12092243,1.12092243,0.0
0,2,forward,2.12029833349711,1784190144.7838101,1.42122038,1.422561,1.42390162,1.42323131,0.0013406200000001256
0,3,forward,4.731367857519084,1784190146.874539,0.464020663,0.469383127,0.461339432,0.4653612795,0.008043695000000017
0,4,reverse,4.731367857519084,1784190148.9684238,0.454636352,0.443911426,0.439889578,0.441900502,0.0040218479999999945
0,5,reverse,2.12029833349711,1784190151.048885,1.39306745,1.38636437,1.39977053,1.39306745,0.013406160000000167
0,6,reverse,-0.49077119052486373,1784190153.1388092,1.1262849,1.14237229,1.13164736,1.137009825,0.010724929999999855
0,7,reverse,-3.101840714546838,1784190155.2151968,1.12762551,1.13566921,1.13700982,1.136339515,0.0013406099999999643
1,0,forward,-3.101840714546838,1784190257.136171,0.112779309,0.100713766,0.116801157,0.1087574615,0.016087391000000006
1,1,forward,-0.49077119052486373,1784190259.222702,1.09411012,1.10751627,1.09947258,1.103494425,0.008043690000000048
1,2,forward,2.12029833349711,1784190261.317062,1.40513299,1.4306047,1.43194531,1.4312750049999998,0.0013406099999999643
1,3,forward,4.731367857519084,1784190263.4068701,0.485470517,0.485470517,0.445252041,0.465361279,0.040218476
1,4,reverse,4.731367857519084,1784190265.4873412,0.469383127,0.465361279,0.430505267,0.447933273,0.03485601199999999
1,5,reverse,2.12029833349711,1784190267.574684,1.41183607,1.39977053,1.42524223,1.41250638,0.025471699999999986
1,6,reverse,-0.49077119052486373,1784190269.659381,1.41049546,1.41585792,1.40513299,1.410495455,0.010724930000000077
1,7,reverse,-3.101840714546838,1784190271.739139,0.140932242,0.13825101,0.115460541,0.1268557755,0.022790469000000008
2,0,forward,-3.101840714546838,1784190377.187637,0.0765826808,0.0792639125,0.0792639125,0.0792639125,0.0
2,1,forward,-0.49077119052486373,1784190379.303621,0.0806045284,0.0765826808,0.0631765222,0.0698796015,0.013406158599999995
2,2,forward,2.12029833349711,1784190381.4215722,0.0806045284,0.0966919187,0.0725608332,0.08462637595,0.02413108550000001
2,3,forward,4.731367857519084,1784190383.549984,0.0712202174,0.0940106869,0.0819451442,0.08797791555000001,0.012065542700000001
2,4,reverse,4.731367857519084,1784190385.668374,0.549820078,0.527029609,0.544457615,0.535743612,0.01742800600000005
2,5,reverse,2.12029833349711,1784190387.787551,1.43730778,1.45071393,1.44535147,1.4480327000000002,0.005362459999999958
2,6,reverse,-0.49077119052486373,1784190389.902142,1.06595718,1.07266026,1.08606642,1.07936334,0.013406160000000167
2,7,reverse,-3.101840714546838,1784190392.016714,1.05389164,1.04718856,1.06193534,1.05456195,0.01474678000000007
3,0,forward,-3.101840714546838,1784190497.179323,1.06461657,1.07802273,1.06863841,1.07333057,0.009384320000000113
3,1,forward,-0.49077119052486373,1784190499.282515,1.09142888,1.07534149,1.08070396,1.0780227249999998,0.005362469999999897
3,2,forward,2.12029833349711,1784190501.410374,1.06461657,1.08070396,1.0927695,1.08673673,0.012065540000000041
3,3,forward,4.731367857519084,1784190503.523411,0.493514212,0.505579755,0.496195444,0.5008875995,0.009384310999999979
3,4,reverse,4.731367857519084,1784190505.655516,0.485470517,0.485470517,0.478767438,0.4821189775,0.006703079000000001
3,5,reverse,2.12029833349711,1784190507.778852,1.41853915,1.3970893,1.42658285,1.411836075,0.02949354999999998
3,6,reverse,-0.49077119052486373,1784190509.8947961,1.09545073,1.07802273,1.09947258,1.0887476550000001,0.021449849999999993
3,7,reverse,-3.101840714546838,1784190512.002958,0.110098077,0.0993731504,0.0926700711,0.09602161075,0.006703079299999998
4,0,forward,-3.101840714546838,1784190617.1775382,0.0725608332,0.0886482235,0.0430672844,0.06585775395,0.045580939099999995
4,1,forward,-0.49077119052486373,1784190619.294276,1.00697009,1.01769501,0.996245158,1.006970084,0.021449851999999936
4,2,forward,2.12029833349711,1784190621.4147892,1.44937332,1.47886687,1.45473578,1.466801325,0.02413109000000002
4,3,forward,4.731367857519084,1784190623.542264,0.55250131,0.549820078,0.55250131,0.551160694,0.0026812320000000334
4,4,reverse,4.731367857519084,1784190625.661119,0.547138846,0.516304682,0.548479462,0.5323920719999999,0.03217477999999996
4,5,reverse,2.12029833349711,1784190627.766037,0.520326529,0.518985913,0.533732688,0.5263593005,0.01474677499999999
4,6,reverse,-0.49077119052486373,1784190629.881953,1.08070396,1.05657287,1.07802273,1.0672978,0.021449859999999932
4,7,reverse,-3.101840714546838,1784190631.998562,0.0913294552,0.118141772,0.0886482235,0.10339499775,0.029493548500000008
5,0,forward,-3.101840714546838,1784190737.185676,0.0578140588,0.0792639125,0.0336829734,0.05647344295000001,0.0455809391
5,1,forward,-0.49077119052486373,1784190739.308919,0.0524515954,0.075242065,0.0671983698,0.07122021740000001,0.008043695199999992
5,2,forward,2.12029833349711,1784190741.417252,0.0698796015,0.0256392783,0.0739014491,0.0497703637,0.048262170800000004
5,3,forward,4.731367857519084,1784190743.5232708,0.586016706,0.59137917,0.611488408,0.601433789,0.020109238000000085
5,4,reverse,4.731367857519084,1784190745.639453,0.564566853,0.563226237,0.555182542,0.5592043895,0.008043695000000017
5,5,reverse,2.12029833349711,1784190747.74767,1.47886687,1.46680132,1.4735044,1.47015286,0.006703079999999861
5,6,reverse,-0.49077119052486373,1784190749.872472,1.01903563,1.02573871,1.02439809,1.0250683999999999,0.0013406199999999036
5,7,reverse,-3.101840714546838,1784190751.990529,0.0671983698,0.075242065,0.104735614,0.0899888395,0.029493549000000008
