Ap,m,point,bias,dc_dmm,dc_board,board_H1_mag,board_H2_mag,board_H2_over_H1,board_H1_I,board_H1_Q,board_H2_I,board_H2_Q,scope_H1_dBVrms,scope_H2_dBVrms,scope_H2_minus_H1_dB
0.05,0.030262909677196734,peak,2.4929,1.4724989425,1.19921075,0.10119363588314238,0.0020897492822106673,0.02065099513396172,-0.05733100000000001,-0.0833865,-0.00050425,0.002028,nan,nan,nan
0.05,0.030262909677196734,quad,5.088150000000001,0.58031908875,0.5960055000000001,0.3632847997565065,0.0022406528206083158,0.0061677582494784385,-0.20643125,-0.29893475,0.0010002499999999998,-0.0020050000000000003,-84.16714,-94.06488,-9.897739999999999
0.05,0.030262909677196734,null,7.683400000000001,0.02899087357,0.03470475,0.07743598079098953,0.003111603143879373,0.04018291125256129,0.04405025,0.06368599999999999,0.00090775,-0.0029762499999999997,nan,nan,nan
0.1,0.06052581935439347,peak,2.4929,1.4691474024999998,1.1792745,0.27060069135132025,0.008876005876096523,0.032801120469322174,-0.1534035,-0.22291725,-0.00277975,0.0084295,nan,nan,nan
0.1,0.06052581935439347,quad,5.088150000000001,0.5186507597500001,0.54512625,0.696586394377476,0.008597060387859328,0.012341700121120413,-0.3966175,-0.5726492500000001,0.0034177499999999998,-0.0078885,-78.6757,-86.35677,-7.681069999999991
0.1,0.06052581935439347,null,7.683400000000001,0.037704876644999996,0.04258725,0.19416676156802043,0.010322554141296621,0.053163342983811514,0.1104055,0.15972275,0.003332,-0.009770000000000001,nan,nan,nan
0.15,0.0907887290315902,peak,2.4929,1.4336210825,1.178766,0.4478014091249742,0.020726790721792895,0.04628567552365245,-0.2540925,-0.36873175,-0.006858250000000001,0.01955925,nan,nan,nan
0.15,0.0907887290315902,quad,5.088150000000001,0.5062500630000001,0.5199155,1.0255887167927014,0.018803581302839628,0.018334426846702848,-0.5845265,-0.8427104999999999,0.00742275,-0.0172765,-78.0235,-82.75433,-4.730829999999997
0.15,0.0907887290315902,null,7.683400000000001,0.0477594399,0.048829500000000005,0.3262545490396456,0.02081462684778423,0.06379873294963587,0.185652,0.26828225,0.0068455,-0.01965675,nan,nan,nan
0.2,0.12105163870878693,peak,2.4929,1.4386483925,1.17832175,0.6306772193381196,0.03574848898992095,0.05668270217122813,-0.35826575,-0.5190370000000001,-0.011853750000000001,0.033726,nan,nan,nan
0.2,0.12105163870878693,quad,5.088150000000001,0.483124439,0.5014075,1.2285122809839193,0.03634676853328917,0.029586003409081862,-0.7010244999999999,-1.00886425,0.013723250000000001,-0.0336565,-76.8093,-87.0438,-10.234500000000011
0.2,0.12105163870878693,null,7.683400000000001,0.044072746275,0.054384,0.46971997936277154,0.03773854313728871,0.08034263986063638,0.26754125,0.386081,0.01256675,-0.035584750000000005,nan,nan,nan
0.3,0.1815774580631804,peak,2.4929,1.4205500775,1.1778845,0.9871539965150132,0.08176641459441034,0.08283045490680621,-0.5616220000000001,-0.81182125,-0.02734825,0.07705725,nan,nan,nan
0.3,0.1815774580631804,quad,5.088150000000001,0.48044320775,0.48744000000000004,1.346746150628293,0.05465464356358479,0.040582736054665496,-0.76937375,-1.10534575,0.01995375,-0.050882000000000004,-70.95467,-89.16732,-18.21265000000001
0.3,0.1815774580631804,null,7.683400000000001,0.047759439900000006,0.060743250000000006,0.7467119558464713,0.08459472546796283,0.11328963572314361,0.425871,0.61336175,0.028459,-0.079664,nan,nan,nan
0.4,0.24210327741757387,peak,2.4929,1.4316101575,1.17753025,1.2157005573846351,0.08132961926975006,0.06689938470104544,-0.69253025,-0.9991645,-0.02661925,0.07685,nan,nan,nan
0.4,0.24210327741757387,quad,5.088150000000001,0.45932850775,0.4768835,1.391729014095641,0.06753714700537031,0.048527512411787,-0.7952172500000001,-1.14216425,0.024392749999999998,-0.06297825,-69.81129,-78.00607,-8.194779999999994
0.4,0.24210327741757387,null,7.683400000000001,0.06418198412500001,0.067565,1.0298708970963908,0.13894002752379353,0.13491014059676787,0.58806825,0.8454642499999999,0.046734500000000005,-0.13084425,nan,nan,nan
