bias,dc_dmm,dc_board,dir
-9.0,1.44401085,1.150834,up
-8.88,1.41183607,1.2,up
-8.76,1.4480327,1.2,up
-8.64,1.43864839,1.2,up
-8.52,1.4480327,1.2,up
-8.4,1.46814194,1.2,up
-8.28,1.46680132,1.2,up
-8.16,1.47082317,1.2,up
-8.04,1.45875763,1.2,up
-7.92,1.47216379,1.2,up
-7.8,1.45205455,1.2,up
-7.68,1.45741701,1.2,up
-7.5600000000000005,1.42792346,1.2,up
-7.4399999999999995,1.3970893,1.2,up
-7.32,1.39977053,1.2,up
-7.2,1.35687082,1.2,up
-7.08,1.33273974,1.2,up
-6.96,1.31128988,1.2,up
-6.84,1.26973079,1.2,up
-6.720000000000001,1.2362154,1.2,up
-6.6,1.22146862,1.198754,up
-6.48,1.17454707,1.166293,up
-6.36,1.12896613,1.127276,up
-6.24,1.11019751,1.085443,up
-6.12,1.05121041,1.043058,up
-6.0,1.00697009,0.998783,up
-5.88,0.947982988,0.951817,up
-5.76,0.890336506,0.906138,up
-5.640000000000001,0.858161725,0.856894,up
-5.52,0.800515243,0.808561,up
-5.4,0.737506298,0.759019,up
-5.28,0.705331518,0.709309,up
-5.16,0.658409963,0.660509,up
-5.04,0.600763481,0.610386,up
-4.92,0.555182542,0.561222,up
-4.8,0.498876676,0.513571,up
-4.68,0.47474559,0.466096,up
-4.5600000000000005,0.41978034,0.419802,up
-4.44,0.359452627,0.374568,up
-4.32,0.327277846,0.331573,up
-4.2,0.291081218,0.290202,up
-4.08,0.240137815,0.250785,up
-3.96,0.213325498,0.213255,up
-3.84,0.167744559,0.178652,up
-3.7200000000000006,0.142272858,0.146482,up
-3.6000000000000005,0.0940106869,0.117242,up
-3.4800000000000004,0.10607623,0.090838,up
-3.3600000000000003,0.0618359064,0.067576,up
-3.24,0.0256392783,0.047553,up
-3.12,0.018936199,0.030863,up
-3.0,0.0162549673,0.01767,up
-2.88,0.0363642051,0.008003,up
-2.76,0.018936199,0.001959,up
-2.6400000000000006,0.00687069909,-0.000409,up
-2.5200000000000005,0.00150823566,0.000879,up
-2.4000000000000004,0.0108925038,0.005844,up
-2.2800000000000002,0.037704821,0.014396,up
-2.16,0.0390454368,0.026522,up
-2.04,0.0484297478,0.042105,up
-1.92,0.0846263759,0.061301,up
-1.8000000000000007,0.103394998,0.083723,up
-1.6800000000000006,0.127526083,0.109356,up
-1.5600000000000005,0.169085175,0.138067,up
-1.4400000000000004,0.182491333,0.169972,up
-1.3200000000000003,0.198578724,0.20484,up
-1.2000000000000002,0.252203358,0.242174,up
-1.08,0.291081218,0.282245,up
-0.9600000000000009,0.34202462,0.324495,up
-0.8399999999999999,0.411736645,0.36869,up
-0.7200000000000006,0.43586773,0.414813,up
-0.5999999999999996,0.496195444,0.462694,up
-0.4800000000000004,0.563226237,0.511876,up
-0.35999999999999943,0.569929316,0.562031,up
-0.2400000000000002,0.649025652,0.613258,up
-0.120000000000001,0.689244127,0.66563,up
0.0,0.745549993,0.717496,up
0.11999999999999922,0.783087237,0.770658,up
0.2400000000000002,0.876930347,0.822928,up
0.35999999999999943,0.883633426,0.874419,up
0.4800000000000004,0.957367299,0.925183,up
0.5999999999999996,1.02305748,0.973861,up
0.7199999999999989,1.04450733,1.022977,up
0.8399999999999999,1.10349443,1.069261,up
0.9599999999999991,1.12896613,1.113969,up
1.08,1.2027,1.15696,up
1.1999999999999993,1.2281717,1.195646,up
1.3200000000000003,1.25230279,1.2,up
1.4399999999999995,1.30994927,1.2,up
1.5599999999999987,1.35553021,1.2,up
1.6799999999999997,1.35284898,1.2,up
1.799999999999999,1.39977053,1.2,up
1.92,1.43730778,1.2,up
2.039999999999999,1.43864839,1.2,up
2.16,1.43462654,1.2,up
2.2799999999999994,1.46412009,1.2,up
2.4000000000000004,1.43730778,1.2,up
2.5199999999999996,1.48422933,1.2,up
2.639999999999999,1.44937332,1.2,up
2.76,1.46277948,1.2,up
2.879999999999999,1.43462654,1.2,up
3.0,1.42524223,1.2,up
3.119999999999999,1.39977053,1.2,up
3.24,1.39574868,1.2,up
3.3599999999999994,1.37563945,1.2,up
3.4800000000000004,1.3970893,1.2,up
3.5999999999999996,1.32335543,1.2,up
3.719999999999999,1.25230279,1.2,up
3.84,1.2536434,1.2,up
3.959999999999999,1.21342493,1.199288,up
4.08,1.17856891,1.166276,up
4.199999999999999,1.1182412,1.123171,up
4.32,1.08338519,1.078092,up
4.4399999999999995,1.04048548,1.032725,up
4.559999999999999,0.982839,0.982753,up
4.68,0.934576829,0.933202,up
4.799999999999999,0.894358353,0.882965,up
4.92,0.823305713,0.831445,up
5.039999999999999,0.781746621,0.77888,up
5.16,0.734825066,0.726402,up
5.279999999999999,0.636960109,0.673968,up
5.399999999999999,0.620872719,0.621347,up
5.52,0.5685887,0.568971,up
5.639999999999999,0.509601602,0.518109,up
5.76,0.453295737,0.468193,up
5.879999999999999,0.421120956,0.418938,up
6.0,0.396989871,0.372045,up
6.119999999999999,0.283037523,0.326652,up
6.24,0.260247053,0.283356,up
6.359999999999999,0.257565821,0.24228,up
6.479999999999999,0.198578724,0.203612,up
6.6,0.162382096,0.16802,up
6.719999999999999,0.127526083,0.135393,up
6.84,0.107416846,0.105843,up
6.959999999999999,0.0792639125,0.07959,up
7.079999999999998,0.0484297478,0.05698,up
7.199999999999999,0.0444079002,0.037981,up
7.32,0.00284935398,0.022692,up
7.439999999999998,-0.0078758498,0.011182,up
7.559999999999999,0.0108928207,0.003679,up
7.68,0.0216174307,0.000168,up
7.800000000000001,-0.00519470944,0.000637,up
7.919999999999998,-0.0105569902,0.005105,up
8.04,-0.0373683937,0.013494,up
8.16,0.0323423575,0.025722,up
8.280000000000001,0.0444079002,0.041732,up
8.399999999999999,0.0779232967,0.061595,up
8.52,0.112779309,0.085128,up
8.64,0.107416846,0.111946,up
8.759999999999998,0.152997785,0.142301,up
8.879999999999999,0.201259955,0.17577,up
9.0,0.230753504,0.21228,up
9.0,0.195897492,0.228025,down
8.879999999999999,0.224050425,0.207318,down
8.759999999999998,0.16104148,0.175838,down
8.64,0.146294705,0.146218,down
8.52,0.110098077,0.118932,down
8.399999999999999,0.0739014491,0.093802,down
8.280000000000001,0.0216175192,0.071672,down
8.16,0.00418955873,0.052044,down
8.04,0.0497703637,0.03536,down
7.919999999999998,0.0202768148,0.02189,down
7.800000000000001,0.0162549673,0.011529,down
7.68,0.0202768577,0.004373,down
7.559999999999999,-0.017259841,0.000516,down
7.439999999999998,-0.0159192709,3.8e-05,down
7.32,0.0135737355,0.002919,down
7.199999999999999,0.0216174307,0.009137,down
7.079999999999998,-0.017259841,0.018725,down
6.959999999999999,0.0417266685,0.031588,down
6.84,0.0685389857,0.047683,down
6.719999999999999,0.0739014491,0.066917,down
6.6,0.111438693,0.089429,down
6.479999999999999,0.150316553,0.114931,down
6.359999999999999,0.169085175,0.143253,down
6.24,0.187853797,0.174544,down
6.119999999999999,0.209303651,0.208434,down
6.0,0.299124913,0.244897,down
5.879999999999999,0.321915383,0.283846,down
5.76,0.329959078,0.324585,down
5.639999999999999,0.356771395,0.368,down
5.52,0.445252041,0.413014,down
5.399999999999999,0.488151749,0.459295,down
5.279999999999999,0.548479462,0.506474,down
5.16,0.583335475,0.555662,down
5.039999999999999,0.628916414,0.60558,down
4.92,0.689244127,0.656052,down
4.799999999999999,0.699969054,0.706788,down
4.68,0.791130932,0.756474,down
4.559999999999999,0.823305713,0.808359,down
4.4399999999999995,0.859502341,0.859318,down
4.32,0.939939292,0.908757,down
4.199999999999999,0.986860847,0.958141,down
4.08,1.01367316,1.005097,down
3.959999999999999,1.06461657,1.051191,down
3.84,1.11555997,1.096314,down
3.719999999999999,1.16248152,1.138764,down
3.5999999999999996,1.20135938,1.178804,down
3.4800000000000004,1.29252126,1.199685,down
3.3599999999999994,1.29922434,1.2,down
3.24,1.32469604,1.2,down
3.119999999999999,1.32871789,1.2,down
3.0,1.40379238,1.2,down
2.879999999999999,1.40245176,1.2,down
2.76,1.43194531,1.2,down
2.639999999999999,1.46680132,1.2,down
2.5199999999999996,1.44937332,1.2,down
2.4000000000000004,1.44132962,1.2,down
2.2799999999999994,1.45071393,1.2,down
2.16,1.45205455,1.2,down
2.039999999999999,1.48288871,1.2,down
1.92,1.45205455,1.2,down
1.799999999999999,1.46277948,1.2,down
1.6799999999999997,1.42524223,1.2,down
1.5599999999999987,1.45875763,1.2,down
1.4399999999999995,1.34882713,1.2,down
1.3200000000000003,1.3890456,1.2,down
1.1999999999999993,1.32603666,1.2,down
1.08,1.29922434,1.2,down
0.9599999999999991,1.27777449,1.2,down
0.8399999999999999,1.2027,1.2,down
0.7199999999999989,1.16382214,1.197293,down
0.5999999999999996,1.13432859,1.162278,down
0.4800000000000004,1.15041598,1.119865,down
0.35999999999999943,1.08070396,1.075445,down
0.2400000000000002,1.02976055,1.030376,down
0.11999999999999922,0.990882695,0.982259,down
0.0,0.909105128,0.934139,down
-0.120000000000001,0.899720817,0.884417,down
-0.2400000000000002,0.820624481,0.833786,down
