bias,dc_dmm,dc_board,dir
-9.0,1.46814194,1.18378,up
-8.88,1.46143886,1.2,up
-8.76,1.47484502,1.2,up
-8.64,1.47886687,1.2,up
-8.52,1.4306047,1.2,up
-8.4,1.45205455,1.2,up
-8.28,1.45071393,1.2,up
-8.16,1.45875763,1.2,up
-8.04,1.44267024,1.2,up
-7.92,1.42122038,1.2,up
-7.8,1.40647361,1.2,up
-7.68,1.37295821,1.2,up
-7.5600000000000005,1.36759575,1.2,up
-7.4399999999999995,1.34480528,1.2,up
-7.32,1.30726804,1.2,up
-7.2,1.27241202,1.2,up
-7.08,1.22683109,1.2,up
-6.96,1.2281717,1.196012,up
-6.84,1.16382214,1.162949,up
-6.720000000000001,1.11421935,1.123718,up
-6.6,1.06059472,1.08195,up
-6.48,1.06595718,1.038996,up
-6.36,1.00697009,0.993964,up
-6.24,0.954686067,0.948599,up
-6.12,0.902402048,0.901163,up
-6.0,0.854139878,0.853841,up
-5.88,0.813921402,0.804628,up
-5.76,0.758956152,0.755396,up
-5.640000000000001,0.70130967,0.70659,up
-5.52,0.677178585,0.65683,up
-5.4,0.600763481,0.608017,up
-5.28,0.557863773,0.559576,up
-5.16,0.520326529,0.510961,up
-5.04,0.473404974,0.463642,up
-4.92,0.40369295,0.417833,up
-4.8,0.376880633,0.372782,up
-4.68,0.324596614,0.32989,up
-4.5600000000000005,0.274993828,0.288577,up
-4.44,0.226731657,0.249389,up
-4.32,0.195897492,0.212451,up
-4.2,0.171766407,0.177815,up
-4.08,0.148975937,0.145809,up
-3.96,0.115460541,0.11663,up
-3.84,0.0806045284,0.090427,up
-3.7200000000000006,0.0618359064,0.067227,up
-3.6000000000000005,0.0524515954,0.047317,up
-3.4800000000000004,0.0403860527,0.03072,up
-3.3600000000000003,0.0216174307,0.017591,up
-3.24,0.0202768148,0.008029,up
-3.12,-0.00117299605,0.002056,up
-3.0,-0.0186004112,-0.000305,up
-2.88,0.0256392783,0.001015,up
-2.76,0.0310017417,0.005989,up
-2.6400000000000006,0.0296611258,0.014559,up
-2.5200000000000005,0.0350235893,0.02677,up
-2.4000000000000004,0.0618359064,0.04251,up
-2.2800000000000002,0.0832857601,0.061608,up
-2.16,0.0913294552,0.08412,up
-2.04,0.126185468,0.109881,up
-1.92,0.171766407,0.139008,up
-1.8000000000000007,0.181150718,0.171025,up
-1.6800000000000006,0.238797199,0.205722,up
-1.5600000000000005,0.258906437,0.243377,up
-1.4400000000000004,0.297784297,0.283746,up
-1.3200000000000003,0.362133858,0.325971,up
-1.2000000000000002,0.405033566,0.370415,up
-1.08,0.439889578,0.416726,up
-0.9600000000000009,0.477426822,0.464779,up
-0.8399999999999999,0.555182542,0.514989,up
-0.7200000000000006,0.577973011,0.565412,up
-0.5999999999999996,0.642322572,0.616247,up
-0.4800000000000004,0.721418908,0.668497,up
-0.35999999999999943,0.753593688,0.720975,up
-0.2400000000000002,0.803196475,0.773561,up
-0.120000000000001,0.852799262,0.826124,up
0.0,0.898380201,0.878114,up
0.11999999999999922,0.972114073,0.929769,up
0.2400000000000002,1.0083107,0.979029,up
0.35999999999999943,1.05121041,1.028102,up
0.4800000000000004,1.10617566,1.074463,up
0.5999999999999996,1.16650337,1.12025,up
0.7199999999999989,1.19867815,1.163812,up
0.8399999999999999,1.22951232,1.197647,up
0.9599999999999991,1.26704956,1.2,up
1.08,1.28849942,1.2,up
1.1999999999999993,1.35016774,1.2,up
1.3200000000000003,1.38100191,1.2,up
1.4399999999999995,1.37966129,1.2,up
1.5599999999999987,1.43596716,1.2,up
1.6799999999999997,1.41719854,1.2,up
1.799999999999999,1.44937332,1.2,up
1.92,1.47484502,1.2,up
2.039999999999999,1.47216379,1.2,up
2.16,1.49361364,1.2,up
2.2799999999999994,1.48020748,1.2,up
2.4000000000000004,1.48288871,1.2,up
2.5199999999999996,1.47886687,1.2,up
2.639999999999999,1.45071393,1.2,up
2.76,1.43864839,1.2,up
2.879999999999999,1.41853915,1.2,up
3.0,1.39172684,1.2,up
3.119999999999999,1.37966129,1.2,up
3.24,1.3381022,1.2,up
3.3599999999999994,1.29922434,1.2,up
3.4800000000000004,1.2536434,1.2,up
3.5999999999999996,1.24023724,1.2,up
3.719999999999999,1.18393138,1.171847,up
3.84,1.15041598,1.128326,up
3.959999999999999,1.07936334,1.083221,up
4.08,1.03914487,1.035719,up
4.199999999999999,0.984179616,0.987995,up
4.32,0.917148823,0.937714,up
4.4399999999999995,0.899720817,0.887022,up
4.559999999999999,0.835371256,0.835244,up
4.68,0.77906539,0.781798,up
4.799999999999999,0.742868762,0.728582,up
4.92,0.659750578,0.674928,up
