bias,dc_dmm,dc_board,dir
-9.0,1.11958182,0.763101,up
-8.88,1.13432859,1.114838,up
-8.76,1.08204457,1.097393,up
-8.64,1.08070396,1.07108,up
-8.52,1.06461657,1.038566,up
-8.4,0.992223311,1.003388,up
-8.28,0.956026683,0.966026,up
-8.16,0.92117067,0.926188,up
-8.04,0.925192518,0.884407,up
-7.92,0.816602634,0.841941,up
-7.8,0.807218323,0.798016,up
-7.68,0.72410014,0.752372,up
-7.5600000000000005,0.682541048,0.708017,up
-7.4399999999999995,0.66243181,0.661984,up
-7.32,0.63025703,0.616055,up
-7.2,0.600763481,0.570496,up
-7.08,0.543116999,0.52516,up
-6.96,0.44257081,0.479798,up
-6.84,0.453295737,0.436005,up
-6.720000000000001,0.379561864,0.392707,up
-6.6,0.333980925,0.351134,up
-6.48,0.303146761,0.31073,up
-6.36,0.260247053,0.272056,up
-6.24,0.197238108,0.235261,up
-6.12,0.234775352,0.200629,up
-6.0,0.206622419,0.167889,up
-5.88,0.13825101,0.137625,up
-5.76,0.102054382,0.110307,up
-5.640000000000001,0.0725608332,0.085872,up
-5.52,0.0497703637,0.063941,up
-5.4,0.0269798941,0.045123,up
-5.28,0.0242986624,0.029399,up
-5.16,-0.0186004084,0.016866,up
-5.04,-0.017259841,0.007624,up
-4.92,-0.0105569902,0.001725,up
-4.8,-0.00117272198,-0.00067,up
-4.68,-0.0186004112,0.000416,up
-4.5600000000000005,0.0310017417,0.00496,up
-4.44,-0.0293249726,0.013006,up
-4.32,0.0524515954,0.02447,up
-4.2,0.0671983698,0.039267,up
-4.08,0.0430672844,0.057361,up
-3.96,0.0899888394,0.078909,up
-3.84,0.111438693,0.103649,up
-3.7200000000000006,0.151657169,0.131423,up
-3.6000000000000005,0.211984882,0.16228,up
-3.4800000000000004,0.174447638,0.195912,up
-3.3600000000000003,0.262928285,0.232419,up
-3.24,0.299124913,0.271414,up
-3.12,0.303146761,0.312231,up
-3.0,0.388946175,0.355653,up
-2.88,0.430505267,0.401132,up
-2.76,0.506920371,0.448493,up
-2.6400000000000006,0.523007761,0.4971,up
-2.5200000000000005,0.606125944,0.546899,up
-2.4000000000000004,0.563226237,0.598665,up
-2.2800000000000002,0.651706883,0.650356,up
-2.16,0.716056444,0.702744,up
-2.04,0.749571841,0.755563,up
-1.92,0.816602634,0.807901,up
-1.8000000000000007,0.898380201,0.860628,up
-1.6800000000000006,0.958707914,0.912795,up
-1.5600000000000005,0.976135921,0.962736,up
-1.4400000000000004,1.04584795,1.013801,up
-1.3200000000000003,1.10617566,1.062948,up
-1.2000000000000002,1.13969106,1.110341,up
-1.08,1.2027,1.156015,up
-0.9600000000000009,1.21208431,1.195414,up
-0.8399999999999999,1.2616871,1.2,up
-0.7200000000000006,1.30324619,1.2,up
-0.5999999999999996,1.32469604,1.2,up
-0.4800000000000004,1.35150836,1.2,up
-0.35999999999999943,1.37966129,1.2,up
-0.2400000000000002,1.45071393,1.2,up
-0.120000000000001,1.46814194,1.2,up
0.0,1.49227303,1.2,up
0.11999999999999922,1.50567918,1.2,up
0.2400000000000002,1.49093241,1.2,up
0.35999999999999943,1.52310719,1.2,up
0.4800000000000004,1.50970103,1.2,up
0.5999999999999996,1.49629487,1.2,up
0.7199999999999989,1.53383212,1.2,up
0.8399999999999999,1.49763549,1.2,up
0.9599999999999991,1.48556995,1.2,up
1.08,1.50165734,1.2,up
1.1999999999999993,1.4480327,1.2,up
1.3200000000000003,1.4480327,1.2,up
1.4399999999999995,1.40379238,1.2,up
1.5599999999999987,1.40513299,1.2,up
1.6799999999999997,1.37563945,1.2,up
1.799999999999999,1.33005851,1.2,up
1.92,1.26034648,1.2,up
2.039999999999999,1.28849942,1.2,up
2.16,1.19063446,1.189967,up
2.2799999999999994,1.16784399,1.147453,up
2.4000000000000004,1.06997903,1.101305,up
2.5199999999999996,1.05255102,1.053176,up
2.639999999999999,0.961389146,1.00353,up
2.76,1.00697009,0.952461,up
2.879999999999999,0.917148823,0.899376,up
3.0,0.82732756,0.847052,up
3.119999999999999,0.775043542,0.793932,up
3.24,0.769681079,0.740145,up
3.3599999999999994,0.6785192,0.685538,up
3.4800000000000004,0.624894566,0.632001,up
3.5999999999999996,0.563226237,0.579446,up
3.719999999999999,0.544457615,0.52765,up
3.84,0.502898523,0.476475,up
3.959999999999999,0.423802188,0.426261,up
4.08,0.372858785,0.378496,up
4.199999999999999,0.304487376,0.332644,up
4.32,0.289740602,0.288364,up
4.4399999999999995,0.25488459,0.24681,up
4.559999999999999,0.197238108,0.207607,up
4.68,0.174447638,0.171478,up
4.799999999999999,0.171766407,0.138108,up
4.92,0.119482388,0.108044,up
5.039999999999999,0.103394998,0.081561,up
5.16,0.0591546747,0.058653,up
